Date       ,Total Deposit  ,Total Borrowed ,Utilization Rate      ,Liquidity          ,Fee        ,Revenue   ,Fully Diluted Market Cap ,Circulating Market Cap ,Price
2020-12-01 ,          0.12 ,          1.00 ,  8.333333333333334   ,-0.88              ,      0.00 ,     0.00 ,           1214492718.24 ,          907887569.07 , 75.91
2020-12-02 ,          1    ,        276.43 ,276.43                ,-275.43            ,      0.18 ,     0.02 ,           1196926975.56 ,          891295522.90 , 74.81
2020-12-03 ,      11338.52 ,     451891.50 , 39.854540098707766   ,-440552.98         ,     42.25 ,     2.57 ,           1388069076.83 ,         1034080775.75 , 86.75
2020-12-04 ,    2920358.11 ,    1150880.94 ,  0.39408897698508627 ,1769477.17         ,    188.46 ,    20.05 ,           1461574975.60 ,         1089131288.67 , 91.35
2020-12-05 ,   14924930.08 ,    2185554.27 ,  0.14643648300428086 ,12739375.81        ,    422.83 ,    44.64 ,           1306068670.65 ,          972429249.85 , 81.63
2020-12-06 ,   18536650.39 ,    3412313.57 ,  0.18408469158164878 ,15124336.82        ,    731.03 ,    77.61 ,           1470450670.40 ,         1095578241.39 , 91.90
2020-12-07 ,   19876485.36 ,    5405022.67 ,  0.2719305034116957  ,14471462.69        ,   1742.34 ,   235.93 ,           1406290821.77 ,         1053855742.05 , 87.89
2020-12-08 ,   26389583.40 ,    6237191.48 ,  0.23635050942107713 ,20152391.919999998 ,   1699.86 ,   170.54 ,           1453662733.29 ,         1089724613.61 , 90.85
2020-12-09 ,   25897455.72 ,    6913627.68 ,  0.2669616565715669  ,18983828.04        ,   1656.34 ,   167.07 ,           1280429855.87 ,          966774600.24 , 80.03
2020-12-10 ,   29152174.01 ,    8537819.47 ,  0.2928707638432486  ,20614354.54        ,   1654.43 ,   170.65 ,           1350424382.66 ,         1015706174.15 , 84.40
2020-12-11 ,   40108096.01 ,    9803030.89 ,  0.2444152643784399  ,30305065.119999997 ,   1267.61 ,   145.12 ,           1229469705.18 ,          916928873.43 , 76.84
2020-12-12 ,   40292403.20 ,   11821006.13 ,  0.2933805181915781  ,28471397.07        ,   1758.01 ,   192.48 ,           1200150638.54 ,          901323896.00 , 75.01
2020-12-13 ,   46262943.36 ,   14911169.67 ,  0.3223134670435288  ,31351773.689999998 ,   2097.29 ,   225.80 ,           1246122930.79 ,          935054031.08 , 77.88
2020-12-14 ,   57265236.52 ,   16624401.34 ,  0.2903052942808311  ,40640835.18000001  ,   2617.61 ,   282.94 ,           1336452548.05 ,          997014828.24 , 83.53
2020-12-15 ,   59489171.38 ,   18526460.03 ,  0.3114257536326773  ,40962711.35        ,   4630.04 ,   498.64 ,           1378855705.27 ,         1034946334.24 , 86.18
2020-12-16 ,   65415835.12 ,   20012655.69 ,  0.30592983569327553 ,45403179.42999999  ,   4263.39 ,   452.37 ,           1392637859.68 ,         1043764495.69 , 87.04
2020-12-17 ,   65517977.15 ,   22130042.35 ,  0.33777053737990753 ,43387934.8         ,   8647.80 ,   894.10 ,           1394773334.00 ,         1044776384.38 , 87.17
2020-12-18 ,   76754856.85 ,   22730130.57 ,  0.2961393129091609  ,54024726.279999994 ,   4878.08 ,   513.51 ,           1360692161.75 ,         1020230291.78 , 85.04
2020-12-19 ,   77630309.90 ,   24686275.61 ,  0.31799790110074    ,52944034.29000001  ,   4684.71 ,   485.62 ,           1438050307.40 ,         1071294381.96 , 89.88
2020-12-20 ,   75776350.20 ,   26411222.65 ,  0.3485417624402818  ,49365127.550000004 ,   6600.67 ,   682.34 ,           1424076211.20 ,         1070203956.96 , 89.00
2020-12-21 ,   80001371.54 ,   26316663.26 ,  0.3289526511035113  ,53684708.28        ,   6854.08 ,   700.30 ,           1371464024.04 ,         1025154338.91 , 85.72
2020-12-22 ,   68033661.45 ,   26089135.99 ,  0.3834739367830981  ,41944525.46000001  ,   5244.02 ,   591.63 ,           1303575032.88 ,          976746421.02 , 81.47
2020-12-23 ,   76581415.80 ,   27807127.06 ,  0.3631054188475842  ,48774288.739999995 ,   5709.15 ,   607.58 ,           1351025343.60 ,         1014904788.52 , 84.44
2020-12-24 ,   78612721.50 ,   29043607.54 ,  0.369451750121639   ,49569113.96        ,   7628.06 ,   760.28 ,           1214428364.36 ,          913869755.55 , 75.90
2020-12-25 ,   74266115.68 ,   28686325.01 ,  0.38626397445645966 ,45579790.67        ,   8335.02 ,   853.36 ,           1282333099.48 ,          963396040.65 , 80.15
2020-12-26 ,   78419520.42 ,   29178190.01 ,  0.3720781490849112  ,49241330.41        ,   6989.47 ,   714.62 ,           1275085973.54 ,          957500979.34 , 79.69
2020-12-27 ,   74653213.91 ,   29503556.51 ,  0.3952081225272998  ,45149657.39999999  ,   6723.55 ,   676.73 ,           1200755694.50 ,          900431219.63 , 75.05
2020-12-28 ,   77339880.33 ,   30495541.25 ,  0.3943055137902875  ,46844339.08        ,   9372.89 ,   947.38 ,           1241469937.37 ,          938353155.54 , 77.59
2020-12-29 ,   92682432.61 ,   35113210.88 ,  0.37885508495178893 ,57569221.73        ,   6167.96 ,   620.54 ,           1312027443.94 ,          989182971.42 , 82.00
2020-12-30 ,  114461614.70 ,   45619456.66 ,  0.39855681557146505 ,68842158.04        ,  18313.27 ,  2473.50 ,           1253610047.13 ,          939451867.25 , 78.35
2020-12-31 ,  126438639.82 ,   56893054.04 ,  0.44996572346075403 ,69545585.78        ,  14267.66 ,  1958.43 ,           1302668986.85 ,          980356484.38 , 81.42
2021-01-01 ,  147202060.01 ,   63064233.70 ,  0.42841950510553867 ,84137826.30999999  ,  18099.24 ,  2351.28 ,           1413219763.82 ,         1063588346.21 , 88.33
2021-01-02 ,  165166357.46 ,   75140768.83 ,  0.4549399162489709  ,90025588.63000001  ,  22083.73 ,  2776.03 ,           1440585625.18 ,         1079072669.92 , 90.04
2021-01-03 ,  178060791.60 ,   81413357.05 ,  0.45722225717657655 ,96647434.55        ,  22456.46 ,  2549.82 ,           1377017539.52 ,         1031438129.59 , 86.06
2021-01-04 ,  199182587.68 ,   70618807.85 ,  0.35454307865230555 ,128563779.83000001 ,  18960.32 ,  2025.91 ,           1489873935.15 ,         1144026140.54 , 93.12
2021-01-05 ,  212802781.39 ,   73799544.45 ,  0.34679783773478434 ,139003236.94       ,  12901.87 ,  1446.81 ,           1753357044.18 ,         1307177513.89 ,109.58
2021-01-06 ,  232722356.29 ,   91551201.41 ,  0.393392379097074   ,141171154.88       ,  37310.36 ,  3851.29 ,           1920845273.64 ,         1444937745.36 ,120.05
2021-01-07 ,  269413821.04 ,  103903179.23 ,  0.38566387881998615 ,165510641.81       ,  28485.71 ,  3005.93 ,           1841395806.07 ,         1396859729.51 ,115.09
2021-01-08 ,  293660659.51 ,  108259296.40 ,  0.3686544073715583  ,185401363.10999998 ,  31870.75 ,  3356.05 ,           1848069961.52 ,         1395927336.00 ,115.50
2021-01-09 ,  315699801.80 ,  113405318.11 ,  0.3592188448120844  ,202294483.69       ,  27132.87 ,  2907.13 ,           1779234450.08 ,         1342654490.84 ,111.20
2021-01-10 ,  319535241.59 ,  120332528.14 ,  0.37658609279285793 ,199202713.45       ,  25501.20 ,  2623.70 ,           1899481539.12 ,         1444658076.75 ,118.72
2021-01-11 ,  335477467.20 ,  107232983.33 ,  0.3196428786260969  ,228244483.87       ,  24960.78 ,  2430.26 ,           2041189488.55 ,         1549539171.58 ,127.57
2021-01-12 ,  301450716.42 ,  104222893.13 ,  0.3457377523189898  ,197227823.29000002 ,  20049.74 ,  2086.24 ,           1845373797.11 ,         1394265294.91 ,115.34
2021-01-13 ,  308540997.99 ,  117426419.35 ,  0.3805861137254954  ,191114578.64000002 ,  23060.81 ,  2370.66 ,           2026655482.91 ,         1536481877.88 ,126.67
2021-01-14 ,  315322447.55 ,  136802532.05 ,  0.43384964538025006 ,178519915.5        ,  39820.50 ,  4155.92 ,           2361479755.36 ,         1795039758.47 ,147.59
2021-01-15 ,  345800303.96 ,  139578501.65 ,  0.4036390368995904  ,206221802.30999997 ,  34433.40 ,  3518.80 ,           2355847347.03 ,         1772279084.60 ,147.24
2021-01-16 ,  372976933.59 ,  151704151.75 ,  0.4067386963848088  ,221272781.83999997 ,  33754.88 ,  3474.33 ,           2655498917.21 ,         2042273198.87 ,165.97
2021-01-17 ,  407944151.92 ,  159742432.94 ,  0.39157917128648123 ,248201718.98000002 ,  44222.76 ,  4539.84 ,           2938328575.73 ,         2252928453.33 ,183.65
2021-01-18 ,  415444342.44 ,  165562889.61 ,  0.3985200246984016  ,249881452.82999998 ,  36935.00 ,  3921.56 ,           2986306837.35 ,         2286519600.97 ,186.64
2021-01-19 ,  446584619.82 ,  177854335.64 ,  0.398254502610694   ,268730284.18       ,  55315.21 ,  5665.03 ,           3180917595.22 ,         2430766369.76 ,198.81
2021-01-20 ,  492988692.18 ,  189997407.27 ,  0.3853991182431182  ,302991284.90999997 ,  45937.11 ,  4874.37 ,           2993401655.63 ,         2312276665.23 ,187.09
2021-01-21 ,  453596321.47 ,  173706537.75 ,  0.38295402658261773 ,279889783.72       ,  52121.83 ,  5154.04 ,           3179861309.34 ,         2421538106.99 ,198.74
2021-01-22 ,  454707249.89 ,  182597278.11 ,  0.401571072715847   ,272109971.78       ,  48594.61 ,  4952.95 ,           2569811777.53 ,         1977005934.99 ,160.61
2021-01-23 ,  474447248.51 ,  192327040.07 ,  0.40537075654670235 ,282120208.44       ,  48202.55 ,  5083.86 ,           3051947416.98 ,         2347620823.09 ,190.75
2021-01-24 ,  506552375.22 ,  207306825.93 ,  0.4092505258512802  ,299245549.29       ,  59433.55 ,  6480.55 ,           3376735014.44 ,         2589783901.62 ,211.05
2021-01-25 ,  575110424.89 ,  220771846.63 ,  0.3838773165557319  ,354338578.26       ,  58473.93 ,  6014.74 ,           4257792733.39 ,         3294460157.88 ,266.11
2021-01-26 ,  584270353.42 ,  221064385.13 ,  0.37835975047511766 ,363205968.28999996 ,  44584.94 ,  4983.20 ,           3998700955.27 ,         3082352025.33 ,249.92
2021-01-27 ,  552520453.70 ,  218900378.11 ,  0.3961851125041889  ,333620075.59000003 ,  52253.20 ,  5191.72 ,           4409745626.34 ,         3397861103.73 ,275.61
2021-01-28 ,  531052610.38 ,  235629315.33 ,  0.4437023954394897  ,295423295.04999995 ,  57879.75 ,  5498.79 ,           4601333436.79 ,         3526891987.71 ,287.58
2021-01-29 ,  610672139.57 ,  256879965.46 ,  0.4206511953220594  ,353792174.11       ,  66651.51 ,  6557.80 ,           4774111941.08 ,         3667671069.09 ,298.38
2021-01-30 ,  780230635.34 ,  267103437.72 ,  0.3423390797819733  ,513127197.62       ,  68907.69 ,  6992.13 ,           4596433963.97 ,         3536601210.09 ,287.28
2021-01-31 ,  750007695.74 ,  279392906.39 ,  0.3725200527633722  ,470614789.35       ,  71739.76 ,  7497.75 ,           5003906877.95 ,         3866671035.57 ,312.74
2021-02-01 ,  780267813.79 ,  285641481.99 ,  0.36608133379557434 ,494626331.79999995 ,  58491.06 ,  6303.20 ,           4790157057.95 ,         3694895084.24 ,299.38
2021-02-02 ,  780134113.25 ,  308581974.96 ,  0.39554990573923604 ,471552138.29       , 106223.62 , 10767.35 ,           4719610811.28 ,         3631127137.17 ,294.98
2021-02-03 ,  828021515.06 ,  337995527.54 ,  0.4081965521336825  ,490025987.5199999  , 127771.69 , 12907.58 ,           4836697259.97 ,         3736440115.70 ,302.29
2021-02-04 , 1011067027.97 ,  348257340.63 ,  0.34444535426026507 ,662809687.34       ,1743960.07 , 11368.30 ,           6121338674.03 ,         4716909693.59 ,382.58
2021-02-05 , 1294060451.76 ,  368103595.93 ,  0.28445625969741756 ,925956855.8299999  , 107743.76 , 11387.41 ,           7475160251.07 ,         5725294382.63 ,467.20
2021-02-06 , 1433900145.09 ,  375357886.52 ,  0.2617740766714549  ,1058542258.5699999 ,  86581.41 ,  9024.73 ,           8032123511.74 ,         6206119654.85 ,502.01
2021-02-07 , 1389981626.34 ,  379047691.09 ,  0.27269978531160965 ,1010933935.25      ,  72195.99 ,  6722.31 ,           7518044622.21 ,         5806202408.70 ,469.88
2021-02-08 , 1379630946.04 ,  395040169.34 ,  0.2863375676472732  ,984590776.7        , 129501.20 , 13262.37 ,           7616197723.08 ,         5910212930.19 ,476.01
2021-02-09 , 1540015191.86 ,  391439900.88 ,  0.25417924637952866 ,1148575290.98      , 178126.57 , 18566.67 ,           7855339938.01 ,         6033867105.88 ,490.96
