Date,fees,revenue
2020-12-01,0.00,0.00
2020-12-02,0.18,0.02
2020-12-03,42.25,2.57
2020-12-04,188.46,20.05
2020-12-05,422.83,44.64
2020-12-06,731.03,77.61
2020-12-07,1742.34,235.93
2020-12-08,1699.86,170.54
2020-12-09,1656.34,167.07
2020-12-10,1654.43,170.65
2020-12-11,1267.61,145.12
2020-12-12,1758.01,192.48
2020-12-13,2097.29,225.80
2020-12-14,2617.61,282.94
2020-12-15,4630.04,498.64
2020-12-16,4263.39,452.37
2020-12-17,8647.80,894.10
2020-12-18,4878.08,513.51
2020-12-19,4684.71,485.62
2020-12-20,6600.67,682.34
2020-12-21,6854.08,700.30
2020-12-22,5244.02,591.63
2020-12-23,5709.15,607.58
2020-12-24,7628.06,760.28
2020-12-25,8335.02,853.36
2020-12-26,6989.47,714.62
2020-12-27,6723.55,676.73
2020-12-28,9372.89,947.38
2020-12-29,6167.96,620.54
2020-12-30,18313.27,2473.50
2020-12-31,14267.66,1958.43
2021-01-01,18099.24,2351.28
2021-01-02,22083.73,2776.03
2021-01-03,22456.46,2549.82
2021-01-04,18960.32,2025.91
2021-01-05,12901.87,1446.81
2021-01-06,37310.36,3851.29
2021-01-07,28485.71,3005.93
2021-01-08,31870.75,3356.05
2021-01-09,27132.87,2907.13
2021-01-10,25501.20,2623.70
2021-01-11,24960.78,2430.26
2021-01-12,20049.74,2086.24
2021-01-13,23060.81,2370.66
2021-01-14,39820.50,4155.92
2021-01-15,34433.40,3518.80
2021-01-16,33754.88,3474.33
2021-01-17,44222.76,4539.84
2021-01-18,36935.00,3921.56
2021-01-19,55315.21,5665.03
2021-01-20,45937.11,4874.37
2021-01-21,52121.83,5154.04
2021-01-22,48594.61,4952.95
2021-01-23,48202.55,5083.86
2021-01-24,59433.55,6480.55
2021-01-25,58473.93,6014.74
2021-01-26,44584.94,4983.20
2021-01-27,52253.20,5191.72
2021-01-28,57879.75,5498.79
2021-01-29,66651.51,6557.80
2021-01-30,68907.69,6992.13
2021-01-31,71739.76,7497.75
2021-02-01,58491.06,6303.20
2021-02-02,106223.62,10767.35
2021-02-03,127771.69,12907.58
2021-02-04,1743960.07,11368.30
2021-02-05,107743.76,11387.41
2021-02-06,86581.41,9024.73
2021-02-07,72195.99,6722.31
2021-02-08,129501.20,13262.37
2021-02-09,178126.57,18566.67
2021-02-10,184439.65,18519.82
2021-02-11,174391.95,17403.41
2021-02-12,129806.11,13219.70
2021-02-13,124642.85,11258.03
2021-02-14,122530.81,12460.33
2021-02-15,153940.40,15357.84
2021-02-16,168691.11,16906.12
2021-02-17,156100.41,15002.12
2021-02-18,182459.62,18498.30
2021-02-19,154270.05,16031.02
2021-02-20,151441.60,15652.05
2021-02-21,138930.65,14466.10
2021-02-22,136444.89,13302.59
2021-02-23,108758.32,10312.63
2021-02-24,131311.95,12652.96
2021-02-25,151861.05,15429.19
2021-02-26,98278.47,9794.68
2021-02-27,96712.56,9798.20
2021-02-28,108106.74,10142.18
2021-03-01,111510.38,11211.07
2021-03-02,106125.24,10724.70
2021-03-03,134055.23,13859.82
2021-03-04,135931.94,14648.76
2021-03-05,109475.23,11876.82
2021-03-06,107322.69,11272.43
2021-03-07,306074.01,42491.56
2021-03-08,254941.73,33177.89
2021-03-09,229718.09,26345.45
2021-03-10,292129.42,32959.43
2021-03-11,303620.35,34922.82
2021-03-12,176552.93,19929.72
2021-03-13,155998.49,16200.20
2021-03-14,186390.33,19550.28
2021-03-15,185061.91,19444.47
2021-03-16,188207.12,19215.58
2021-03-17,227210.71,23557.19
2021-03-18,277791.17,29443.84
2021-03-19,177787.12,18760.84
2021-03-20,176742.35,19214.08
2021-03-21,163095.39,18446.14
2021-03-22,158160.90,18424.09
2021-03-23,146668.85,15649.15
2021-03-24,167769.97,17610.10
2021-03-25,144742.94,14845.79
2021-03-26,144506.87,15379.40
2021-03-27,174342.67,17669.82
2021-03-28,162511.87,17384.40
2021-03-29,149067.15,15912.17
2021-03-30,165814.25,17536.75
2021-03-31,225275.74,24330.09
2021-04-01,230961.29,25394.62
2021-04-02,234725.69,25090.46
2021-04-03,316656.65,31305.84
2021-04-04,312628.28,32476.95
2021-04-05,266234.09,27708.46
2021-04-06,217059.12,22504.27
2021-04-07,210941.20,21654.19
2021-04-08,189536.18,19586.90
2021-04-09,181641.35,19312.98
2021-04-10,243383.85,26055.68
2021-04-11,263650.35,27245.83
2021-04-12,234932.89,24307.62
2021-04-13,233224.45,24344.42
2021-04-14,296231.65,32936.44
2021-04-15,395600.14,43607.14
2021-04-16,403997.07,44710.72
2021-04-17,329836.84,36941.36
2021-04-18,323079.25,35301.13
2021-04-19,303025.73,33498.99
2021-04-20,271843.01,31094.03
2021-04-21,266145.98,31353.34
2021-04-22,314517.96,35072.81
2021-04-23,255318.93,31437.53
2021-04-24,243092.19,30027.95
2021-04-25,290145.68,32440.05
2021-04-26,448224.07,46743.62
2021-04-27,584021.14,60724.59
2021-04-28,634700.42,67436.02
2021-04-29,716293.44,76149.29
2021-04-30,828826.11,87957.49
2021-05-01,994830.95,104905.31
2021-05-02,854502.26,91500.87
2021-05-03,1638242.47,170167.03
2021-05-04,1324728.74,138450.11
2021-05-05,1433124.50,124707.57
2021-05-06,1497517.76,156164.39
2021-05-07,1746478.59,180722.37
2021-05-08,1641132.23,170158.47
2021-05-09,1234135.63,130344.12
2021-05-10,1688271.01,174502.25
2021-05-11,1644259.25,171785.54
2021-05-12,2031255.56,208816.59
2021-05-13,1724567.00,169543.15
2021-05-14,1714051.60,179071.02
2021-05-15,1622521.73,169712.73
2021-05-16,1260033.37,134190.68
2021-05-17,1220487.12,129979.42
2021-05-18,1138223.65,125317.04
2021-05-19,1631482.83,155842.21
2021-05-20,1351896.19,138544.24
2021-05-21,1327513.07,112596.88
2021-05-22,1157984.78,88062.98
2021-05-23,848057.37,87566.91
2021-05-24,838468.73,93144.15
2021-05-25,877141.86,99224.32
2021-05-26,868976.58,100307.81
2021-05-27,950361.13,102356.26
2021-05-28,858884.19,97882.29
2021-05-29,949891.55,94492.10
2021-05-30,858470.21,99509.96
2021-05-31,961534.03,113151.03
2021-06-01,969574.93,115516.21
2021-06-02,995254.24,119631.06
2021-06-03,1008360.05,121088.17
2021-06-04,1101873.16,134605.91
2021-06-05,1144502.63,134792.02
2021-06-06,1035501.53,124126.63
2021-06-07,1053119.40,124172.78
2021-06-08,1000373.18,116137.18
2021-06-09,1028252.67,123802.44
2021-06-10,1068150.91,126243.05
2021-06-11,1025646.67,119230.50
2021-06-12,945401.07,112966.81
2021-06-13,955032.04,114493.23
2021-06-14,935096.26,109899.55
2021-06-15,1025781.31,119164.67
2021-06-16,983562.77,111959.19
2021-06-17,1006223.47,111928.67
2021-06-18,859936.27,87717.92
2021-06-19,844931.87,86169.00
2021-06-20,800540.62,81017.81
2021-06-21,762580.85,76567.63
2021-06-22,726817.91,73645.94
2021-06-23,715646.63,73877.61
2021-06-24,706473.96,72173.05
2021-06-25,699771.71,72210.06
2021-06-26,684096.21,71382.44
2021-06-27,795430.08,72464.98
2021-06-28,688233.65,71353.80
2021-06-29,713614.93,75030.34
2021-06-30,740748.11,77770.07
2021-07-01,722321.66,75636.73
2021-07-02,713413.51,74747.57
2021-07-03,696508.83,73474.51
2021-07-04,698755.58,72938.31
2021-07-05,740600.77,70150.84
2021-07-06,654875.87,68916.53
2021-07-07,670457.90,70077.88
2021-07-08,672772.73,70209.49
2021-07-09,715093.79,75475.74
2021-07-10,718303.28,76524.20
2021-07-11,670162.05,73086.69
2021-07-12,732923.75,76712.61
2021-07-13,785079.68,81571.01
2021-07-14,723239.21,69383.53
2021-07-15,661491.42,70054.42
2021-07-16,895284.28,70369.96
2021-07-17,765593.57,80066.54
2021-07-18,806649.19,80839.82
2021-07-19,774208.07,79176.39
2021-07-20,777206.69,77716.59
2021-07-21,770896.26,75911.62
2021-07-22,743445.30,77224.54
2021-07-23,757149.39,79315.42
2021-07-24,806636.55,84258.84
2021-07-25,821328.59,85779.51
2021-07-26,813384.57,83731.94
2021-07-27,797811.10,83426.97
2021-07-28,803413.68,83163.06
2021-07-29,835818.08,87406.50
2021-07-30,834507.19,87447.71
2021-07-31,915047.27,95032.14
2021-08-01,965754.05,99598.20
2021-08-02,961947.22,99257.26
2021-08-03,1082671.15,96396.24
2021-08-04,867874.82,90083.38
2021-08-05,877126.30,88145.70
2021-08-06,865927.43,88453.90
2021-08-07,908677.87,93336.94
2021-08-08,996814.79,103102.95
2021-08-09,1014711.43,103839.23
2021-08-10,1076231.75,110721.74
2021-08-11,1276777.55,129857.14
2021-08-12,1010631.88,104143.49
2021-08-13,1377372.79,138365.80
2021-08-14,1383688.96,142263.73
2021-08-15,1157369.50,119044.25
2021-08-16,1166708.23,120154.11
2021-08-17,1187190.11,120848.02
2021-08-18,1086483.39,110676.70
2021-08-19,1103399.55,111122.94
2021-08-20,1288575.53,130872.23
2021-08-21,1784985.56,181161.61
2021-08-22,2046376.59,208222.85
2021-08-23,2037403.17,205832.88
2021-08-24,1443491.17,146892.61
2021-08-25,1443497.83,147618.17
2021-08-26,1268932.56,130335.06
2021-08-27,1260576.38,128291.50
2021-08-28,1451791.65,147228.84
2021-08-29,1610696.42,164065.37
2021-08-30,1781425.92,180700.45
2021-08-31,1866130.23,188502.58
2021-09-01,1656892.83,166986.16
