Date,fully_diluted_market_cap,circulating_market_cap
2020-10-03,898611243.62,45070668.05
2020-10-04,898611243.62,45070668.05
2020-10-05,845209293.74,86139601.44
2020-10-06,843602263.17,227116927.15
2020-10-07,664126981.92,191067037.74
2020-10-08,643618526.93,195003355.36
2020-10-09,733051480.43,230709820.92
2020-10-10,786437430.16,251925220.52
2020-10-11,817086594.12,267411768.19
2020-10-12,801086019.05,263383093.50
2020-10-13,821756923.42,279854065.81
2020-10-14,817622799.35,465820519.72
2020-10-15,845928464.62,479114697.80
2020-10-16,709949672.87,410093109.87
2020-10-17,631070389.29,372197770.25
2020-10-18,658987709.99,389702732.12
2020-10-19,653049228.65,386783462.08
2020-10-20,576319389.39,349516717.10
2020-10-21,513952466.61,338764358.46
2020-10-22,560583291.27,372534273.56
2020-10-23,609882233.29,407048755.62
2020-10-24,664886540.12,445445648.51
2020-10-25,630488765.03,423701956.12
2020-10-26,606607013.87,409503425.21
2020-10-27,576176453.16,393954743.29
2020-10-28,558071604.05,384993994.55
2020-10-29,518520109.46,361862194.11
2020-10-30,466906261.68,327515081.00
2020-10-31,497569099.07,349536003.81
2020-11-01,474740538.25,333092591.50
2020-11-02,488962676.43,344380625.59
2020-11-03,476301058.97,337035164.90
2020-11-04,449090534.89,316306380.54
2020-11-05,442572057.33,311926649.64
2020-11-06,497809363.15,350826610.44
2020-11-07,611958276.39,432322742.90
2020-11-08,716448033.26,510037962.51
2020-11-09,858508406.49,615521192.16
2020-11-10,880323785.41,626825192.15
2020-11-11,1070481868.50,786769427.91
2020-11-12,871476623.04,634245658.63
2020-11-13,827281132.73,601510127.16
2020-11-14,1020942304.19,745149811.77
2020-11-15,1072151681.78,788489212.01
2020-11-16,1025672558.54,753951060.06
2020-11-17,1162921228.95,849767094.81
2020-11-18,1273381865.08,933208000.30
2020-11-19,1211565214.72,900453076.75
2020-11-20,1213207780.34,890198603.82
2020-11-21,1197874137.17,888163811.22
2020-11-22,1123423773.36,830859383.43
2020-11-23,1103172164.96,818765341.43
2020-11-24,1153711099.98,847989372.61
2020-11-25,1064473126.04,787913191.41
2020-11-26,990355529.63,727589990.41
2020-11-27,1024988877.88,758426191.60
2020-11-28,975190285.72,725088170.44
2020-11-29,1020509497.86,759087952.92
2020-11-30,1097879956.51,810942893.31
2020-12-01,1214492718.24,907887569.07
2020-12-02,1196926975.56,891295522.90
2020-12-03,1388069076.83,1034080775.75
2020-12-04,1461574975.60,1089131288.67
2020-12-05,1306068670.65,972429249.85
2020-12-06,1470450670.40,1095578241.39
2020-12-07,1406290821.77,1053855742.05
2020-12-08,1453662733.29,1089724613.61
2020-12-09,1280429855.87,966774600.24
2020-12-10,1350424382.66,1015706174.15
2020-12-11,1229469705.18,916928873.43
2020-12-12,1200150638.54,901323896.00
2020-12-13,1246122930.79,935054031.08
2020-12-14,1336452548.05,997014828.24
2020-12-15,1378855705.27,1034946334.24
2020-12-16,1392637859.68,1043764495.69
2020-12-17,1394773334.00,1044776384.38
2020-12-18,1360692161.75,1020230291.78
2020-12-19,1438050307.40,1071294381.96
2020-12-20,1424076211.20,1070203956.96
2020-12-21,1371464024.04,1025154338.91
2020-12-22,1303575032.88,976746421.02
2020-12-23,1351025343.60,1014904788.52
2020-12-24,1214428364.36,913869755.55
2020-12-25,1282333099.48,963396040.65
2020-12-26,1275085973.54,957500979.34
2020-12-27,1200755694.50,900431219.63
2020-12-28,1241469937.37,938353155.54
2020-12-29,1312027443.94,989182971.42
2020-12-30,1253610047.13,939451867.25
2020-12-31,1302668986.85,980356484.38
