Date,Price
2020-10-03,56.16
2020-10-04,56.16
2020-10-05,52.83
2020-10-06,52.73
2020-10-07,41.51
2020-10-08,40.23
2020-10-09,45.82
2020-10-10,49.15
2020-10-11,51.07
2020-10-12,50.07
2020-10-13,51.36
2020-10-14,51.10
2020-10-15,52.87
2020-10-16,44.37
2020-10-17,39.44
2020-10-18,41.19
2020-10-19,40.82
2020-10-20,36.02
2020-10-21,32.12
2020-10-22,35.04
2020-10-23,38.12
2020-10-24,41.56
2020-10-25,39.41
2020-10-26,37.91
2020-10-27,36.01
2020-10-28,34.88
2020-10-29,32.41
2020-10-30,29.18
2020-10-31,31.10
2020-11-01,29.67
2020-11-02,30.56
2020-11-03,29.77
2020-11-04,28.07
2020-11-05,27.66
2020-11-06,31.11
2020-11-07,38.25
2020-11-08,44.78
2020-11-09,53.66
2020-11-10,55.02
2020-11-11,66.91
2020-11-12,54.47
2020-11-13,51.71
2020-11-14,63.81
2020-11-15,67.01
2020-11-16,64.10
2020-11-17,72.68
2020-11-18,79.59
2020-11-19,75.72
2020-11-20,75.83
2020-11-21,74.87
2020-11-22,70.21
2020-11-23,68.95
2020-11-24,72.11
2020-11-25,66.53
2020-11-26,61.90
2020-11-27,64.06
2020-11-28,60.95
2020-11-29,63.78
2020-11-30,68.62
2020-12-01,75.91
2020-12-02,74.81
2020-12-03,86.75
2020-12-04,91.35
2020-12-05,81.63
2020-12-06,91.90
2020-12-07,87.89
2020-12-08,90.85
2020-12-09,80.03
2020-12-10,84.40
2020-12-11,76.84
2020-12-12,75.01
2020-12-13,77.88
2020-12-14,83.53
2020-12-15,86.18
2020-12-16,87.04
2020-12-17,87.17
2020-12-18,85.04
2020-12-19,89.88
2020-12-20,89.00
2020-12-21,85.72
2020-12-22,81.47
2020-12-23,84.44
2020-12-24,75.90
2020-12-25,80.15
2020-12-26,79.69
2020-12-27,75.05
2020-12-28,77.59
2020-12-29,82.00
2020-12-30,78.35
2020-12-31,81.42
2021-01-01,88.33
2021-01-02,90.04
2021-01-03,86.06
2021-01-04,93.12
2021-01-05,109.58
2021-01-06,120.05
2021-01-07,115.09
2021-01-08,115.50
2021-01-09,111.20
2021-01-10,118.72
2021-01-11,127.57
2021-01-12,115.34
2021-01-13,126.67
2021-01-14,147.59
2021-01-15,147.24
2021-01-16,165.97
2021-01-17,183.65
2021-01-18,186.64
2021-01-19,198.81
2021-01-20,187.09
2021-01-21,198.74
2021-01-22,160.61
2021-01-23,190.75
2021-01-24,211.05
2021-01-25,266.11
2021-01-26,249.92
2021-01-27,275.61
2021-01-28,287.58
2021-01-29,298.38
2021-01-30,287.28
2021-01-31,312.74
2021-02-01,299.38
2021-02-02,294.98
2021-02-03,302.29
2021-02-04,382.58
2021-02-05,467.20
2021-02-06,502.01
2021-02-07,469.88
2021-02-08,476.01
2021-02-09,490.96
2021-02-10,490.60
2021-02-11,524.81
2021-02-12,517.01
2021-02-13,529.26
2021-02-14,493.77
2021-02-15,472.30
2021-02-16,453.85
2021-02-17,432.71
2021-02-18,449.80
2021-02-19,442.85
2021-02-20,424.62
2021-02-21,445.05
2021-02-22,438.10
2021-02-23,403.41
2021-02-24,363.93
2021-02-25,367.89
2021-02-26,336.95
2021-02-27,324.93
2021-02-28,337.97
2021-03-01,351.20
2021-03-02,386.51
2021-03-03,392.58
2021-03-04,397.86
2021-03-05,376.61
2021-03-06,369.65
2021-03-07,390.00
2021-03-08,413.33
2021-03-09,435.37
2021-03-10,446.27
2021-03-11,408.24
2021-03-12,404.96
2021-03-13,373.83
2021-03-14,415.62
2021-03-15,386.19
2021-03-16,367.27
2021-03-17,371.88
2021-03-18,383.41
2021-03-19,364.45
2021-03-20,371.80
2021-03-21,370.95
2021-03-22,367.78
2021-03-23,337.04
2021-03-24,332.58
2021-03-25,308.79
2021-03-26,325.46
2021-03-27,359.22
2021-03-28,350.46
2021-03-29,344.03
2021-03-30,360.73
2021-03-31,376.98
2021-04-01,381.15
2021-04-02,383.02
2021-04-03,418.77
2021-04-04,379.45
2021-04-05,404.02
2021-04-06,396.31
2021-04-07,383.93
2021-04-08,350.28
2021-04-09,370.59
2021-04-10,359.30
2021-04-11,367.69
2021-04-12,370.51
2021-04-13,396.94
2021-04-14,399.08
2021-04-15,428.39
2021-04-16,467.73
2021-04-17,441.50
2021-04-18,428.25
2021-04-19,381.58
2021-04-20,344.98
2021-04-21,359.45
2021-04-22,353.10
2021-04-23,364.80
2021-04-24,343.70
2021-04-25,316.44
2021-04-26,346.86
2021-04-27,404.22
2021-04-28,437.37
2021-04-29,461.48
2021-04-30,438.43
2021-05-01,444.08
2021-05-02,503.03
2021-05-03,483.34
2021-05-04,516.13
2021-05-05,448.65
2021-05-06,480.86
2021-05-07,451.53
2021-05-08,445.42
2021-05-09,465.44
2021-05-10,458.95
2021-05-11,434.65
2021-05-12,458.95
2021-05-13,517.36
2021-05-14,511.53
2021-05-15,595.76
2021-05-16,514.65
2021-05-17,526.87
2021-05-18,573.30
2021-05-19,631.26
2021-05-20,419.95
2021-05-21,466.27
2021-05-22,366.41
2021-05-23,335.24
2021-05-24,296.54
2021-05-25,384.75
2021-05-26,372.74
2021-05-27,413.81
2021-05-28,373.23
2021-05-29,320.69
2021-05-30,298.51
2021-05-31,324.75
2021-06-01,383.23
2021-06-02,373.36
2021-06-03,386.41
2021-06-04,398.31
2021-06-05,374.82
2021-06-06,355.85
2021-06-07,365.16
2021-06-08,333.04
2021-06-09,330.99
2021-06-10,338.16
2021-06-11,312.18
2021-06-12,284.96
2021-06-13,279.20
2021-06-14,317.40
2021-06-15,318.28
2021-06-16,313.74
2021-06-17,289.50
2021-06-18,293.19
2021-06-19,264.69
2021-06-20,255.97
2021-06-21,274.13
2021-06-22,215.58
2021-06-23,204.46
2021-06-24,207.45
2021-06-25,210.96
2021-06-26,190.18
2021-06-27,184.80
2021-06-28,201.79
2021-06-29,227.58
2021-06-30,238.97
2021-07-01,250.66
2021-07-02,232.73
2021-07-03,234.29
2021-07-04,260.05
2021-07-05,277.89
2021-07-06,311.10
2021-07-07,317.60
2021-07-08,314.83
2021-07-09,294.93
2021-07-10,305.04
2021-07-11,296.98
2021-07-12,305.43
2021-07-13,298.43
2021-07-14,270.07
2021-07-15,279.46
2021-07-16,270.13
2021-07-17,253.54
2021-07-18,253.02
2021-07-19,256.92
2021-07-20,238.98
2021-07-21,224.81
2021-07-22,259.34
2021-07-23,279.38
2021-07-24,289.05
2021-07-25,287.72
2021-07-26,289.87
2021-07-27,303.75
2021-07-28,298.75
2021-07-29,296.94
2021-07-30,311.51
2021-07-31,321.45
2021-08-01,331.32
2021-08-02,316.87
2021-08-03,321.07
2021-08-04,309.96
2021-08-05,338.89
2021-08-06,373.68
2021-08-07,370.16
2021-08-08,384.82
2021-08-09,360.36
2021-08-10,374.75
2021-08-11,385.21
2021-08-12,404.06
2021-08-13,391.97
2021-08-14,426.80
2021-08-15,414.43
2021-08-16,410.32
2021-08-17,414.33
2021-08-18,382.09
2021-08-19,383.33
2021-08-20,398.04
2021-08-21,407.28
2021-08-22,400.31
2021-08-23,402.02
2021-08-24,407.99
2021-08-25,380.87
2021-08-26,384.24
2021-08-27,356.08
2021-08-28,372.81
2021-08-29,366.19
2021-08-30,365.46
2021-08-31,358.98
2021-09-01,393.79
2021-09-02,411.57
2021-09-03,400.09
2021-09-04,394.77
2021-09-05,398.60
2021-09-06,416.53
2021-09-07,410.44
2021-09-08,346.85
2021-09-09,331.53
2021-09-10,333.57
2021-09-11,312.05
2021-09-12,327.04
2021-09-13,334.23
2021-09-14,333.21
2021-09-15,383.06
2021-09-16,411.81
2021-09-17,384.35
2021-09-18,355.64
2021-09-19,355.39
2021-09-20,340.64
2021-09-21,291.29
2021-09-22,267.86
2021-09-23,301.08
2021-09-24,308.45
2021-09-25,280.22
2021-09-26,275.84
2021-09-27,292.94
2021-09-28,273.85
2021-09-29,260.52
2021-09-30,264.87
2021-10-01,276.18
2021-10-02,302.07
2021-10-03,313.38
2021-10-04,311.12
2021-10-05,301.45
2021-10-06,308.27
2021-10-07,312.34
2021-10-08,306.66
2021-10-09,306.53
2021-10-10,307.98
2021-10-11,289.21
2021-10-12,290.81
2021-10-13,283.41
2021-10-14,297.48
2021-10-15,303.43
2021-10-16,302.26
2021-10-17,305.83
2021-10-18,305.15
2021-10-19,294.40
2021-10-20,304.16
2021-10-21,316.89
2021-10-22,316.03
2021-10-23,311.83
2021-10-24,325.00
2021-10-25,308.69
2021-10-26,312.93
2021-10-27,329.16
2021-10-28,326.72
2021-10-29,339.20
2021-10-30,327.28
2021-10-31,317.76
2021-11-01,314.38
2021-11-02,323.40
2021-11-03,324.80
2021-11-04,324.24
2021-11-05,332.29
2021-11-06,328.22
2021-11-07,318.72
2021-11-08,320.78
2021-11-09,332.85
2021-11-10,337.46
2021-11-11,312.24
2021-11-12,312.63
2021-11-13,309.27
2021-11-14,313.78
2021-11-15,317.07
2021-11-16,303.45
2021-11-17,280.30
2021-11-18,284.66
2021-11-19,261.86
2021-11-20,280.53
2021-11-21,275.12
2021-11-22,269.28
2021-11-23,263.38
2021-11-24,269.75
2021-11-25,254.59
2021-11-26,262.47
2021-11-27,232.21
2021-11-28,231.28
2021-11-29,238.06
2021-11-30,249.43
2021-12-01,256.95
2021-12-02,250.96
2021-12-03,244.62
2021-12-04,226.17
2021-12-05,201.67
2021-12-06,191.71
2021-12-07,185.00
2021-12-08,187.18
2021-12-09,200.84
2021-12-10,178.43
2021-12-11,169.06
2021-12-12,180.24
2021-12-13,180.03
2021-12-14,162.11
2021-12-15,169.30
2021-12-16,173.45
2021-12-17,174.34
2021-12-18,183.35
2021-12-19,192.73
2021-12-20,183.86
2021-12-21,180.96
2021-12-22,186.56
2021-12-23,207.24
2021-12-24,246.95
2021-12-25,270.22
2021-12-26,265.20
2021-12-27,269.04
2021-12-28,278.04
2021-12-29,254.45
2021-12-30,236.99
2021-12-31,264.02
2022-01-01,255.54
2022-01-02,266.53
2022-01-03,266.79
2022-01-04,268.10
2022-01-05,253.83
2022-01-06,232.18
2022-01-07,222.04
2022-01-08,211.04
2022-01-09,213.29
2022-01-10,210.19
2022-01-11,200.01
2022-01-12,213.70
2022-01-13,218.99
2022-01-14,209.41
2022-01-15,224.60
2022-01-16,239.82
2022-01-17,242.46
2022-01-18,227.39
2022-01-19,232.81
2022-01-20,211.11
2022-01-21,199.15
2022-01-22,170.50
2022-01-23,146.43
2022-01-24,158.39
2022-01-25,152.51
2022-01-26,152.59
2022-01-27,146.89
2022-01-28,144.92
2022-01-29,149.58
2022-01-30,154.16
2022-01-31,149.37
2022-02-01,157.87
2022-02-02,164.46
2022-02-03,152.04
2022-02-04,151.92
2022-02-05,166.82
2022-02-06,166.80
2022-02-07,173.63
2022-02-08,181.95
2022-02-09,184.81
2022-02-10,188.49
2022-02-11,176.17
2022-02-12,163.49
2022-02-13,162.20
2022-02-14,158.76
2022-02-15,161.29
2022-02-16,172.20
2022-02-17,170.85
2022-02-18,152.78
2022-02-19,146.08
2022-02-20,146.47
2022-02-21,137.76
2022-02-22,129.13
2022-02-23,134.96
2022-02-24,132.06
2022-02-25,125.34
2022-02-26,140.38
2022-02-27,136.09
2022-02-28,131.91
