Date,total_value_locked,total_borrowed
2020-12-01,0.12,1.00
2020-12-02,1,276.43
2020-12-03,11338.52,451891.50
2020-12-04,2920358.11,1150880.94
2020-12-05,14924930.08,2185554.27
2020-12-06,18536650.39,3412313.57
2020-12-07,19876485.36,5405022.67
2020-12-08,26389583.40,6237191.48
2020-12-09,25897455.72,6913627.68
2020-12-10,29152174.01,8537819.47
2020-12-11,40108096.01,9803030.89
2020-12-12,40292403.20,11821006.13
2020-12-13,46262943.36,14911169.67
2020-12-14,57265236.52,16624401.34
2020-12-15,59489171.38,18526460.03
2020-12-16,65415835.12,20012655.69
2020-12-17,65517977.15,22130042.35
2020-12-18,76754856.85,22730130.57
2020-12-19,77630309.90,24686275.61
2020-12-20,75776350.20,26411222.65
2020-12-21,80001371.54,26316663.26
2020-12-22,68033661.45,26089135.99
2020-12-23,76581415.80,27807127.06
2020-12-24,78612721.50,29043607.54
2020-12-25,74266115.68,28686325.01
2020-12-26,78419520.42,29178190.01
2020-12-27,74653213.91,29503556.51
2020-12-28,77339880.33,30495541.25
2020-12-29,92682432.61,35113210.88
2020-12-30,114461614.70,45619456.66
2020-12-31,126438639.82,56893054.04
2021-01-01,147202060.01,63064233.70
2021-01-02,165166357.46,75140768.83
2021-01-03,178060791.60,81413357.05
2021-01-04,199182587.68,70618807.85
2021-01-05,212802781.39,73799544.45
2021-01-06,232722356.29,91551201.41
2021-01-07,269413821.04,103903179.23
2021-01-08,293660659.51,108259296.40
2021-01-09,315699801.80,113405318.11
2021-01-10,319535241.59,120332528.14
2021-01-11,335477467.20,107232983.33
2021-01-12,301450716.42,104222893.13
2021-01-13,308540997.99,117426419.35
2021-01-14,315322447.55,136802532.05
2021-01-15,345800303.96,139578501.65
2021-01-16,372976933.59,151704151.75
2021-01-17,407944151.92,159742432.94
2021-01-18,415444342.44,165562889.61
2021-01-19,446584619.82,177854335.64
2021-01-20,492988692.18,189997407.27
2021-01-21,453596321.47,173706537.75
2021-01-22,454707249.89,182597278.11
2021-01-23,474447248.51,192327040.07
2021-01-24,506552375.22,207306825.93
2021-01-25,575110424.89,220771846.63
2021-01-26,584270353.42,221064385.13
2021-01-27,552520453.70,218900378.11
2021-01-28,531052610.38,235629315.33
2021-01-29,610672139.57,256879965.46
2021-01-30,780230635.34,267103437.72
2021-01-31,750007695.74,279392906.39
2021-02-01,780267813.79,285641481.99
2021-02-02,780134113.25,308581974.96
2021-02-03,828021515.06,337995527.54
2021-02-04,1011067027.97,348257340.63
2021-02-05,1294060451.76,368103595.93
2021-02-06,1433900145.09,375357886.52
2021-02-07,1389981626.34,379047691.09
2021-02-08,1379630946.04,395040169.34
2021-02-09,1540015191.86,391439900.88
2021-02-10,1520901747.27,391330526.99
2021-02-11,1654878184.57,399517974.70
2021-02-12,1605246263.43,410384976.68
2021-02-13,1606585836.45,421269902.04
2021-02-14,1599689327.43,432311951.25
2021-02-15,1667614749.80,437793178.70
2021-02-16,1796191021.91,446417087.97
2021-02-17,1802320479.38,439987386.62
2021-02-18,1787916243.11,463229873.69
2021-02-19,1861867706.09,474273223.11
2021-02-20,1849903117.58,494052560.82
2021-02-21,2058609390.86,520804738.37
2021-02-22,1986856943.66,520927843.91
2021-02-23,1866627690.93,482338496.66
2021-02-24,1588733875.03,482606475.10
2021-02-25,2049881116.99,488282706.91
2021-02-26,1987189071.60,474976755.82
2021-02-27,1805310819.22,477863217.76
2021-02-28,1867668421.78,477798437.16
2021-03-01,1826017671.84,505055419.23
2021-03-02,2067341264.99,526482377.30
2021-03-03,2169049253.07,540920647.39
2021-03-04,2259440891.02,549641334.31
2021-03-05,2227122584.10,546188260.95
2021-03-06,2060353893.12,563833755.78
2021-03-07,2101858975.58,625763996.91
2021-03-08,2159827504.34,661917298.75
2021-03-09,2152863179.51,620482753.30
2021-03-10,2251376481.09,611007136.13
2021-03-11,2296590011.50,633260560.21
2021-03-12,2294780335.51,627793477.96
2021-03-13,2518586863.52,649280972.89
2021-03-14,2748417290.65,713192382.85
2021-03-15,2739668166.97,728653233.93
2021-03-16,2656577438.02,722641267.69
2021-03-17,2654809293.22,713374052.52
2021-03-18,2591776982.44,730060531.59
2021-03-19,2722074398.35,723692333.53
2021-03-20,2784087466.22,748626117.37
2021-03-21,2867105273.88,757490611.17
2021-03-22,2688035071.27,765053944.11
2021-03-23,2729864632.79,750707621.18
2021-03-24,2563657680.66,752831137.51
2021-03-25,2663592282.61,718330504.15
2021-03-26,2435239365.03,746567166.92
2021-03-27,2582483747.23,760468680.65
2021-03-28,2630522035.65,762967204.72
2021-03-29,2688562163.58,774930013.72
2021-03-30,2782681013.83,788156811.42
2021-03-31,2919057794.04,810234709.10
2021-04-01,2813207696.75,804939076.38
2021-04-02,2939718531.65,847857928.94
2021-04-03,3012618692.29,832709863.83
2021-04-04,3081314845.43,837400918.67
2021-04-05,2968808142.64,849110050.21
2021-04-06,2967759623.60,832092823.36
2021-04-07,2993927494.16,793689419.74
2021-04-08,2739292452.00,800905157.80
2021-04-09,2790429272.63,819205246.15
2021-04-10,2901735141.26,819506266.68
2021-04-11,2922596161.98,816179597.77
2021-04-12,2890166821.89,818753807.24
2021-04-13,2926985552.31,834065876.06
2021-04-14,3051289695.16,924018638.33
2021-04-15,3346639254.39,1092703602.07
2021-04-16,3591569724.56,1175782028.90
2021-04-17,3647307978.38,1222845255.83
2021-04-18,3677911182.34,1214062755.52
2021-04-19,3153404582.29,1214883583.82
2021-04-20,3459289476.28,1237781225.55
2021-04-21,3351151634.24,1263087491.06
2021-04-22,3463497981.10,1348201180.97
2021-04-23,3834189401.95,1338005628.00
2021-04-24,3439793374.63,1369876351.65
2021-04-25,3364575895.48,1425277953.13
2021-04-26,3542668650.12,1877441822.67
2021-04-27,4724987875.47,2995326627.64
2021-04-28,5638895796.79,3452053089.96
2021-04-29,6417044046.46,3898860134.63
2021-04-30,6761616305.59,4417006092.11
2021-05-01,7190529141.86,4709739952.92
2021-05-02,7571891535.55,4772004425.49
2021-05-03,7888174206.67,5008217375.51
2021-05-04,8922926216.17,5142491773.79
2021-05-05,9327994249.49,5482066182.19
2021-05-06,8454553498.03,5767986011.17
2021-05-07,9520015735.57,5823757758.20
2021-05-08,9248804841.01,5856499601.02
2021-05-09,9143675826.62,5896184013.22
2021-05-10,9519618821.45,5956774950.55
2021-05-11,9967147393.80,6142295862.99
2021-05-12,9591239427.49,6150783587.48
2021-05-13,10441251841.40,6135538760.03
2021-05-14,9782690132.57,6670367477.62
2021-05-15,10474889172.98,6970157994.57
2021-05-16,10542963042.54,7475254681.43
2021-05-17,10813371758.79,7737263584.23
2021-05-18,10389113431.62,8041596821.70
2021-05-19,10954045516.38,7248740269.89
2021-05-20,9336581184.80,7018629595.94
2021-05-21,9497182167.20,7179903622.22
2021-05-22,9542444489.00,7040178789.21
2021-05-23,8505910327.69,6771442551.99
2021-05-24,7039041597.36,6429401144.65
2021-05-25,8207938071.25,6636152051.69
2021-05-26,8238240724.14,6934953857.91
2021-05-27,10001038930.38,7355476547.39
2021-05-28,10554315474.14,7770541543.47
2021-05-29,9478568639.51,7966614336.58
2021-05-30,10032356744.44,8362991450.75
2021-05-31,10649925254.70,8847623291.45
2021-06-01,11170330469.62,8983502822.26
2021-06-02,11552825135.76,9138894907.03
2021-06-03,11874021440.92,9372185062.33
2021-06-04,12031127256.75,9343029971.23
2021-06-05,11195984809.53,9108678016.24
2021-06-06,11422026123.62,9057403737.72
2021-06-07,11578041122.03,9195717604.83
2021-06-08,11775492681.92,9187839288.30
2021-06-09,10911156479.10,9344083790.57
2021-06-10,11343372402.31,9323485794.32
2021-06-11,11422140371.47,9104662176.82
2021-06-12,10986086455.90,8775724062.40
2021-06-13,10650853510.50,8971149787.42
2021-06-14,10729570145.90,8989895577.44
2021-06-15,11178601293.54,9311319957.13
2021-06-16,11445434131.07,9328857781.67
2021-06-17,10596105754.32,9129289219.87
2021-06-18,10372524203.98,8083848689.05
2021-06-19,10128123477.30,8100997640.39
2021-06-20,9857455853.56,8093914923.27
2021-06-21,9381295655.49,7870161958.23
2021-06-22,9017366407.61,7504743123.86
2021-06-23,8627798342.25,7534084771.79
2021-06-24,8939070222.82,7444524983.79
2021-06-25,8925275963.62,7398234626.40
2021-06-26,8671983372.02,7376292744.12
2021-06-27,8505931092.27,7161746681.38
2021-06-28,8650715853.28,7293994737.90
2021-06-29,8911250805.75,7504060922.78
2021-06-30,9439085464.08,7531603126.21
2021-07-01,9104172243.30,7414519873.32
2021-07-02,8998862901.14,7371165925.70
2021-07-03,8729981614.24,7157631057.48
2021-07-04,9221540870.35,7290312058.52
2021-07-05,9455969685.96,7007021493.40
2021-07-06,9038851607.46,6940010217.80
2021-07-07,9388482219.47,6978671379.10
2021-07-08,9566659834.51,6926014888.44
2021-07-09,8942496614.02,6910694627.20
2021-07-10,8814428830.75,7004857789.32
2021-07-11,9060198201.21,7066548463.08
2021-07-12,9143081019.81,6912540950.18
2021-07-13,8954690109.86,6941594493.59
2021-07-14,8539133535.19,6802191202.01
2021-07-15,8839727147.16,6867253811.22
2021-07-16,8774058983.62,7108538820.98
2021-07-17,9452082574.33,7965518835.56
2021-07-18,9548901925.15,8182328826.00
2021-07-19,9552878969.18,8025462479.19
2021-07-20,9283695840.08,7919358227.22
2021-07-21,9131883304.92,7846069179.97
2021-07-22,9847956418.03,7771561023.11
2021-07-23,9924722657.44,7884579173.23
2021-07-24,10166850394.19,7975771803.82
2021-07-25,10274123532.16,8028195171.78
2021-07-26,10379722754.40,8058227191.77
2021-07-27,10629949248.35,8143408942.56
2021-07-28,10865986187.03,8185844497.43
2021-07-29,10823486145.09,8344873352.97
2021-07-30,11042111237.17,8261357751.93
2021-07-31,11373085997.62,8501301887.81
2021-08-01,11658436719.41,8679017645.03
2021-08-02,11434636745.49,8790068695.39
2021-08-03,11427136464.04,8756316168.60
2021-08-04,11550405741.65,8750196499.44
2021-08-05,12118061817.05,8818249490.30
2021-08-06,12474432624.36,8863601443.44
2021-08-07,12481761451.14,9110707151.57
2021-08-08,13051601375.42,9190311955.09
2021-08-09,12647735498.01,9224366081.37
2021-08-10,13142087034.43,9448233182.96
2021-08-11,12984994293.50,9556590322.49
2021-08-12,13068975662.53,9308993784.80
2021-08-13,12690655666.47,9424500945.60
2021-08-14,13241759300.45,9910842495.93
2021-08-15,13394879325.78,9907075689.82
2021-08-16,13375843159.01,9931040731.33
2021-08-17,12941885146.71,9824889384.55
2021-08-18,12365855470.74,9808731396.12
2021-08-19,12396548160.10,9868746996.47
2021-08-20,12657526415.28,10112392119.35
2021-08-21,13352708086.47,10107128272.12
2021-08-22,13101724975.19,10018959872.45
2021-08-23,13034515083.62,10048374877.46
2021-08-24,13447454541.93,10162748732.73
2021-08-25,12682694357.01,10065913516.64
2021-08-26,12927141876.82,10134510443.90
2021-08-27,12506558734.30,10125065255.17
2021-08-28,13005364216.23,10052300769.32
2021-08-29,12805108750.88,9963219797.13
2021-08-30,12779897116.29,10139888002.61
2021-08-31,13005240835.58,10111625300.88
2021-09-01,13459413455.87,10176857911.34
2021-09-02,14494104877.33,10325711021.74
2021-09-03,14479361129.18,10380716961.21
2021-09-04,14892727035.75,10769646968.90
2021-09-05,14872465548.94,10830415891.42
2021-09-06,15218784896.17,10936824989.55
2021-09-07,15279522965.97,10595886647.81
2021-09-08,13014088086.81,10273696124.37
2021-09-09,13123866062.98,10066571969.29
2021-09-10,13074203308.85,10288709899.31
2021-09-11,12504025129.95,10282791019.05
2021-09-12,12675689963.35,10244096652.91
2021-09-13,13027984292.89,10270999329.83
2021-09-14,12605827585.70,10280635847.70
2021-09-15,13212266309.42,10415717029.78
2021-09-16,13694543051.10,10363782752.23
2021-09-17,13383658967.49,10450892429.64
2021-09-18,13025253450.40,10551024254.84
2021-09-19,13104023049.62,10490014610.79
2021-09-20,12711603721.66,10508142239.48
2021-09-21,11285695675.97,10297410065.13
2021-09-22,10997671885.42,10122459168.18
2021-09-23,11884519650.66,10216179829.79
2021-09-24,12244221882.95,10136042808.62
2021-09-25,11699205508.86,9995019716.09
2021-09-26,11746540115.93,9937362358.14
2021-09-27,12027803018.20,9945271377.63
2021-09-28,11450421119.60,9403472537.77
2021-09-29,11125115611.71,9145192899.47
2021-09-30,11353699667.73,9146027671.86
2021-10-01,11775356741.19,9233173760.51
2021-10-02,12700842472.20,9324173320.95
2021-10-03,13139467557.10,9414113701.05
2021-10-04,13293414973.17,9728910145.26
2021-10-05,13775601310.08,10253257700.51
2021-10-06,14589158199.91,10244373955.60
2021-10-07,14882274447.37,10381954282.32
2021-10-08,14032601275.62,10407996861.56
2021-10-09,13896548232.06,10677657618.93
2021-10-10,13892288404.23,10581840971.52
2021-10-11,13677315095.60,10768298376.83
2021-10-12,14010000753.09,11000554763.47
2021-10-13,13843099526.29,10942718271.67
2021-10-14,14297850191.97,11132319909.43
2021-10-15,14939982222.15,11215736415.13
2021-10-16,15767375257.97,11031581706.13
2021-10-17,15761846415.75,11107169690.90
2021-10-18,15815070661.44,11124591637.60
2021-10-19,15543867997.54,11102698603.78
2021-10-20,16072261578.87,11263505363.63
2021-10-21,17898321175.91,11428458219.42
2021-10-22,17636574259.99,11621979450.90
2021-10-23,17219912291.44,11681702185.46
2021-10-24,18033750962.87,11672036237.13
2021-10-25,17886501287.87,11885456797.32
2021-10-26,18436866459.87,11787698673.05
2021-10-27,18138484199.74,11888609311.90
2021-10-28,17537781654.97,12095217735.80
2021-10-29,18342197888.17,10563591828.43
2021-10-30,14200833534.88,9343841371.13
2021-10-31,12957614296.08,9648300970.50
2021-11-01,12958431527.20,9733593771.47
2021-11-02,13189349013.30,9981352875.69
2021-11-03,14744139453.15,10269397050.80
2021-11-04,14922516023.78,10549230492.47
2021-11-05,15033284529.06,10759591731.67
2021-11-06,15041395165.04,10811924304.27
2021-11-07,15181414809.75,10897993925.92
2021-11-08,15571694362.36,11083448875.05
2021-11-09,16203987923.08,11143242057.32
2021-11-10,16012827525.08,11220515497.12
2021-11-11,15734283684.25,11137066981.28
2021-11-12,15987140260.91,11201309626.74
2021-11-13,15897983394.16,11057505383.24
2021-11-14,16034294805.44,10817178490.93
2021-11-15,16021643748.81,10886058933.82
2021-11-16,15820867681.55,10909214886.02
2021-11-17,15033485415.89,10877255817.22
2021-11-18,15296868006.61,10732146209.09
2021-11-19,14338284507.70,10819256495.94
2021-11-20,15235593138.41,10926808146.46
2021-11-21,15855267180.81,11252091561.17
2021-11-22,15723564837.41,11148302582.90
2021-11-23,15136817754.28,11307422041.88
2021-11-24,15653912343.23,11337405374.52
2021-11-25,15295732297.56,11294889019.03
2021-11-26,15752686380.35,10926309446.34
2021-11-27,13968305777.43,10826389854.87
2021-11-28,14192400379.36,11054092256.01
2021-11-29,14754787303.87,11264920080.70
2021-11-30,15181291662.54,11317123785.69
2021-12-01,15521446702.91,11342988647.28
2021-12-02,15462602757.68,11380386828.98
2021-12-03,15168888702.84,11320079389.30
2021-12-04,14408585435.73,11009349341.39
2021-12-05,13739536759.44,11031819141.12
2021-12-06,13836523208.23,11175138492.06
2021-12-07,14340958727.65,10996802826.58
2021-12-08,14353383035.66,11326760896.20
2021-12-09,14676019363.63,11259973398.26
2021-12-10,13927729283.71,11168745977.53
2021-12-11,13254365019.49,11266797609.95
2021-12-12,13759545517.22,11363851503.25
2021-12-13,14121521096.40,11098104281.41
2021-12-14,13054928701.12,10812780308.19
2021-12-15,13238217389.64,11052282447.03
2021-12-16,13715647652.22,10968503665.73
2021-12-17,13669260431.79,11096953974.63
2021-12-18,13710207036.02,11248694939.08
2021-12-19,14052206286.60,11319454996.66
2021-12-20,13933000557.03,11458885801.90
2021-12-21,14088982599.53,11528019586.95
2021-12-22,14355246491.94,11595101156.74
