timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1606778006,0,0.1211387038158691701998788612961841,0.1211387038158691701998788612961841
1606841582,1.004174279398617705054263565891473,11.89956337898119954833154442456768,11.89956337898119954833154442456768
1606951899,288.4025870220160145130078553635788,11676.27657935618010547637512452716,11676.27657935618010547637512452716
1607039855,746335.7048959793617395093780228566,3713348.456118013793108654167660837,3713348.456118013793108654167660837
1607126126,1435092.83583682794028700669248641,15831169.53642713866139562788213131,15831169.53642713866139562788213131
1607212791,2684733.511555451101213409029201642,21352799.55085513840485799992418477,21352799.55085513840485799992418477
1607299174,3602592.187715903209990495337493172,23772890.01543171113415146688609366,23772890.01543171113415146688609366
1607385592,6332961.954523126387816920429021093,32768357.35734233849583198818998743,32768357.35734233849583198818998743
1607471534,6376932.758093914350461506078856339,31205055.09015406764181931151370038,31205055.09015406764181931151370038
1607558393,7596777.219540683446345097742061233,37254361.27872461081903802651371095,37254361.27872461081903802651371095
1607644539,9383917.703329346981269930093353695,49544495.02207838849384821817197664,49544495.02207838849384821817197664
1607731061,10204797.75611413010856456922675212,51400727.84401386710135344854599632,51400727.84401386710135344854599632
1607817170,13056917.94477991440864434128437732,59854310.10065608218893728232466317,59854310.10065608218893728232466317
1607903881,15566791.88926962527508872574945359,73094330.22571740307613759915741568,73094330.22571740307613759915741568
1607990340,18402244.77870067492904181085203511,79553749.36224014799038420600016223,79553749.36224014799038420600016223
1608076776,18965669.57904448267806247408963206,84117440.63984478181012890266251082,84117440.63984478181012890266251082
1608163104,21372179.2703877721250590001017206,91044112.09299291887298575370277282,91044112.09299291887298575370277282
1608249571,22245773.6353914539374629203866622,97621937.47424930882357699853818525,97621937.47424930882357699853818525
1608335998,23781826.46985710207524113668990418,102244661.4483119372578673994470412,102244661.4483119372578673994470412
1608422262,25757107.02361609758670020810699548,101543204.4214634089723308964446678,101543204.4214634089723308964446678
1608508612,27289642.7498019546428920786130672,105637896.9127005024229748104884384,105637896.9127005024229748104884384
1608595135,25523836.20804709417095040951364106,94922269.24687088794058414820130842,94922269.24687088794058414820130842
1608681326,26921725.61166449753898277016322657,104988894.0893282149298748261958673,104988894.0893282149298748261958673
1608767913,28828958.95589280993307058830693194,105332796.3651617619745033870786895,105332796.3651617619745033870786895
1608854320,29419161.34027997152599344598085168,107837937.791674591303636251576954,107837937.791674591303636251576954
1608940615,28582440.80902812458428904450537657,105994175.9691831479344820465167754,105994175.9691831479344820465167754
1609027071,29617561.04112259801444088562753692,105229909.8001338080921273577599268,105229909.8001338080921273577599268
1609113392,29818023.34823835507401335279102791,112281297.1229240778953143649136041,112281297.1229240778953143649136041
1609199933,30892852.80213967934460117361709287,123750978.7128817297971026397180499,123750978.7128817297971026397180499
1609286347,36920742.70301420374687619744634903,149718547.9103262542583183519581746,149718547.9103262542583183519581746
1609372664,54712071.36241831535099741161416935,184418638.4887876614085758508509987,184418638.4887876614085758508509987
1609459197,58393106.67017334012697459890554147,204569601.5335547529296778433457185,204569601.5335547529296778433457185
1609545478,68676954.8360005398837709314532134,231063091.8287120088016632680343323,231063091.8287120088016632680343323
1609631962,77231644.07057515493230910237323461,262521039.1733570233680468187090947,262521039.1733570233680468187090947
1609718293,79818340.70049141809078866142055896,294537181.213800727089935718691447,294537181.213800727089935718691447
1609804712,66141496.12253870325865973976271074,285565713.3252346775458872865536042,285565713.3252346775458872865536042
1609891181,79764874.55778869609814805814523592,322380136.9176471130997555843487532,322380136.9176471130997555843487532
1609977590,97707764.60453396236638823040968666,382288893.1203334988661434355402449,382288893.1203334988661434355402449
1610063942,105281299.5390043141177339296628157,399856206.5722258863712115335875612,399856206.5722258863712115335875612
1610150378,110588053.9189472689462046717362048,419022405.7764575121836649877869193,419022405.7764575121836649877869193
1610236760,115726672.4553287780355523560631691,449396595.022415307026409303417768,449396595.022415307026409303417768
1610323181,126564903.9902582510592443099308636,454440593.7687795739328286360721981,454440593.7687795739328286360721981
1610409508,99932669.72287622032929588195037247,406256933.9643627078001795251787558,406256933.9643627078001795251787558
1610495976,109976031.2374872630573420238629609,404252435.3066394746598187650301193,404252435.3066394746598187650301193
1610582334,126164965.3237044802253966987483913,467195629.4318706062586191821840066,467195629.4318706062586191821840066
1610668755,140810260.8776025951165907345088203,500717448.7689737623631815722590223,500717448.7689737623631815722590223
1610755156,141483497.3970681183784560776580639,524631853.3698093410192731639624796,524631853.3698093410192731639624796
