date,totalBorrow,totalValueLocked,utilizationRate,liquidity
01/12/2020,0,0.1211387038158691701998788612961841,0.0,0.12113870381586916
01/12/2020,1.004174279398617705054263565891473,11.89956337898119954833154442456768,0.0843874894748106,10.895389099582582
03/12/2020,288.4025870220160145130078553635788,11676.27657935618010547637512452716,0.02469987628863775,11387.873992334164
04/12/2020,746335.7048959793617395093780228566,3713348.456118013793108654167660837,0.20098725280315038,2967012.7512220345
05/12/2020,1435092.83583682794028700669248641,15831169.53642713866139562788213131,0.09064983054692921,14396076.70059031
06/12/2020,2684733.511555451101213409029201642,21352799.55085513840485799992418477,0.12573215540947336,18668066.039299686
07/12/2020,3602592.187715903209990495337493172,23772890.01543171113415146688609366,0.15154203739542607,20170297.827715807
08/12/2020,6332961.954523126387816920429021093,32768357.35734233849583198818998743,0.19326455352831753,26435395.402819213
09/12/2020,6376932.758093914350461506078856339,31205055.09015406764181931151370038,0.20435576029814437,24828122.33206015
10/12/2020,7596777.219540683446345097742061233,37254361.27872461081903802651371095,0.20391645323628418,29657584.059183925
11/12/2020,9383917.703329346981269930093353695,49544495.02207838849384821817197664,0.18940384192325738,40160577.31874904
12/12/2020,10204797.75611413010856456922675212,51400727.84401386710135344854599632,0.19853411000487578,41195930.08789974
13/12/2020,13056917.94477991440864434128437732,59854310.10065608218893728232466317,0.21814499110961755,46797392.155876175
14/12/2020,15566791.88926962527508872574945359,73094330.22571740307613759915741568,0.2129685276710098,57527538.33644778
15/12/2020,18402244.77870067492904181085203511,79553749.36224014799038420600016223,0.23131838444103833,61151504.58353947
16/12/2020,18965669.57904448267806247408963206,84117440.63984478181012890266251082,0.22546655526821652,65151771.06080029
17/12/2020,21372179.2703877721250590001017206,91044112.09299291887298575370277282,0.23474532047232358,69671932.82260515
18/12/2020,22245773.6353914539374629203866622,97621937.47424930882357699853818525,0.22787678887503582,75376163.83885784
19/12/2020,23781826.46985710207524113668990418,102244661.4483119372578673994470412,0.23259724403194978,78462834.97845484
20/12/2020,25757107.02361609758670020810699548,101543204.4214634089723308964446678,0.25365662990808435,75786097.39784732
21/12/2020,27289642.7498019546428920786130672,105637896.9127005024229748104884384,0.2583319390801031,78348254.16289854
22/12/2020,25523836.20804709417095040951364106,94922269.24687088794058414820130842,0.26889197245870194,69398433.0388238
23/12/2020,26921725.61166449753898277016322657,104988894.0893282149298748261958673,0.25642450894623725,78067168.47766373
24/12/2020,28828958.95589280993307058830693194,105332796.3651617619745033870786895,0.2736940435526862,76503837.40926895
25/12/2020,29419161.34027997152599344598085168,107837937.791674591303636251576954,0.2728090126974889,78418776.45139462
26/12/2020,28582440.80902812458428904450537657,105994175.9691831479344820465167754,0.26966048415092364,77411735.16015503
27/12/2020,29617561.04112259801444088562753692,105229909.8001338080921273577599268,0.28145572962455334,75612348.75901121
28/12/2020,29818023.34823835507401335279102791,112281297.1229240778953143649136041,0.2655653622846375,82463273.77468571
29/12/2020,30892852.80213967934460117361709287,123750978.7128817297971026397180499,0.2496372402339952,92858125.91074204
30/12/2020,36920742.70301420374687619744634903,149718547.9103262542583183519581746,0.24660099378687428,112797805.20731205
31/12/2020,54712071.36241831535099741161416935,184418638.4887876614085758508509987,0.2966732202924528,129706567.12636933
01/01/2021,58393106.67017334012697459890554147,204569601.5335547529296778433457185,0.28544371320288925,146176494.86338142
02/01/2021,68676954.8360005398837709314532134,231063091.8287120088016632680343323,0.29722165618259383,162386136.99271148
03/01/2021,77231644.07057515493230910237323461,262521039.1733570233680468187090947,0.2941922076560685,185289395.10278186
04/01/2021,79818340.70049141809078866142055896,294537181.213800727089935718691447,0.27099580559424286,214718840.5133093
05/01/2021,66141496.12253870325865973976271074,285565713.3252346775458872865536042,0.23161567735973002,219424217.20269597
06/01/2021,79764874.55778869609814805814523592,322380136.9176471130997555843487532,0.24742490440149187,242615262.35985842
07/01/2021,97707764.60453396236638823040968666,382288893.1203334988661434355402449,0.2555861976711376,284581128.5157995
08/01/2021,105281299.5390043141177339296628157,399856206.5722258863712115335875612,0.2632979001164695,294574907.03322154
09/01/2021,110588053.9189472689462046717362048,419022405.7764575121836649877869193,0.2639191899870491,308434351.8575102
10/01/2021,115726672.4553287780355523560631691,449396595.022415307026409303417768,0.25751568600460023,333669922.5670865
11/01/2021,126564903.9902582510592443099308636,454440593.7687795739328286360721981,0.27850703860019765,327875689.7785213
12/01/2021,99932669.72287622032929588195037247,406256933.9643627078001795251787558,0.2459839115795681,306324264.24148643
13/01/2021,109976031.2374872630573420238629609,404252435.3066394746598187650301193,0.27204791272083895,294276404.06915224
14/01/2021,126164965.3237044802253966987483913,467195629.4318706062586191821840066,0.2700474006512569,341030664.1081661
15/01/2021,140810260.8776025951165907345088203,500717448.7689737623631815722590223,0.28121700416829515,359907187.89137113
16/01/2021,141483497.3970681183784560776580639,524631853.3698093410192731639624796,0.2696814851944138,383148355.97274125
17/01/2021,159083642.1770674156943236908244732,557639297.5953216652572594775975598,0.28528054400591096,398555655.41825426
18/01/2021,161853556.9690746817285854738314394,600370242.5410448857548192106743393,0.2695895724012494,438516685.5719701
19/01/2021,172171620.4835136225804998265247294,619484310.379634730548294677058643,0.2779273301982463,447312689.89612114
20/01/2021,186359937.3471589888506912585740493,661612674.4976610407082253845275654,0.28167528303271316,475252737.15050197
21/01/2021,197726507.2009066234014600112054498,687971327.0387261752675122249129613,0.2874051569154662,490244819.8378196
22/01/2021,164645111.4902523763287153931894402,598404186.4686606073670303792267008,0.2751403068582561,433759074.9784082
23/01/2021,190403403.6667067606894709975293224,676046804.6154810383222939050757314,0.2816423395048862,485643400.9487742
24/01/2021,195869941.1873435407232885734598618,717118239.7600759096223487023591966,0.27313479190387785,521248298.5727324
25/01/2021,232101717.1763263793369899870486698,816484748.9337871660460523168064471,0.28426950715174804,584383031.7574607
26/01/2021,217451510.4417759747579252777150073,776654165.6703920532554133045971405,0.2799849921027286,559202655.228616
27/01/2021,224453213.8374748652320808875025967,798432825.7961421333013541067686045,0.2811172168599977,573979611.9586673
28/01/2021,223128162.5925999312800289337034416,752656208.1287697936781549253494596,0.2964542910598375,529528045.5361698
29/01/2021,245835016.5780296588154624080066271,871230508.2334378056798441504201389,0.2821698898911384,625395491.6554081
30/01/2021,261819762.2748306821039097286565823,1023471558.275786513919649351102771,0.25581537675156407,761651796.0009558
31/01/2021,275396299.8829505364137484151640891,1070872376.372622505682680996777402,0.2571700474857736,795476076.489672
01/02/2021,281761801.4342474888741455375810552,1042900236.764242932662061468411575,0.2701713850487334,761138435.3299954
02/02/2021,294853556.9353636312190524651832894,1086070698.964559718049767032470723,0.2714865222093476,791217142.0291961
03/02/2021,322426222.9332418616792926438118598,1185439096.592529079234070019844633,0.27198885531954864,863012873.6592872
04/02/2021,342630830.9580755912726644942435124,1426551230.921135948259367204347946,0.2401812311618392,1083920399.9630604
05/02/2021,350810178.5837440644241518893179145,1709503236.54547330579342350920318,0.20521176625126114,1358693057.9617293
06/02/2021,372318384.5204229140426610079096367,1828399676.311686679600297190168003,0.20363074296287173,1456081291.7912638
07/02/2021,379936468.3331070752603118416877284,1805798733.979287512607646623397182,0.2103980145649304,1425862265.6461806
08/02/2021,385270591.6925215736701399051624806,1823015344.514749023839620192940341,0.2113369988090106,1437744752.8222275
09/02/2021,407981602.3400599537247178021026066,1956979847.169933975162837524896439,0.2084751168644165,1548998244.829874
10/02/2021,386891633.349236087386400463589492,1945990210.646641356941692640761173,0.19881478911483025,1559098577.2974052
11/02/2021,395446165.358588545482659254469528,1991492750.479466875867826885801005,0.19856771522938352,1596046585.1208785
12/02/2021,401446176.4197898039609955683557278,1996542414.877547683346875547791838,0.20107069773642217,1595096238.457758
13/02/2021,413926843.4374706993750897085959527,2073865891.464620269373024338226643,0.19959190473263647,1659939048.0271497
14/02/2021,427137541.5685934277703042771678948,2074807099.921275768883763838170644,0.20586855596590173,1647669558.3526824
15/02/2021,445168832.8294385413680440519494937,2088768075.733993474515565258209814,0.21312506543983165,1643599242.9045548
16/02/2021,448987738.1467269466312265765963623,2254185300.770946618482902219715791,0.1991796051518791,1805197562.6242194
17/02/2021,434005672.8168825803789900586223923,2180178831.221765209119105676899112,0.19906884086828197,1746173158.4048824
