Date       ,Total Deposit  ,Total Borrowed ,Utilization Rate       ,Liquidity           ,Fee        ,Revenue   ,Fully Diluted Market Cap ,Circulating Market Cap ,Price
2019-05-07 ,       9546.16 ,        180.40 ,   0.01889765099265045 ,9365.76             ,      0.02 ,     0.00 ,TBD                      ,TBD                    ,TBD
2019-05-08 ,      10826.13 ,       3306.89 ,   0.3054544883536407  ,7519.24             ,      0.96 ,     0.10 ,TBD                      ,TBD                    ,TBD
2019-05-09 ,      12505.62 ,       5374.23 ,   0.4297451865641207  ,7131.390000000001   ,      1.55 ,     0.15 ,TBD                      ,TBD                    ,TBD
2019-05-10 ,      12600.91 ,       5931.52 ,   0.4707215589985168  ,6669.389999999999   ,      0.60 ,     0.06 ,TBD                      ,TBD                    ,TBD
2019-05-11 ,      13079.68 ,       5878.13 ,   0.44940931276606155 ,7201.55             ,      0.79 ,     0.08 ,TBD                      ,TBD                    ,TBD
2019-05-12 ,      13396.41 ,       5878.13 ,   0.4387839727210499  ,7518.28             ,      0.00 ,     0.00 ,TBD                      ,TBD                    ,TBD
2019-05-13 ,      13068.49 ,       6036.77 ,   0.46193324553946175 ,7031.719999999999   ,      4.91 ,     0.49 ,TBD                      ,TBD                    ,TBD
2019-05-14 ,      14145.83 ,       6166.79 ,   0.43594402025190465 ,7979.04             ,      1.36 ,     0.14 ,TBD                      ,TBD                    ,TBD
2019-05-15 ,      31276.43 ,       7430.25 ,   0.2375670752704193  ,23846.18            ,      2.23 ,     0.22 ,TBD                      ,TBD                    ,TBD
2019-05-16 ,      32018.12 ,       9652.35 ,   0.3014652328119203  ,22365.769999999997  ,      1.69 ,     0.17 ,TBD                      ,TBD                    ,TBD
2019-05-17 ,      25775.89 ,      11065.31 ,   0.4292891535462015  ,14710.58            ,      4.44 ,     0.44 ,TBD                      ,TBD                    ,TBD
2019-05-18 ,      25669.01 ,      11562.22 ,   0.45043497976743163 ,14106.789999999999  ,      0.84 ,     0.08 ,TBD                      ,TBD                    ,TBD
2019-05-19 ,      25060.27 ,       9690.80 ,   0.3866997442565463  ,15369.470000000001  ,      2.50 ,     0.25 ,TBD                      ,TBD                    ,TBD
2019-05-20 ,      28359.37 ,       9027.08 ,   0.31831031507399493 ,19332.29            ,      1.36 ,     0.14 ,TBD                      ,TBD                    ,TBD
2019-05-21 ,      34514.19 ,      10473.32 ,   0.3034496825798316  ,24040.870000000003  ,      1.05 ,     0.10 ,TBD                      ,TBD                    ,TBD
2019-05-22 ,      40929.85 ,      17292.09 ,   0.42248114762209    ,23637.76            ,      6.56 ,     0.66 ,TBD                      ,TBD                    ,TBD
2019-05-23 ,    3029180.77 ,     754461.84 ,   0.24906464727095173 ,2274718.93          ,    117.27 ,    11.73 ,TBD                      ,TBD                    ,TBD
2019-05-24 ,   10364458.52 ,    1716694.51 ,   0.16563282169419113 ,8647764.01          ,    620.44 ,    62.04 ,TBD                      ,TBD                    ,TBD
2019-05-25 ,   11097084.96 ,    2949594.50 ,   0.2657990373717027  ,8147490.460000001   ,   1322.13 ,   132.21 ,TBD                      ,TBD                    ,TBD
2019-05-26 ,   11477315.23 ,    4209013.22 ,   0.36672454625958717 ,7268302.010000001   ,   1891.55 ,   189.15 ,TBD                      ,TBD                    ,TBD
2019-05-27 ,   13896105.66 ,    4726959.41 ,   0.34016432557839377 ,9169146.25          ,   2049.52 ,   204.95 ,TBD                      ,TBD                    ,TBD
2019-05-28 ,   17019520.90 ,    5281202.78 ,   0.3103026701533062  ,11738318.119999997  ,   2195.10 ,   219.51 ,TBD                      ,TBD                    ,TBD
2019-05-29 ,   16922904.12 ,    5642322.30 ,   0.3334133586050241  ,11280581.82         ,   2406.77 ,   240.68 ,TBD                      ,TBD                    ,TBD
2019-05-30 ,   17681470.06 ,    5986625.67 ,   0.3385818967362491  ,11694844.389999999  ,   2658.00 ,   265.80 ,TBD                      ,TBD                    ,TBD
