Date,fees,revenue
2019-05-07,0.02,0.00
2019-05-08,0.96,0.10
2019-05-09,1.55,0.15
2019-05-10,0.60,0.06
2019-05-11,0.79,0.08
2019-05-12,0.00,0.00
2019-05-13,4.91,0.49
2019-05-14,1.36,0.14
2019-05-15,2.23,0.22
2019-05-16,1.69,0.17
2019-05-17,4.44,0.44
2019-05-18,0.84,0.08
2019-05-19,2.50,0.25
2019-05-20,1.36,0.14
2019-05-21,1.05,0.10
2019-05-22,6.56,0.66
2019-05-23,117.27,11.73
2019-05-24,620.44,62.04
2019-05-25,1322.13,132.21
2019-05-26,1891.55,189.15
2019-05-27,2049.52,204.95
2019-05-28,2195.10,219.51
2019-05-29,2406.77,240.68
2019-05-30,2658.00,265.80
2019-05-31,2684.58,268.46
2019-06-01,2506.24,250.62
2019-06-02,2523.76,252.38
2019-06-03,2470.79,247.08
2019-06-04,2372.47,237.25
2019-06-05,2397.35,239.73
2019-06-06,2320.24,232.02
2019-06-07,2238.50,223.85
2019-06-08,2411.53,241.15
2019-06-09,2389.79,238.98
2019-06-10,2908.52,290.85
2019-06-11,3000.96,300.10
2019-06-12,3119.78,311.98
2019-06-13,3307.89,330.79
2019-06-14,3173.83,317.38
2019-06-15,3258.35,325.83
2019-06-16,3230.87,323.09
2019-06-17,3197.35,319.74
2019-06-18,3267.67,326.77
2019-06-19,3263.54,326.35
2019-06-20,3270.57,327.06
2019-06-21,3424.13,342.41
2019-06-22,3730.27,373.03
2019-06-23,3920.05,392.00
2019-06-24,3908.13,390.81
2019-06-25,4170.41,417.04
2019-06-26,4457.25,445.73
2019-06-27,4377.91,437.79
2019-06-28,4350.16,435.02
2019-06-29,4080.03,408.00
2019-06-30,4065.57,406.56
2019-07-01,4123.05,412.31
2019-07-02,4116.72,411.67
2019-07-03,4834.59,483.46
2019-07-04,5567.10,556.71
2019-07-05,5733.93,573.39
2019-07-06,5441.60,544.16
2019-07-07,5665.36,566.54
2019-07-08,5532.21,553.22
2019-07-09,5874.21,587.42
2019-07-10,6197.46,619.75
