Date,fully_diluted_market_cap,circulating_market_cap
2020-06-16,785793159.08,0.00
2020-06-17,785793159.08,0.00
2020-06-18,673063859.30,0.00
2020-06-19,1462733720.82,0.00
2020-06-20,2201418163.02,566780576.18
2020-06-21,2598906734.88,667044801.76
2020-06-22,3362163225.86,864031335.33
2020-06-23,2803043981.37,721437309.93
2020-06-24,2415682391.01,623040869.65
2020-06-25,2090654521.87,560416474.88
2020-06-26,2299696860.56,617581038.71
2020-06-27,2620429014.79,760591168.62
2020-06-28,2312310965.74,683262624.36
2020-06-29,2416981869.18,709092339.00
2020-06-30,2332141236.57,686391453.51
2020-07-01,2157322774.87,637581261.45
2020-07-02,2006906765.04,595615385.29
2020-07-03,1799581070.42,533305699.58
2020-07-04,1720643225.21,510332383.53
2020-07-05,1805067631.77,537651437.95
2020-07-06,2003907408.83,590854010.62
2020-07-07,1954014324.85,596533817.85
2020-07-08,1872890846.50,571709346.16
2020-07-09,1849992526.36,564518972.87
2020-07-10,1800001003.13,550776849.07
2020-07-11,1749935934.70,537043993.70
2020-07-12,1778005776.28,544708607.48
2020-07-13,1762241214.58,540235646.90
2020-07-14,1659076608.14,508777141.38
2020-07-15,1640786057.45,505289305.33
2020-07-16,1604029858.59,495267602.36
2020-07-17,1551145090.88,477246774.99
2020-07-18,1685605862.93,519876009.48
2020-07-19,1637401786.84,504494524.87
2020-07-20,1630341659.71,503762734.71
2020-07-21,1583282810.41,490439102.16
2020-07-22,1597227735.31,493327026.20
2020-07-23,1578125013.84,488519532.93
2020-07-24,1569134575.36,486204081.94
2020-07-25,1550938673.12,480611709.40
2020-07-26,1555391991.44,482864350.13
2020-07-27,1576262114.16,489904063.59
2020-07-28,1361559013.50,423452804.97
2020-07-29,1360489223.08,428106408.00
2020-07-30,1331186131.72,420146413.59
2020-07-31,1329472001.15,420196873.48
2020-08-01,1345526565.52,425290754.59
2020-08-02,1380522490.27,436654889.16
2020-08-03,1276767606.04,404212042.12
2020-08-04,1270082798.29,401869913.98
2020-08-05,1318995191.28,418337421.08
2020-08-06,1360325119.86,432170766.16
2020-08-07,1367206370.86,434723290.84
2020-08-08,1543166012.02,490118945.24
2020-08-09,1511502436.16,479668945.12
2020-08-10,1704205352.06,539978268.81
2020-08-11,1764065022.92,563907573.97
2020-08-12,1935964701.81,616010505.56
2020-08-13,2170793078.66,694793345.30
