Date,Price
2020-06-16,78.58
2020-06-17,78.58
2020-06-18,67.31
2020-06-19,146.27
2020-06-20,220.14
2020-06-21,259.89
2020-06-22,336.22
2020-06-23,280.30
2020-06-24,241.57
2020-06-25,209.07
2020-06-26,229.97
2020-06-27,262.04
2020-06-28,231.23
2020-06-29,241.70
2020-06-30,233.21
2020-07-01,215.73
2020-07-02,200.69
2020-07-03,179.96
2020-07-04,172.06
2020-07-05,180.51
2020-07-06,200.39
2020-07-07,195.40
2020-07-08,187.29
2020-07-09,185.00
2020-07-10,180.00
2020-07-11,174.99
2020-07-12,177.80
2020-07-13,176.22
2020-07-14,165.91
2020-07-15,164.08
2020-07-16,160.40
2020-07-17,155.11
2020-07-18,168.56
2020-07-19,163.74
2020-07-20,163.03
2020-07-21,158.33
2020-07-22,159.72
2020-07-23,157.81
2020-07-24,156.91
2020-07-25,155.09
2020-07-26,155.54
2020-07-27,157.63
2020-07-28,136.16
2020-07-29,136.05
2020-07-30,133.12
2020-07-31,132.95
2020-08-01,134.55
2020-08-02,138.05
2020-08-03,127.68
2020-08-04,127.01
2020-08-05,131.90
2020-08-06,136.03
2020-08-07,136.72
2020-08-08,154.32
2020-08-09,151.15
2020-08-10,170.42
2020-08-11,176.41
2020-08-12,193.60
2020-08-13,217.08
2020-08-14,204.66
2020-08-15,196.37
2020-08-16,196.64
2020-08-17,200.56
2020-08-18,184.70
2020-08-19,184.82
2020-08-20,181.84
2020-08-21,179.83
2020-08-22,169.48
2020-08-23,174.28
2020-08-24,169.30
2020-08-25,180.88
2020-08-26,165.76
2020-08-27,179.70
2020-08-28,171.65
2020-08-29,188.81
2020-08-30,195.74
2020-08-31,216.53
2020-09-01,244.02
2020-09-02,256.35
2020-09-03,223.46
2020-09-04,185.73
2020-09-05,187.79
2020-09-06,157.67
2020-09-07,172.19
2020-09-08,178.81
2020-09-09,173.93
2020-09-10,177.85
2020-09-11,171.67
2020-09-12,173.06
2020-09-13,180.22
2020-09-14,165.06
2020-09-15,165.87
2020-09-16,154.64
2020-09-17,153.16
2020-09-18,158.25
2020-09-19,152.83
2020-09-20,152.08
2020-09-21,144.67
2020-09-22,129.15
2020-09-23,143.94
2020-09-24,127.33
2020-09-25,138.74
2020-09-26,139.92
2020-09-27,144.27
2020-09-28,138.89
2020-09-29,131.40
2020-09-30,132.56
2020-10-01,133.14
2020-10-02,129.19
2020-10-03,120.45
2020-10-04,121.53
2020-10-05,119.64
2020-10-06,122.08
2020-10-07,105.52
2020-10-08,110.55
2020-10-09,107.54
2020-10-10,115.67
2020-10-11,113.74
2020-10-12,115.39
2020-10-13,117.31
2020-10-14,114.01
2020-10-15,107.96
2020-10-16,106.83
2020-10-17,103.15
2020-10-18,103.20
2020-10-19,104.73
2020-10-20,102.83
2020-10-21,95.04
2020-10-22,95.21
2020-10-23,101.63
2020-10-24,102.97
2020-10-25,105.46
2020-10-26,101.51
2020-10-27,100.15
2020-10-28,108.83
2020-10-29,108.09
2020-10-30,96.58
2020-10-31,92.05
2020-11-01,90.51
2020-11-02,93.67
2020-11-03,91.03
2020-11-04,87.36
2020-11-05,88.54
2020-11-06,91.12
2020-11-07,95.58
2020-11-08,92.69
2020-11-09,97.47
2020-11-10,94.58
2020-11-11,102.05
2020-11-12,102.92
2020-11-13,104.07
2020-11-14,111.01
2020-11-15,122.69
2020-11-16,120.01
2020-11-17,120.20
2020-11-18,121.80
2020-11-19,114.42
2020-11-20,113.32
2020-11-21,116.17
2020-11-22,127.31
2020-11-23,116.52
2020-11-24,125.38
2020-11-25,127.28
2020-11-26,123.14
2020-11-27,106.77
2020-11-28,104.53
2020-11-29,108.22
2020-11-30,110.61
2020-12-01,111.57
2020-12-02,105.38
2020-12-03,113.85
2020-12-04,131.86
2020-12-05,127.10
2020-12-06,142.66
2020-12-07,136.76
2020-12-08,149.56
2020-12-09,154.76
2020-12-10,166.66
2020-12-11,149.10
2020-12-12,142.94
2020-12-13,144.27
2020-12-14,146.96
2020-12-15,152.91
2020-12-16,150.06
2020-12-17,155.32
2020-12-18,177.83
2020-12-19,160.74
2020-12-20,155.78
2020-12-21,152.99
2020-12-22,143.29
2020-12-23,145.68
2020-12-24,130.02
2020-12-25,136.56
2020-12-26,137.77
2020-12-27,129.94
2020-12-28,131.46
2020-12-29,143.19
2020-12-30,140.36
2020-12-31,157.72
2021-01-01,150.43
2021-01-02,145.40
2021-01-03,136.91
2021-01-04,146.34
2021-01-05,145.47
2021-01-06,162.42
2021-01-07,181.53
2021-01-08,173.92
2021-01-09,165.82
2021-01-10,182.72
2021-01-11,197.08
2021-01-12,168.58
2021-01-13,184.28
2021-01-14,211.76
2021-01-15,212.73
2021-01-16,202.62
2021-01-17,208.21
2021-01-18,215.35
2021-01-19,225.48
2021-01-20,213.07
2021-01-21,212.97
2021-01-22,177.74
2021-01-23,200.12
2021-01-24,206.74
2021-01-25,250.67
2021-01-26,214.00
2021-01-27,236.82
2021-01-28,220.64
2021-01-29,253.54
2021-01-30,291.26
2021-01-31,337.02
2021-02-01,347.76
2021-02-02,362.38
2021-02-03,356.32
2021-02-04,388.41
2021-02-05,455.06
2021-02-06,535.29
2021-02-07,463.21
2021-02-08,457.24
2021-02-09,456.30
2021-02-10,487.70
2021-02-11,475.52
2021-02-12,501.26
2021-02-13,535.01
2021-02-14,510.63
2021-02-15,471.64
2021-02-16,459.02
2021-02-17,455.80
2021-02-18,474.19
2021-02-19,457.68
2021-02-20,452.46
2021-02-21,456.02
2021-02-22,455.22
2021-02-23,425.91
2021-02-24,379.79
2021-02-25,437.63
2021-02-26,397.35
2021-02-27,398.90
2021-02-28,402.27
2021-03-01,400.15
2021-03-02,494.36
2021-03-03,501.44
2021-03-04,494.21
2021-03-05,472.46
2021-03-06,479.15
2021-03-07,493.43
2021-03-08,489.72
2021-03-09,479.43
2021-03-10,502.38
2021-03-11,460.13
2021-03-12,465.68
2021-03-13,435.21
2021-03-14,463.90
2021-03-15,441.23
2021-03-16,431.61
2021-03-17,433.05
2021-03-18,439.32
2021-03-19,430.40
2021-03-20,442.48
2021-03-21,416.57
2021-03-22,403.83
2021-03-23,379.23
2021-03-24,361.06
2021-03-25,345.22
2021-03-26,359.18
2021-03-27,368.84
2021-03-28,361.74
2021-03-29,362.18
2021-03-30,406.78
2021-03-31,402.14
2021-04-01,398.23
2021-04-02,450.56
2021-04-03,487.18
2021-04-04,478.89
2021-04-05,550.20
2021-04-06,510.95
2021-04-07,483.14
2021-04-08,443.29
2021-04-09,456.32
2021-04-10,453.13
2021-04-11,450.69
2021-04-12,460.46
2021-04-13,465.04
2021-04-14,486.31
2021-04-15,484.44
2021-04-16,564.63
2021-04-17,563.67
2021-04-18,539.23
2021-04-19,487.98
