Date,total_value_locked,total_borrowed
2019-05-07,9546.16,180.40
2019-05-08,10826.13,3306.89
2019-05-09,12505.62,5374.23
2019-05-10,12600.91,5931.52
2019-05-11,13079.68,5878.13
2019-05-12,13396.41,5878.13
2019-05-13,13068.49,6036.77
2019-05-14,14145.83,6166.79
2019-05-15,31276.43,7430.25
2019-05-16,32018.12,9652.35
2019-05-17,25775.89,11065.31
2019-05-18,25669.01,11562.22
2019-05-19,25060.27,9690.80
2019-05-20,28359.37,9027.08
2019-05-21,34514.19,10473.32
2019-05-22,40929.85,17292.09
2019-05-23,3029180.77,754461.84
2019-05-24,10364458.52,1716694.51
2019-05-25,11097084.96,2949594.50
2019-05-26,11477315.23,4209013.22
2019-05-27,13896105.66,4726959.41
2019-05-28,17019520.90,5281202.78
2019-05-29,16922904.12,5642322.30
2019-05-30,17681470.06,5986625.67
2019-05-31,17366037.45,6067120.09
2019-06-01,18572920.60,6295620.83
2019-06-02,19232265.27,6398623.98
2019-06-03,20184022.47,6592339.88
2019-06-04,19724035.56,6470083.38
2019-06-05,19868167.68,6608920.55
2019-06-06,20757443.79,6641162.87
2019-06-07,20497246.52,6762658.25
2019-06-08,20547630.66,6779386.13
2019-06-09,20388305.58,6809099.31
2019-06-10,22268511.32,7510206.41
2019-06-11,23520650.01,8032022.08
2019-06-12,23451984.39,8078521.64
2019-06-13,24205028.68,8266070.29
2019-06-14,24842120.43,8345309.01
2019-06-15,25597292.38,8441022.07
2019-06-16,26202651.07,8607622.47
2019-06-17,27387441.59,8616240.95
2019-06-18,27697961.29,8942838.11
2019-06-19,28021183.69,9025505.20
2019-06-20,28240636.28,9110022.12
2019-06-21,29986415.58,9360328.40
2019-06-22,31108534.87,9809709.10
2019-06-23,31407567.45,10188039.26
2019-06-24,31772555.74,10235011.53
2019-06-25,36693409.96,10412564.50
2019-06-26,38589573.03,10835508.11
2019-06-27,37631526.79,11145345.80
2019-06-28,39516052.54,11113137.39
2019-06-29,38603484.86,11050333.11
2019-06-30,40221369.13,11153197.20
2019-07-01,38679699.57,11098967.53
2019-07-02,37771863.91,11199584.62
2019-07-03,42389542.98,12378798.46
2019-07-04,44952882.40,13873332.45
2019-07-05,46781650.54,14412493.20
2019-07-06,47247798.72,14580582.37
2019-07-07,47491123.80,14917480.66
2019-07-08,49789045.93,14960627.27
2019-07-09,50968808.46,15285354.50
2019-07-10,50787606.33,15976940.41
2019-07-11,46804821.72,16316680.61
2019-07-12,49074995.91,16772212.62
2019-07-13,49136806.13,17413367.92
2019-07-14,51565318.77,18474437.26
2019-07-15,54405435.41,19909028.37
2019-07-16,54307943.71,20515940.61
2019-07-17,55917636.94,22240080.42
2019-07-18,60047141.67,23242608.46
2019-07-19,65566553.29,24794714.77
2019-07-20,71015027.22,26375449.53
2019-07-21,73321648.59,26921747.75
2019-07-22,77091901.02,28406737.47
2019-07-23,77795842.76,31538953.58
2019-07-24,79069185.18,33120872.47
2019-07-25,85427280.57,34534912.36
2019-07-26,90139646.05,36982054.15
2019-07-27,92087983.36,37489861.54
2019-07-28,88686132.74,37199311.70
2019-07-29,87883295.97,37509384.08
2019-07-30,88074968.16,39014812.77
2019-07-31,90683586.11,39348399.30
2019-08-01,93691761.72,39674928.97
2019-08-02,97311954.19,40431936.55
2019-08-03,99451333.19,41241357.41
2019-08-04,98964337.80,41812558.66
2019-08-05,101653740.88,41094382.72
2019-08-06,105964888.88,41899912.89
2019-08-07,105012318.43,43772683.83
2019-08-08,103320004.81,43481578.72
2019-08-09,98674208.49,43456293.10
2019-08-10,100501964.56,43619198.60
2019-08-11,99563105.02,43563385.02
2019-08-12,101334687.50,43798184.94
2019-08-13,102708519.09,44122405.17
2019-08-14,102147459.31,44490663.80
2019-08-15,94766256.01,42804391.96
2019-08-16,98197162.89,42576738.49
2019-08-17,100807857.12,43983358.16
2019-08-18,100222859.16,44238538.96
2019-08-19,106747995.29,44447514.59
2019-08-20,109060316.89,44869640.30
2019-08-21,105403589.13,44268408.35
2019-08-22,104972610.11,44625470.93
2019-08-23,107508838.95,45238331.45
2019-08-24,107538119.79,46309101.62
2019-08-25,109080467.37,46635903.24
2019-08-26,108757959.70,46572084.28
2019-08-27,107023439.83,46234152.64
2019-08-28,106403046.08,45903275.62
2019-08-29,100434705.20,45298230.83
2019-08-30,107116001.75,45332994.59
2019-08-31,106890852.70,45269670.75
2019-09-01,108641364.98,45186711.21
