timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1557266749,566.3037116160551804526682820348109,10143.19657764109733050989340556288,10143.19657764109733050989340556288
1557359676,4399.002455855155031249980005961374,14892.6259291280424938882884941213,14892.6259291280424938882884941213
1557435375,5800.532466328007277654225411955972,18252.63642532909760317964268186809,18252.63642532909760317964268186809
1557519596,5832.298106226073184492289846282399,18558.52396577091686482005294238791,18558.52396577091686482005294238791
1557618212,6159.199129719968926812752024112838,20039.6223732804634064191268310697,20039.6223732804634064191268310697
1557791678,6286.307657203972341374969763460148,20145.38958956397015008612008628363,20145.38958956397015008612008628363
1557873111,6285.38829975877657865380731642258,20691.77212638486997002280949966469,20691.77212638486997002280949966469
1557964597,8463.37474903143663966045070529179,41335.42354276822018007424994926545,41335.42354276822018007424994926545
1558045575,12599.19630249405473114307606912634,45408.5512142323153256265070891881,45408.5512142323153256265070891881
1558131908,12654.28327440781468422908683186924,36981.25790851632485316543503366878,36981.25790851632485316543503366878
1558206105,9923.895089814336171467451432948394,36140.24614312922896543836109646156,36140.24614312922896543836109646156
1558289783,8781.212163645556606147572103171909,35480.84305132963771486200132697437,35480.84305132963771486200132697437
1558393438,8932.597525120626937695322259501068,39109.63036629944417962513774587776,39109.63036629944417962513774587776
1558481664,11147.45112436909321400132232525903,51748.52013214858005946445521616029,51748.52013214858005946445521616029
1558567693,17449.31114468874549824080683453047,58327.3009449748459834517186850737,58327.3009449748459834517186850737
1558655958,1201998.534482018896140752379107216,4659223.391037443371183329350027142,4659223.391037443371183329350027142
1558742182,2320557.089989079056587644831468193,13253572.76660356703285499154633128,13253572.76660356703285499154633128
1558828616,3452025.770239641232666973472638032,15063099.98629987050433471265777184,15063099.98629987050433471265777184
1558914716,4680229.273817597180789576896035744,17494148.02674381496612101252198395,17494148.02674381496612101252198395
1559001575,4835925.285092949942394938626041915,19577112.69808948896540740091273207,19577112.69808948896540740091273207
1559087735,5502548.111271921147126039121887386,23127225.26452640863087766456548198,23127225.26452640863087766456548198
1559174254,5796544.101193315052437693092224356,23563357.21365455946498751184902411,23563357.21365455946498751184902411
1559260609,5941866.052709484507655701553299638,22532371.81548854747193443955169935,22532371.81548854747193443955169935
1559347083,6319395.845336228210223209217598884,25072022.18746262347507080115634923,25072022.18746262347507080115634923
1559433493,6312298.367198910888032688549939937,25251152.17579368624645199751012354,25251152.17579368624645199751012354
1559519721,6646404.546159795508704497407413067,26576800.88564157209209692263369666,26576800.88564157209209692263369666
1559606327,6603944.143712959962001652204468015,26619866.05991894464271253249897641,26619866.05991894464271253249897641
1559692798,6549105.675672350598507146589234033,26123551.70847890435837511492612525,26123551.70847890435837511492612525
1559779056,6591822.588867302377517409808492842,26919004.93150003534622990231359709,26919004.93150003534622990231359709
1559865537,6695333.861496866543959384603792313,28092487.39228020654246145854472807,28092487.39228020654246145854472807
1559951471,6793237.686658668889997584364136401,27995691.67041512784144933852590236,27995691.67041512784144933852590236
1560037956,6761514.109580130456278195865101324,27457463.21431101099626592289695575,27457463.21431101099626592289695575
1560124673,6744613.281405293524885500152967323,26628640.02819582514374168120544535,26628640.02819582514374168120544535
1560211141,7999233.750021894504569792432246516,31667654.19722649694318271522293507,31667654.19722649694318271522293507
1560296607,7995135.677462152527955952561229801,32431400.1245835363395526206956214,32431400.1245835363395526206956214
1560383961,8212525.665360513048816748835852413,33011921.60933047085197760926392119,33011921.60933047085197760926392119
1560470146,8336906.777946872800631214548489138,33075496.18048437761717867445177944,33075496.18048437761717867445177944
1560555904,8472875.858236461535837688637857383,34666041.07350983967443969037583358,34666041.07350983967443969037583358
1560643155,8530844.097425684498435603599555244,35543197.9888038517113603987351869,35543197.9888038517113603987351869
1560729484,8598256.945004858010551219446337299,35826941.87628746124724884217279696,35826941.87628746124724884217279696
1560815935,8805663.170803901341563091102735489,36931749.99843615543152670849379102,36931749.99843615543152670849379102
1560902052,9008926.935955129339299026667746608,36908477.99692742817155113869188213,36908477.99692742817155113869188213
1560988760,9096643.096715162396186928326602831,37929526.16970020485302605439480831,37929526.16970020485302605439480831
1561074538,9196321.173736628599443158203118193,38285209.04187674290215209440941068,38285209.04187674290215209440941068
1561161538,9540419.998660546654241498710298709,40708590.5709171472214044747107889,40708590.5709171472214044747107889
1561247773,10152867.18247568108155960989246937,42007251.59231534058894539965357125,42007251.59231534058894539965357125
1561334378,10162061.94795210728427347063398728,42129042.79834593146004005285567714,42129042.79834593146004005285567714
1561420560,10009754.94738842845578833916420157,42972323.77055701437156449832815236,42972323.77055701437156449832815236
1561507182,10826840.13848376999231411679682817,48297769.16710359310165723236301661,48297769.16710359310165723236301661
1561593492,10807478.48310242566265833970062863,51151944.26754194377442159484069836,51151944.26754194377442159484069836
1561679973,10986041.18485877424622598033078309,48160007.5486613323026768259150376,48160007.5486613323026768259150376
1561766219,11041692.53001756169758436695314078,52035518.24718041709217409791057812,52035518.24718041709217409791057812
