block,HHI,depositers
11373260,10000.0,1
11374076,9728.111214412032,2
11374090,9470.308128501269,2
11374768,9460.073215518703,2
11374785,9096.931386226937,3
11374832,9898.459092711111,4
11375154,9898.358464867015,4
11375179,9898.257637474771,4
11375257,9896.284556253035,5
11375356,9895.24551302178,5
11375784,9955.085742221572,5
11378799,9951.0660814393,6
11378801,9955.085742221572,5
11379249,9954.75603000861,6
11379261,9954.957085366601,6
11379720,9950.937502502455,7
11379729,9942.911009871223,7
11379953,9962.982656127562,7
11380018,9962.983124748627,7
11380026,9963.385692414211,7
11380161,9995.964184947947,7
11380190,9996.008755735134,7
11380260,9995.964366397411,7
11380276,9995.724602646089,7
11380279,9996.902568132946,7
11380297,9997.904680992837,7
11380410,9997.669030150983,8
11380469,6858.833010151922,9
11380493,6855.648557430304,10
11380555,6824.285968222153,11
11380573,6821.094281425846,12
11380574,6824.213901777053,12
11380695,6823.894567767398,13
11380771,6823.863263242987,14
11380775,6819.524091238345,15
11380995,6797.710170933748,16
11381029,6778.052695416301,17
11381032,6747.221058276091,18
11381060,6716.5995591961355,19
11381120,6703.5638421869,20
11381168,6932.664305849153,20
11381346,6932.382611538817,21
11381557,6929.159009991785,22
11381903,6925.905476821333,23
11381915,6939.680702688472,22
11381928,6938.863667437377,23
11381996,6971.22051003367,22
11382053,6954.819919746931,23
11382168,6945.719801358681,24
11382220,6938.791694108841,25
11382221,6934.792342837289,26
11382337,6510.135278580621,26
11382354,6504.276000240552,27
11382593,6501.348831685516,28
11382662,6220.477513413004,29
11382687,6498.423270308472,29
11382720,6328.269527867381,29
11382739,6501.348831685516,28
11382743,6386.643899089173,29
11382769,6385.522970573352,30
11382777,6471.088294073435,30
11383007,6442.177655611096,31
11383020,6427.803334798282,31
11383039,6327.348704398494,31
11383199,6313.3420751228505,32
11383609,6285.492917459162,33
11383798,6285.479063628328,34
11383800,6252.206186400212,35
11383829,6219.340722865393,36
11383857,6059.33941032601,37
11383903,6027.974465574091,37
11384039,5900.687429454389,38
11384168,5961.787845204736,37
11384475,5731.438037768335,38
11384604,4355.6215318761615,38
11385040,4328.236856383739,39
11385982,4701.523539192012,39
11386288,4680.2333819034,40
11386304,4513.948380455574,41
11386369,4484.10606774825,42
11386680,4274.485062250891,43
11386961,4227.504286870217,44
11387014,4223.24305111746,45
11387102,4178.393856614337,46
