block,HHI,depositers
11373200,10000.0,1
11373711,9697.605236303369,2
11374245,5937.051404958677,2
11374597,9333.289846029496,3
11379011,9277.020169360405,3
11379993,8173.275608083995,3
11380028,8298.570746241476,3
11380159,9988.20347876599,4
11380479,7192.8614187126495,5
11380657,6190.186134228984,6
11380701,6190.215776602864,5
11380719,6190.229110420515,5
11380737,5375.965465741041,6
11380838,5366.414858181854,7
11380940,4716.3120063678725,8
11381042,5373.889001561435,7
11381080,5296.873855881718,8
11381391,5084.464515671943,9
11381475,4881.581940355742,10
11381644,4637.109690577905,11
11381799,4119.092908931654,12
11381922,3499.2547714028196,13
11381945,3372.9906115778767,13
11382081,2836.042389099566,14
11382122,3372.9906115778767,13
11382158,3259.8835276567174,13
11382234,2963.047784301766,14
11382362,2962.9870884969946,15
11382593,2961.333852565353,16
11382664,2702.007866907122,17
11382687,2579.7868470052204,18
11383026,2413.7841356063536,18
11383060,2413.4929077423762,19
11383101,2413.7841356063536,18
11383294,1971.4481680753609,19
11383559,1971.247879304757,20
11383621,1971.2872149344548,20
11383629,1971.4481680753609,19
11383666,1971.3726019158205,20
11383693,1971.2970474476704,20
11384015,4664.0470873181675,21
11384320,4664.0445599443865,22
11384401,4664.02360074794,23
11384430,4663.276753857233,24
11384444,4664.02360074794,23
11384457,4784.780852199847,23
11384526,4669.713173624269,22
11384896,4554.534247587544,23
11384924,4669.713173624269,22
11385017,4668.520544443739,23
11385086,4656.63398686965,24
11385461,4647.560514641778,25
11385765,4435.856307116339,26
11385844,4432.451978421116,27
11385990,4428.047492972057,28
11386065,4419.424982787726,29
11386627,4342.545564783114,30
11386973,3809.349689851138,31
11386992,3787.7043749476734,32
11386998,4316.035106284405,31
11387087,3597.559712004288,32
11387166,4316.035106284405,31
11387299,4310.365245293196,32
11387375,4299.827527285022,33
11387400,4310.365245293196,32
11387499,3941.6405416907055,33
11387582,4310.365245293196,32
11387713,4308.839241688488,33
11388054,4284.90513727315,34
11388237,4228.7613758877305,35
11388295,4227.733264220441,36
11388367,4226.214625531061,36
11388614,4048.978771906365,37
11389072,4047.802117596901,38
11389407,3920.6059853903985,39
11389495,3906.6538037731707,40
11389965,3906.3793917562834,41
11390045,3800.1731313201585,42
11390142,3682.123730682969,43
11390224,3679.9912362721902,44
11390496,3676.8495181616076,45
11391027,3506.4955532983076,45
11391493,3407.102630465356,46
11391525,3371.852768517517,46
11391570,3469.6635987775026,45
11392416,3394.7026423603065,46
11392446,3335.7827974547085,46
11392510,3335.728402798073,47
11392613,3314.6276306962327,48
11392647,3214.280129565609,49
11392665,930.2345517493584,48
11392863,929.7993769771042,49
11393311,924.7172734673262,50
11393769,924.690577303997,51
11393778,901.4133951779164,52
11393858,888.1710272355581,52
11394294,887.9899032753518,53
11394331,887.4712657952833,53
11394536,868.8369351704682,54
11394569,862.4951486903612,55
11394638,856.8230620106201,56
11394654,865.3856826238034,55
11394710,871.1445880778706,54
11395047,850.0476879590733,55
11395072,849.9072958917086,55
11395192,787.6984745590444,56
11395244,787.6882039375568,57
11395400,787.5239253602658,58
11395515,781.2883433657743,58
11395643,781.6146311663856,57
11395674,780.6739612070483,58
11395691,780.6239769695231,59
11395705,780.6739612070483,58
11395811,774.0224399815205,59
11395893,773.9581439470277,60
11395917,774.6338818059804,59
11396131,772.1642376620852,60
11396313,770.5731873626157,61
11396334,744.1030652701211,61
11396347,743.3246064198487,62
11396422,729.7263451143912,63
11396459,729.405688606687,64
11396517,729.4026410654405,65
11397028,714.3816312328878,66
11397201,711.6210046523842,67
11397384,679.9551226004018,68
11397682,657.9284879608616,69
11397705,643.1431143017691,70
11397875,640.4486105021001,71
11398142,640.3683462608429,72
11398227,640.4486105021001,71
11398265,640.4412140886986,72
11398316,640.4889097406474,71
11398390,640.4963294432628,70
11398404,618.4598795227099,71
11398649,618.4176262342997,72
11398652,603.7752576642591,73
11398806,603.7730821343433,74
11399074,603.6757705837185,75
11399161,603.5728713373951,76
11399467,603.5726538033438,77
11399538,603.5725887606162,78
11399557,593.8227336196812,79
11399777,585.4427037748823,79
11399994,575.575778958016,79
11400549,573.6335878723135,80
11400589,573.6139252742172,81
11400618,573.500979639068,81
11401250,571.7201867242668,82
11401335,571.4152909821586,83
11401400,571.409235580633,84
11401413,571.3987602787789,85
11401426,571.4048155137831,84
11401433,571.2742989100885,85
11401517,563.7836320974515,85
11401530,590.2437963327395,84
11401627,590.0853712714219,84
11402018,589.737312857565,85
11402337,589.5247050378704,85
11402438,577.9231481514136,85
11402486,573.795215488205,86
11402505,572.7222046513168,86
11402590,572.6723749700069,87
11402662,551.9852764564522,88
11402707,552.5262510988161,90
11402761,542.6236701555013,91
11402770,542.4253605934714,92
11402864,541.6970399331055,93
11402877,541.6954666947145,94
11402892,523.1965957998809,95
11402917,522.9634685720238,96
11402960,519.2574261924037,97
11403006,519.1106876693613,98
11403042,518.3337528524297,99
11403044,518.0897645575305,100
11403080,522.7713852612736,100
11403122,518.1102103057926,101
11403495,517.7420115383005,102
11403602,504.6932152845727,103
11404038,503.9896825677953,104
11404079,501.2883355221641,104
11404086,480.64802335976213,105
11404142,483.7008454970664,104
11404177,465.81136990468354,105
11404461,456.57998062462246,106
11404678,459.5688195909739,106
11405023,460.1123075227996,106
11405048,460.787701642223,106
11405158,460.6764358923969,107
11405222,464.85721211147404,108
11405772,461.9392461166016,109
11405854,462.2044640282696,108
11405917,462.7181322053759,108
11405976,463.96657917760695,107
11406082,463.6184620031988,108
11406183,462.49503879982296,109
11406258,462.38665524507644,110
11406392,462.3822077502051,111
11406550,460.4811367346697,112
11406604,457.05807413407086,113
11407014,456.98305933422546,114
11407166,456.5888820117047,115
11407183,458.2957888573045,114
11407306,450.59489992321824,115
11407574,466.5504550038812,114
11407580,463.93429146123634,115
11407594,463.83320226881267,116
11407717,457.9728472307271,116
11407797,457.96765673241816,117
11407810,460.49338441110433,116
11407813,467.17474187912916,116
11407864,467.06746567621457,117
11407899,466.86959204033525,118
11407919,461.77871731806385,119
11407958,1962.5063228921135,120
11408005,461.77871731806385,119
11408028,1988.5253510474927,120
11408077,1988.784960115691,119
11408273,1989.1742254972287,119
11408494,1986.6033020890138,119
11408510,1991.94261480928,118
11408872,1984.7148293012535,119
11409251,2161.173535567897,118
11409280,466.1398746498564,117
11409752,456.16902334131504,118
11409902,454.63322130560607,119
11409928,454.65407589408045,118
11410022,473.33704745539586,117
11410140,471.1602860865989,118
11410230,472.8512937497102,117
11410561,470.57391004671325,118
11411065,470.39060210528174,119
11411171,473.7378684401428,118
11411230,598.9228444552889,119
11411539,593.90210631632,120
11411553,593.8432536870465,120
11411566,593.9010859258334,119
11411938,593.0555750691417,119
11412067,593.0461902621926,120
11412144,571.8896929455045,121
11412295,552.3526234905133,122
11412305,528.0431463457542,123
11412423,1095.0153514456576,124
11412452,528.0431463457542,123
11413318,528.151433242557,122
11413444,528.2577929243926,121
11413455,517.4771092194559,121
11413495,517.6464687288005,120
11414056,514.1643974207169,121
11414209,505.08065726910894,122
11414221,498.34641162155924,123
11414515,498.5697649789732,122
11414526,753.2605584349658,123
11414628,752.9937745091953,124
11414642,752.9081483463862,124
11414658,752.8653350239803,124
11414720,714.8507882390182,125
11414884,714.7371359124852,125
11415049,774.6522894057719,125
11415119,774.568727576535,125
11415128,792.1621195189279,125
11415659,760.5192495653725,125
11415792,727.4002500354158,126
11415806,727.9411092045083,125
11415808,709.8208439571679,126
11415813,709.609145757526,127
11415884,702.2560424462191,127
11415954,703.7271531807941,126
11415978,735.0253329813698,125
11416007,734.9361749032828,125
11416372,697.2366689520478,126
11416561,696.7667318585372,126
11416972,696.8118151433881,125
11417216,696.8603076719936,124
11417512,698.5742150510092,123
11417673,719.3566814056702,123
11417735,718.7914444249251,124
11417757,716.1315817209079,124
11418104,716.6864902914738,123
11418536,725.2282343869125,122
11418857,720.3785986213247,123
11419080,684.3045632883293,124
11419210,683.0684150458625,125
11419228,683.5550611849667,124
11419310,678.1386381606909,124
11419336,677.8059347561552,125
11419351,661.8928045628671,126
11419436,661.6844820512799,126
11419541,661.821817497326,125
11419646,651.3252313117324,126
11419649,651.20298245482,126
11419978,651.2083033883013,126
11420081,654.9764958447445,125
11420118,654.1799069892116,125
11420299,657.7339021919029,125
11420490,643.4232647091119,126
11420540,635.6228910967787,126
11420555,630.3660434768271,126
11420622,632.7602512152249,125
11420756,626.6090447420345,125
11421067,626.5689343173933,125
11421100,624.85437068636,125
11421453,624.799266781087,125
11421501,647.8769219750016,124
11421840,543.1300218843343,124
11421880,543.3215692804877,123
11421955,538.5993871729664,124
11422108,543.3215675544974,124
11422128,538.5993870292023,125
11422159,535.770471198192,125
11422450,534.7740383043381,126
11422669,558.9401871459215,125
11422699,560.0143380729523,124
11422756,559.8879488261684,124
11422797,552.8159429808076,125
11422987,565.7390076493674,124
11423153,567.3455737886002,124
11423392,566.0891402932981,124
11423743,564.5027890486549,124
11424133,545.9395200148997,125
11424164,564.5027890486549,124
11424556,570.0260259296119,125
11424962,575.495313834288,125
11425470,1527.5058459968188,126
11425744,1516.8745165500288,126
11425999,1515.9923463047433,126
11426061,1505.738436440178,126
11426525,1505.7062141967253,127
11426565,1545.1811988253794,127
11426596,1555.7265730367592,127
11426658,1503.6623012735602,128
11426896,1502.1701509950844,128
11427177,1496.3173266432352,129
11427375,1496.320688355988,129
11427387,1496.3706697604143,128
11427861,1485.8292937222284,129
11428012,1480.115346634237,130
11428016,1460.5331056762861,130
11428498,1459.1484002169968,131
11428682,1464.1854362602498,131
11428822,1464.4087992747457,130
11428829,1461.3476228347745,131
11429187,1615.0124767240345,131
11429530,1594.5587239932108,131
11429825,1605.4099274204725,131
11430441,1561.6843288491086,132
11430876,1419.5113125077823,133
11430925,1351.5090078630806,133
11431159,1350.1482073975917,134
11431424,1349.4212230136832,134
11432984,1349.3976988070735,135
11432999,1349.4212230136832,134
11433115,1348.7591592571102,135
11433368,1348.7449681689102,136
11433424,1347.710807799674,136
11433682,1347.7849194330315,135
11433809,1347.7411701916774,135
11434584,1347.1975006052328,136
11434966,1346.771521518844,136
11434988,1346.1316497702219,136
11434994,1424.4350997075549,136
11435036,1484.8296583775193,136
11435133,1487.3675013665036,135
11435153,1484.8665255072713,136
11435174,1483.5561549684237,136
11435233,1483.512375798254,136
11435346,1532.119782153636,136
11435371,1531.1969471448015,136
11435415,1530.3308711419215,136
11435888,1511.834443588863,136
11435916,983.827512195958,136
11436272,982.2541752467073,137
11436364,976.0957908785316,138
11436533,979.5885193132862,138
11436541,983.3125294737212,138
11436853,982.5742579184612,139
11437066,921.9063875589318,140
11437561,845.3537350787104,141
11437574,850.1252414185354,141
11437636,913.7102004287957,140
11438067,913.7088296436343,141
11438149,913.7073976577913,142
11438851,912.761399913376,143
11439008,912.6878581268637,143
11439379,911.9300660719477,144
11439654,911.8646106487042,145
11439854,911.8731177760334,144
11439881,921.3081795770582,144
11440016,920.9924460170912,145
11440050,917.9651429421364,146
11440090,917.9175987441729,147
11440270,916.3171186217423,147
11440279,914.3841182638052,148
11440597,914.0523099935173,149
11440610,914.7595074725878,149
11440766,872.3799223380583,150
11440789,843.8008170240516,150
11440839,840.6109383495085,150
11440938,838.8256668771377,150
11440990,838.86484923399,150
11440998,838.288531606502,151
11441033,800.1515513333101,152
11442261,800.1094915689732,153
11442624,796.1889239569626,154
11442652,794.8176065226854,154
11442702,748.3872926265158,155
11442741,737.4003741288565,155
11442823,740.2803723563419,155
11442913,851.4054685724014,155
11443073,851.0613621797958,155
11443079,851.0607110976298,156
11443191,850.2297591783561,157
11443352,797.0341924713167,158
11443367,796.3542541106649,158
11443595,807.0034112157057,158
11443714,801.894834763204,158
11443732,801.9344534863732,158
11443913,796.7524656043801,159
11444018,796.3799045006006,160
11444317,791.2700740880957,161
11444624,786.4266784261108,161
11444660,785.8254003523913,161
11444714,779.2599408209829,162
11444739,778.809419649014,162
11444870,778.5491889744105,163
11444880,778.809419649014,162
11444963,773.8670990759286,163
11445063,771.2419745804589,163
11445846,768.1052433884756,163
11446393,765.8031664499193,163
11446481,763.3636471220295,164
11446823,760.926901882854,165
11446854,760.987962571459,165
11446884,761.957445234048,165
11447013,760.7389701378871,166
11447049,760.7145038299116,167
11447056,759.9428448530223,167
11447097,760.3025200345596,166
11447203,760.0495815302212,167
11447210,760.3025200345596,166
11447235,759.726701796539,167
11447487,759.6884229101158,167
11447822,764.2834587237495,167
11447839,769.1408176119633,166
11447916,763.5358193008652,167
11448974,764.2641549405007,166
11449013,765.2117361778471,166
11449113,751.6781627520776,166
11449289,751.6162598874214,166
11449307,751.5347057069879,166
11449514,751.5113894099429,167
11449573,740.3518699928991,167
11449599,734.6962778868271,168
11449729,733.5873979227711,168
11449988,735.0277147431242,168
11450015,776.6813880634917,167
11450074,780.6095918765171,167
11450136,779.7079524850584,167
11450248,779.4593192618573,167
11450365,779.0655690475844,167
11450846,770.2572615237152,168
11450880,770.9351829615559,168
11451001,767.563242047332,168
11451443,766.1683069591157,169
11451552,767.563242047332,168
11451614,766.9674389295284,169
11451626,767.5441355210869,169
11452119,756.1346270912582,170
11452394,755.354266408768,171
11452458,736.7852452321249,172
11452529,736.7164156083782,173
11452839,736.7009348912447,174
11452927,737.6492910105306,174
11453036,737.636150049778,175
11453188,737.4654069070688,176
11453194,735.7506344292726,177
11453299,735.1329879371016,177
11453339,734.9715590498615,178
