block,HHI,depositers
11363052,10000.0,1
11363059,10000.0,1
11367499,7222.222222222224,2
11367541,10000.0,1
11367752,7222.222222222224,2
11367770,10000.0,1
11372414,9992.006396162047,2
11373049,5914.987687444915,3
11374189,5895.609584598297,3
11374216,5531.391505403811,3
11374251,5348.135636639365,3
11374597,5045.532506657789,3
11374760,5026.86264992648,3
11375568,3672.1677529995986,4
11375629,3541.938641291047,5
11375764,3418.629086430194,6
11378773,3491.0153300835796,6
11379265,3280.966473360953,6
11379289,3383.9838569704475,6
11379423,3371.919742619903,7
11379447,3383.9838569704475,6
11379460,3371.9197426216774,7
11379461,3420.178380476683,7
11379495,3420.178380491449,6
11380031,3415.542644767219,6
11380046,9891.981972600615,7
11380335,9852.785047357651,8
11380353,8965.42124030745,9
11380410,8948.497510542938,10
11380471,8782.653092663053,11
11380482,8313.618271216978,13
11380483,8165.104436436921,14
11380489,8092.1391691394765,15
11380493,8048.7611627648175,17
11380500,7838.523300997768,18
11380502,4709.414274817609,19
11380508,4680.77336122034,20
11380512,4669.367916407364,21
11380519,4663.6771132599615,22
11380524,4663.677832625767,21
11380526,4607.668530113818,22
11380541,4552.66651708191,23
11380542,3458.218250195518,25
11380543,3447.7867693297285,26
11380545,3286.3487702608404,27
11380561,3278.297215841846,28
11380571,3279.3285695441823,28
11380579,3253.7703096504088,29
11380582,3192.126293283564,30
11380605,3187.9127674882225,31
11380620,3212.6923240672504,30
11380635,3200.228493926079,31
11380664,3185.4370643933103,32
11380695,3160.9727795110484,33
11380718,3136.790382551878,34
11380776,3044.525078458324,35
11380822,2632.7438560655064,35
11380876,2632.7255306390366,36
11380888,2627.9755458118916,37
11380950,2592.2785997785304,38
11380957,2563.3100210140014,39
11380961,2562.958049692539,40
11380987,2520.9652104180236,41
11381028,2396.0814189518624,42
11381037,2255.1042431517026,43
11381087,2252.217348397415,44
11381089,2217.1761338903166,45
11381106,2203.240214916009,46
11381166,2196.2966611713537,47
11381176,2182.5576824348495,48
11381180,2189.4358987530168,47
11381194,1851.5311539197892,48
11381235,1850.493408577152,49
11381304,1851.5311539197892,48
11381347,1841.2633069591159,49
11381349,3720.551906965207,50
11381377,3719.684343590193,51
11381406,3718.643700705132,52
11381493,3675.996728007739,53
11381634,3675.1447409108127,54
11381737,3672.591361789828,55
11381774,3630.7358500134706,56
11381809,3330.952408644151,57
11381820,3330.586042646613,58
11381996,3327.6589820584522,59
11382058,3330.586042646613,58
11382076,3328.0244428982473,59
11382125,3324.881795360796,60
11382135,3317.5973818451002,61
11382167,3310.336907346632,62
11382212,2786.033943236201,63
11382260,3310.336907346632,62
11382288,3303.1002670558714,63
11382294,3301.6538707459813,64
11382484,3300.569607095595,65
11382532,3299.1609679663816,66
11382546,3295.555017342112,67
11382547,3291.4519213925423,68
11382565,3287.858606041983,69
11382622,3280.6955748202504,70
11382662,3211.385743685901,71
11382739,3145.415428237735,72
11382836,1340.2228067442825,71
11382898,1619.1594984580934,72
11382918,1340.2228067442825,71
11382976,1300.683545631898,72
11382986,1293.9789487127357,72
11383051,1176.3496658764177,73
11383101,1176.1396428305634,74
11383130,1174.9018340769765,75
11383139,1159.2657600193706,75
