id,pool,user,reserve,borrowRateModeFrom,borrowRateModeTo,stableBorrowRate,variableBorrowRate,timestamp
11374100:19:0x62d0bbeab1336e25a593f49e53be8ec988ae97d20ccd06ec06b52b0feab0608d:37:37,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdad4c11e8cc6a5c37808d3b31b3b284809f702d1,DAI,Variable,Stable,56666673914079674102736942,33333347828159348205473884,1606925645
11376076:45:0x8d4a2e38dc1bca5b57a545b3c1085be9b6d6c0e395aafe2ee6b9dbaa860c04d0:103:103,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x39d637737cc76c5849a52c7d3b872a1eb22aa71c,REN,Variable,Stable,88891001085124435122556831,62223700759587104585789782,1606951364
11379770:66:0xf2657e3e5fb5b4afc9bb577949038bdf09a8a11d72c60ca63dcfb882808a062f:126:126,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9ccf93089cb14f94baeb8822f8ceffd91bd71649,UNI,Stable,Variable,30308254318244759445300705,17679815018976109676425411,1607000640
11379988:171:0x6cbbf9bd8719364b2a263a8737eedc51f752b0bb4eb3cf3f7573d51cca6b2407:296:296,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0a80c3c540eef99811f4579fa7b1a0617294e06f,ZRX,Stable,Variable,615021940998895315482068866,555021940998895315482068866,1607003188
11380007:131:0x7c78d7b8e8b00cd17ff722384a76850d78fe88acfb691c8586a8c96ddedb2299:186:186,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0a80c3c540eef99811f4579fa7b1a0617294e06f,ZRX,Variable,Stable,615027737538393079653697333,555027737538393079653697333,1607003431
11380098:124:0x2276d24619cb686cca5014c17d0aa10c1efe633114eb4692d4d6589bb1dd14e0:248:248,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0a80c3c540eef99811f4579fa7b1a0617294e06f,ZRX,Variable,Stable,1546869160085760578774619799,1486869160085760578774619799,1607004450
11380556:119:0x1ab320f5ebf9fdf0083ffc7a7db04a7a8885e0fb69fa52f2d66c43ce8a9cfffa:236:236,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9ccf93089cb14f94baeb8822f8ceffd91bd71649,UNI,Variable,Stable,113977414683625075191965,66486825232114627195313,1607010425
11387007:80:0xc53636eaf97529a40242355895ac4bca4a07508c4c91c6fc45a983e5f01d3512:189:189,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x853f491354827d06f312af28330fec3f51a0973d,USDT,Variable,Stable,59223017266162575036986175,38446034532325150073972351,1607096240
11387017:196:0x5f7c39c7060f84e583350e9f6c4bd4221d6f7bc1c582b6d7820d58eefbd67ab7:275:275,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7476c1bafb54426b9d893dfb7eebe8f4dc1daff4,DAI,Variable,Stable,53878235896662680426956035,27756471793325360853912070,1607096341
11387623:236:0x86a166235a1aed184ea552ca037a892ee5f12647f172dbdaa02a3cb2ddd77b7a:69:69,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa5e5cfe3a0bd7148a85d46edd5c90fd9cbf614c0,USDT,Variable,Stable,54240455081143375521053762,28480910162286751042107524,1607104315
11388533:58:0xb85367752ef9352c7190d5319b310f85ebc4b623f3c897495e2b78a845b50f23:183:183,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf8eda077aec1b2f48dbd42bb87eef2b64efb28a4,USDC,Variable,Stable,59476096968643278642947843,38952193937286557285895686,1607116352
11389505:45:0xeaada87fec6735328eb3e85cb797e06e4cce5bc00cbd69fe0d87454c19329fa2:100:100,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x7adaa3c9d9394ec49a8a4a1a06dd5873dba4213c,USDT,Variable,Stable,53013599575498076039649867,26027199150996152079299734,1607129886
11396513:59:0xe9e04c21844cf665346ff8d4690c0fe923ecbac9a4dcccf841e3ec2cae1e8c4b:252:252,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x005c17dd5beaad3cb9226bb50a02f066eb125e0b,WETH,Stable,Variable,35243203998009824696226290,4194563198407859756981032,1607222997
11399203:152:0xdcedf114be5d1c54f7b556a8b9e7ad53a93e74d7e9c2c29825cd91bdfe467cbb:288:288,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa4c86a9706605611a6954a5f70fe9f8afc5018ce,USDT,Variable,Stable,59869158646856459041975758,39738317293712918083951517,1607258071
11399593:126:0x4f93ecf54ced28edc6964108e60857c382c41cc39d48fa6398016fdf44fd8f2a:353:353,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf65312bd492729b06ec42589ded755d63193bbf4,USDT,Variable,Stable,462814933611272818063168566,442814933611272818063168566,1607262843
11400433:134:0x7e7dee15c24ca639e8587ae7687ca7a140e1d9d84e01ae75aede377a42b1b909:194:194,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x717e61157ce63c7cd901dcb2f169f019d16c5ac9,USDT,Variable,Stable,58480016596036478974019248,36960033192072957948038496,1607274587
11404902:173:0x1f5842200c3c14675d4f0cf5d8d8a61a1b2edc991c4070aba1a0d287d91542a0:252:252,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd85e821b874cff4880031b96601dc73bfe92f48c,USDC,Variable,Stable,89552239572572556818985720,69552239572572556818985720,1607333599
11404906:39:0xce42708bdacec81a98fa34ed594126271fd9ca7900a8820395a9bcc2efac8319:78:78,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd85e821b874cff4880031b96601dc73bfe92f48c,USDC,Stable,Variable,89552281916292689362534974,69552281916292689362534974,1607333640
11407189:56:0x2b96e1def9335875858294f8729ffb78040ef953783be4c194fd8dcb64ab606e:85:85,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc17905420d885c1967c9bbae432a518480f58cca,USDC,Stable,Variable,52223227376323692322319024,24446454752647384644638048,1607364065
11407191:111:0x95f09e95c7e1aa2dccd5aeb720b24e6f1639f1aef07961d37e041e410c1808f7:204:204,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc17905420d885c1967c9bbae432a518480f58cca,USDC,Variable,Stable,52223227433260645760489610,24446454866521291520979220,1607364073
11408161:40:0xebbae028ea4dded7dee71007f9be383f1070626939152c987e128eb580700d64:98:98,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x717e61157ce63c7cd901dcb2f169f019d16c5ac9,USDC,Variable,Stable,56857262981237718649795493,33714525962475437299590986,1607377617
11412024:150:0xb71d9d5099dc8d2801b550b5bea4fa8c0a467afe591bc70b6c2965279c0cb9a5:241:241,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5f3cb118b93237b2b0ec7205ec43807e5d4d63e6,USDC,Stable,Variable,59752780965656164415987476,39505561931312328831974953,1607428733
11412052:119:0x4e34c1e6affcf2c137c9d849e5700973560d05e43a0a979a7a2f738d75870d79:222:222,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5f3cb118b93237b2b0ec7205ec43807e5d4d63e6,USDC,Variable,Stable,59752782285409215530407202,39505564570818431060814404,1607429137
11413392:34:0xf2a1a309311b2cdacaaa949d8c96120c21b89477abbdeb31f3cb46942ac9b07a:106:106,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb10bda72ce3c74cc601b3bb32884280d9ecd027f,USDC,Variable,Stable,58333512005356266928211867,36667024010712533856423734,1607447557
11413958:85:0x028aa504bb6898ff08356cc2c427b4f0c4151ef76dd709df3f7e05ac6d83fa00:233:233,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd85e821b874cff4880031b96601dc73bfe92f48c,USDC,Variable,Stable,55851908332963226818839931,31703816665926453637679862,1607455195
11414012:78:0x9d9629b9daa64b963c64ad9db8d4635a40ab799368765f647e88c5e2362b18cf:156:156,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb7c575c5e12d6c6c51b31b69553cf262dd2d4e6a,DAI,Variable,Stable,59136438775583390519592266,38272877551166781039184533,1607455935
11415457:148:0xa5533771c6c43f1cf66f648c8cb2a739304377a205447a94a0454b5204a28f5c:269:269,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x51ab3dbf9a5089a85e6e3e8252df7c911078dd84,DAI,Variable,Stable,57306138088450670152374702,34612276176901340304749405,1607474638
11415721:111:0xa3b8f4bae2ff2f2e29a0170b77c8786e5b3e1bfc162259f3d1872d5c6183d6b9:146:146,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0d8a9757997939df3d2d8ca9d56db4e8cf9014e6,USDT,Variable,Stable,58979191512955052076840465,37958383025910104153680931,1607477944
11421260:120:0x98c93acc808314cfad6fc4a5c367f857c962f4070a0802a3fde1006b225f04ec:306:306,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa1e29a54467deba55dbf27f8850bde11466ab38e,USDT,Variable,Stable,54198906732131450331842402,28397813464262900663684804,1607551051
11421622:126:0x5126d7a21bce919452633e19ef8ff83d0598d1f4959c492e4b5aac9b96c26de6:106:106,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x6fc34a8b9b4973b5e6b0b6a984bb0becc9ca2b29,DAI,Variable,Stable,59749293593064003306062852,39498587186128006612125704,1607555812
11422910:52:0x3465c84905a85aa34623e3a7dc5a47895b332590bf5d624a851ef56fa86a6166:67:67,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0061f7db31a51a3c4c8a6f74da17beb02cdc1258,USDC,Variable,Stable,385002172533949481302545180,365002172533949481302545180,1607572581
11423232:106:0x70e94de0aaa51376198864a31d584de3be8eb1e9374dfddfbf0cbea0546b2756:360:360,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4396a292512aa418087645b56a3a76333bd10e28,USDC,Variable,Stable,58891211365627989179627609,37782422731255978359255218,1607576769
