decimals,totalDeposits,stableBorrowRate,variableBorrowRate,liquidityRate,utilizationRate,lastUpdateTimestamp,blockNumber
18,279820166447841901342759435,108782357368468413892515205,17564714736936827785030410,5898634021835364870502776,0.21804993,1659285305,15251339
18,279820166447841901342759435,108782256838224862875057217,17564513676449725750114435,5898240004660379671877448,0.21804608,1659279207,15250877
18,279820166447841901342759435,108781592320742209194824386,17563184641484418389648773,5897392898625315925816015,0.2180166,1659263567,15249709
18,279820166447841901342759435,108781554534670016352790970,17563109069340032705581939,5897345218594923982668784,0.21801483,1659263241,15249685
18,279820166447841901342759435,108781403144475107525037387,17562806288950215050074774,5897154129014863333789980,0.21800776,1659261864,15249583
18,279820166447841901342759435,108780281791897967443348412,17560563583795934886696824,5895742320058133564094833,0.21795472,1659255712,15249109
18,279820466447852330401021909,108780273963148795381422845,17560547926297590762845690,5895732172374743300057208,0.21795449,1659255683,15249108
18,279878466447852330401021909,108778779022113093077345935,17557558044226186154691870,5893798512965563040246666,0.2179098,1659255526,15249095
18,279878166447852330401021909,108778765283453016785241807,17557530566906033570483614,5893776084452698511655172,0.21791003,1659249153,15248640
18,279878166447852330401021909,108778755895815959712562617,17557511791631919425125235,5893739694508104377855543,0.21790968,1659248544,15248588
18,279878198742577858776103389,108778749974185631433184685,17557499948371262866369370,5893730931311658494203667,0.21790965,1659247033,15248531
18,279878198742577858776103389,108778749974185631433184685,17557499948371262866369370,5893730931311658494203667,0.21790965,1659247033,15248483
18,278878198742577858776103389,108804579978965652049742114,17609159957931304099484228,5927182058290064875252949,0.21868273,1659244923,15248346
18,278877098742577858776103389,108804604536578540758062950,17609209073157081516125900,5927213053515178659314794,0.21868358,1659243756,15248267
18,278877398742590207113291106,108804596021894086334395009,17609192043788172668790018,5927201850104106218216631,0.21868335,1659243537,15248251
18,278877098742590207113291106,108804565476343196656311265,17609130952686393312622529,5927153938111280077824238,0.21868358,1659232207,15247403
18,278861200693107477876251784,108804971188790239105203217,17609942377580478210406434,5927678773764959403115501,0.21869592,1659230351,15247257
18,278861301047040584150274360,108804978261507009047772570,17609956523014018095545141,5927686068126684052459127,0.21869659,1659228618,15247122
18,278861301047040584150274360,108805105671956557887009897,17610211343913115774019795,5927845599613279117146395,0.21870287,1659227788,15247046
18,278818912673316834384815450,108806159530798240479973195,17612319061596480959946391,5929227617187521772439837,0.21873462,1659221434,15246587
18,278818824319802380221985450,108806159561312704672104946,17612319122625409344209891,5929227167587156000647361,0.21873469,1659220766,15246570
18,278818824319802380221985450,108806159561312704672104946,17612319122625409344209891,5929227167587156000647361,0.21873469,1659220766,15246534
18,278818824319802380221985450,108811133833705890318787565,17622267667411780637575130,5935481126028742444084792,0.21897547,1659215024,15246122
18,278818824319802380221985450,108811122574412945838768353,17622245148825891677536706,5935465958514413705588357,0.21897512,1659213872,15246028
18,278808557610532859268510710,108811376144932172000317322,17622752289864344000634645,5935792307259671499603603,0.2189831,1659210113,15245750
18,278808557610532859268510710,108811404548809984909226621,17622809097619969818453241,5935825815667058715694623,0.21898489,1659207520,15245552
18,278808557610532859268510710,108811329651015242733345968,17622659302030485466691935,5935731212479463194618911,0.21898134,1659207135,15245523
18,278808557610532859268510710,108811242136022036481174403,17622484272044072962348806,5935619386449580422585133,0.21897744,1659205197,15245371
18,278808603236935222137568162,108811235681239197584866501,17622471362478395169733003,5935609869151256808177731,0.2189774,1659203640,15245252
18,278808603236935222137568163,108811231300333299482919353,17622462600666598965838708,5935603236011235780462849,0.2189774,1659202346,15245151
18,278808603236935222137568163,108811005530364055064070334,17622011060728110128140669,5935317804414555111105112,0.21896676,1659200873,15245053
18,278808603236935222137568163,108810922436517216091742287,17621844873034432183484574,5935210796110415443387924,0.21896321,1659198067,15244848
18,280093775748635062456056541,108772942861184528712761499,17545885722369057425522998,5886208281258128774434999,0.21773954,1659196416,15244715
18,280093775748635062456056541,108758271751157636332851744,17516543502315272665703489,5867836601049435069650261,0.21703305,1659194127,15244536
18,280091365853194840656056541,108758316270041741157131928,17516632540083482314263858,5867890262921376260033971,0.2170349,1659188951,15244156
18,280091365853194840656056541,108758314756676550532631763,17516629513353101065263526,5867888357532002549264875,0.21703483,1659188937,15244155
18,280091365853194840656056541,108755369479823919285339454,17510738959647838570678909,5864201057847510194444930,0.21689353,1659185193,15243892
18,280091365853194840656056541,108755369479823919285339454,17510738959647838570678909,5864201057847510194444930,0.21689353,1659185193,15243873
18,280091542121383324505357423,108755341022972146469230578,17510682045944292938461156,5864159131131999836129907,0.21689339,1659178063,15243340
18,280091542121383324505357423,108755301383612402444465482,17510602767224804888930964,5864108790238244648107337,0.21689162,1659177175,15243268
18,274514489644909417803209013,108900881030583448468756754,17801762061166896937513509,6053409300801757499946223,0.22125046,1659176478,15243210
18,274514620979994847455534129,108900875179473209146088166,17801750358946418292176333,6053401123995308654298442,0.22125036,1659175789,15243159
18,274502612180665136403743331,108901335235147732655627448,17802670470295465311254896,6053995890831097567843268,0.22126727,1659172728,15242930
18,274502612180665136403743331,108901346135256502036851986,17802692270513004073703973,6054009273000546596100607,0.22126789,1659172181,15242899
18,274502612180665136403743331,108901252812728420797219824,17802505625456841594439649,6053903723293118850907584,0.22126402,1659168099,15242596
18,274502612180665136403743331,108897518994608446041876355,17795037989216892083752709,6049155497300799213921820,0.22108388,1659166005,15242433
18,274502512180665136403743331,108897508053634210581224883,17795016107268421162449766,6049138240882956460170570,0.22108396,1659162044,15242163
18,274482512180665136403743331,108898035489531985837644417,17796070979063971675288834,6049828611586583408753393,0.2210999,1659161120,15242093
18,274482537488557213523355389,108898027915914367318814821,17796055831828734637629641,6049817204828274785199478,0.22109988,1659159109,15241967
18,274482537488557213523355389,108898162936498080527111413,17796325872996161054222826,6049987062948351427300911,0.22110674,1659157098,15241833
18,274482058894875803486803855,108898155298595264810163400,17796310597190529620326800,6049972684702431860414509,0.22110712,1659151173,15241378
18,274482686230533944415036427,108898136975542657719659064,17796273951085315439318128,6049948315978996269629398,0.22110662,1659150684,15241340
18,274482686230533944415036427,108898288129267147048295649,17796576258534294096591298,6050139618119249036254927,0.22111408,1659149746,15241276
18,274482686230533944415036427,108898258811877467552794541,17796517623754935105589081,6050094998339823537477234,0.22111407,1659141313,15240637
18,274482986230638260900879697,108898246396946441604215495,17796492793892883208430991,6050077773913370950851541,0.22111383,1659140015,15240545
18,274652986230638260900879697,108893736365079062443473390,17787472730158124886946779,6044169448889285310743391,0.22097844,1659139500,15240510
18,274652864234613520588984125,108893738624584786166873700,17787477249169572333747400,6044172198588896428782106,0.22097854,1659139216,15240482
18,274652864234613520588984125,108840093338105970619973935,17680186676211941239947870,5976228998164867696690299,0.21838532,1659139118,15240477
18,273681251274928668208099207,108865761278184215779753565,17731522556368431559507130,6009699832442907417875498,0.21915223,1659137822,15240364
18,273681251274928668208099207,108864549594604244504745852,17729099189208489009491703,6008164560016486395361975,0.21909381,1659136694,15240279
18,273681251274928668208099207,108864429038995755580889027,17728858077991511161778054,6008009747055296257935805,0.21908839,1659134214,15240104
18,273681559045252786663965414,108864416871259066404533821,17728833742518132809067643,6007992989670223876741941,0.21908814,1659133039,15240021
18,273681559045252786663965414,108873009627793499078765476,17746019255586998157530953,6018877337819823356245735,0.21950388,1659132395,15239981
18,273681559045252786663965414,108861022776832897195228165,17722045553665794390456330,6003687885323053489759954,0.21892558,1659123278,15239311
18,273681559045252786663965414,108859901078788573337828629,17719802157577146675657258,6002268084691518478005606,0.21887137,1659123030,15239290
18,273681559045252786663965414,108852424946793561018179559,17704849893587122036359118,5992810197450793144936642,0.21850994,1659121919,15239207
18,274681559045252786663965414,108826016587907091406651149,17652033175814182813302299,5958416950530983361387662,0.21772301,1659113715,15238558
18,273719035456439841874829488,108851400203877443214685098,17702800407754886429370196,5991493065193366815310507,0.21847991,1659111383,15238394
18,273728535456439841874829488,108851142857490626245296106,17702285714981252490592211,5991154172109932095714701,0.21847279,1659107282,15238082
18,273730135456439841874829488,108851094467031248365309683,17702188934062496730619366,5991089760191525330138721,0.21847153,1659105502,15237947
18,273728517170832535704611402,108848523568281480766215285,17697047136562961532430570,5987841152857237343554397,0.2183465,1659104819,15237896
18,273658517170832535704611402,108850372484504808410587154,17700744969009616821174309,5990250828107636573644297,0.218405,1659104069,15237832
18,273658517327575990306823820,108850390182973619001288893,17700780365947238002577786,5990272569123498094987413,0.21840825,1659102272,15237712
