id,type,user,pool,timestamp
15251252:93:0xd632a38b9583e0aba1e23b2f3bcbe8bd19dcc0ea427da77e1f6612ddfeeac245:187:187,redeemUnderlying,0x540f45337b548824438a25734f429e4b4095476a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659283944
15251241:147:0x59595ee6adfb66a31f9e67e3e00409fafb7b26e64f0ec1832aefce7c6b977c10:283:283,deposit,0x34080bed5440b210ec2522746d0817de81f05665,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659283726
15251241:147:0x59595ee6adfb66a31f9e67e3e00409fafb7b26e64f0ec1832aefce7c6b977c10:282:282,usageAsCollateral,0x34080bed5440b210ec2522746d0817de81f05665,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659283726
15250955:201:0x96c032eb09ebdad45448eb873f3b173dc13dadee49436129bfbbf081cdbb561b:410:410,redeemUnderlying,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280197
15250955:201:0x96c032eb09ebdad45448eb873f3b173dc13dadee49436129bfbbf081cdbb561b:406:406,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280197
15250955:201:0x96c032eb09ebdad45448eb873f3b173dc13dadee49436129bfbbf081cdbb561b:399:399,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280197
15250955:201:0x96c032eb09ebdad45448eb873f3b173dc13dadee49436129bfbbf081cdbb561b:398:398,deposit,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280197
15250953:87:0x2ebcdbb0bba512e2dd0ff9aafd54bc5cd37beba88c6cc938545e4701937a3a80:201:201,redeemUnderlying,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280187
15250953:87:0x2ebcdbb0bba512e2dd0ff9aafd54bc5cd37beba88c6cc938545e4701937a3a80:197:197,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280187
15250953:87:0x2ebcdbb0bba512e2dd0ff9aafd54bc5cd37beba88c6cc938545e4701937a3a80:190:190,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280187
15250953:87:0x2ebcdbb0bba512e2dd0ff9aafd54bc5cd37beba88c6cc938545e4701937a3a80:189:189,deposit,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280187
15250953:87:0x2ebcdbb0bba512e2dd0ff9aafd54bc5cd37beba88c6cc938545e4701937a3a80:188:188,usageAsCollateral,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659280187
15250788:63:0x97715a5fb4b68a7bbe54c43872e38bb6a7e212b25ea2745dbd1411e14fdbceda:165:165,deposit,0x24ebce3274b561c26196f931e69f844d0d4f2707,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659277925
15250732:105:0xa55f70b101e9cb4e3ad45c5c48a470e1dde1545a30e5ffcd71610483981b95e8:272:272,borrow,0x08c9573a3a9235b712237747a88989dcb24d4a34,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659277144
15250203:83:0xe36cdc17338fe9b3ae67b896f8a618dd165f235630135ca2582e48e81d3988d6:140:140,deposit,0x9cf9dc2fd2aa87ab718338d78ff9e9d17c7a8016,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659270103
15250203:83:0xe36cdc17338fe9b3ae67b896f8a618dd165f235630135ca2582e48e81d3988d6:124:124,redeemUnderlying,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659270103
15250203:83:0xe36cdc17338fe9b3ae67b896f8a618dd165f235630135ca2582e48e81d3988d6:120:120,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659270103
15250203:83:0xe36cdc17338fe9b3ae67b896f8a618dd165f235630135ca2582e48e81d3988d6:113:113,usageAsCollateral,0x135896de8421be2ec868e0b811006171d9df802a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659270103
15250203:83:0xe36cdc17338fe9b3ae67b896f8a618dd165f235630135ca2582e48e81d3988d6:112:112,usageAsCollateral,0x9cf9dc2fd2aa87ab718338d78ff9e9d17c7a8016,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659270103
15249972:47:0x03abccf3395b4528c1f7366e46473687ab3c97a10efaee6177c638b94f48a4df:60:60,deposit,0xcc739b45da0123047cd0103b88f968b22ebdfc66,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659266988
15249864:51:0xd22e74e52253d31763bfef53b93437c85aa4d10d0efb7016fae0ecdd09b37e5e:72:72,deposit,0x8f66aa5432ccc25907984853a359b062623e550d,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659265427
15249792:197:0x7370ac701377b2a5863b4c83f950f6adf681489ba60dfc4530155d707bef0eff:389:389,redeemUnderlying,0x95eec544a7cf2e6a65a71039d58823f4564a6319,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659264529
15249692:105:0x47ba352293f7fa64175918d56cade26ffde2291ba785736dc851d3d722f9f8bd:156:156,redeemUnderlying,0x95eec544a7cf2e6a65a71039d58823f4564a6319,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659263284
15247657:162:0x734e3e2b2e8dfce59d9604e89f58c439fa608bd7e331bf87aafab8f494f25de0:469:469,deposit,0xcc739b45da0123047cd0103b88f968b22ebdfc66,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659235616
15247593:79:0x2b6d7af9fd87bb4dadc4ceb90fed4187d5921e34b09b95a6a6dabb455d64d0b8:162:162,deposit,0x5fc9f68333645f713a13f3b3fb9a0f3dedf0f8a7,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659234742
15247593:79:0x2b6d7af9fd87bb4dadc4ceb90fed4187d5921e34b09b95a6a6dabb455d64d0b8:161:161,usageAsCollateral,0x5fc9f68333645f713a13f3b3fb9a0f3dedf0f8a7,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659234742
15247565:217:0xa59492b8f116f7e4f5568a30e6c0921d9d8d195782d481acec06ee879fc9766c:324:324,repay,0x5fc9f68333645f713a13f3b3fb9a0f3dedf0f8a7,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659234286
15247530:50:0x3ec6732cb46e64a4eec342ef8fc3d2267ebd6be6227ce222320dc8e1456499e2:150:150,deposit,0x540f45337b548824438a25734f429e4b4095476a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659233797
15247530:50:0x3ec6732cb46e64a4eec342ef8fc3d2267ebd6be6227ce222320dc8e1456499e2:149:149,usageAsCollateral,0x540f45337b548824438a25734f429e4b4095476a,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659233797
15247332:7:0x21a20751b427e9fdd33941f769d96c45996f8cba6206346831ab177b5e277694:30:30,redeemUnderlying,0xc9451a4483d1752a3e9a3f5d6b1c7a6c34621fc6,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659231222
15247316:73:0x2ddf49f38389e39bcf1f284d28084bcc40a71452201e267b0a6c8ee5a6451a34:186:186,deposit,0xd63a6edbe712a5839a090b4d7940696a629a0693,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659231069
15247290:334:0xd3b18805e461e91c09a550ecaebc38847de0f85bea9c0fef3dea9d55a1dce9d7:375:375,deposit,0x15e7e224dcfa4dba59f342f01c70007b8a8f4aa0,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659230732
15247290:334:0xd3b18805e461e91c09a550ecaebc38847de0f85bea9c0fef3dea9d55a1dce9d7:374:374,usageAsCollateral,0x15e7e224dcfa4dba59f342f01c70007b8a8f4aa0,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659230732
15247256:57:0xf6632c348948ecfc4a30a042531be657616a046eb8d9983c04cc1a0c9de09732:77:77,usageAsCollateral,0x8fa719c9d89e4c6d7520aa0aff36d5631d4ac5d4,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659230349
15247256:57:0xf6632c348948ecfc4a30a042531be657616a046eb8d9983c04cc1a0c9de09732:76:76,deposit,0x8fa719c9d89e4c6d7520aa0aff36d5631d4ac5d4,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659230349
15247078:156:0xfa7030d4e480ee45018f3ca24de027104325ccf1c2a29c99eec30cab3c6d9bf2:207:207,repay,0x3cc6cc687870c972127e073e05b956a1ee270164,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,1659228088
