id,reserve,target,amount,totalFee,initiator,timestamp
15251245:352:0x7e3b46c4dd43026bd5bd0392e7cec3402fd3468aae7e4a94eda8826122e0a638:670:670,FRAX,0x59daa74f2d15c87aac435ec18cb559f92490c100,8000000000000000000,7200000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659283792
15251208:11:0x935e2d8957ad89f06f723a566c51b8ab65021ba8552e813771267a7226aa367a:79:79,WETH,0x689209519e78947d52b862748e059fad1238d689,2225138503891214655,2002624653502093,0x689209519e78947d52b862748e059fad1238d689,1659283233
15251182:3:0x208805182f86119cd67d86753b5e2680fdd9dfa475a1d4de23a50bbf770aad97:29:29,WETH,0x689209519e78947d52b862748e059fad1238d689,2847716116378912017,2562944504741020,0x689209519e78947d52b862748e059fad1238d689,1659282960
15251175:1:0x513bd7102ae0e582ea626b5ca40d9edf9de40c2d80bed548456fbccde85701cd:19:19,WETH,0x689209519e78947d52b862748e059fad1238d689,2847716116378912017,2562944504741020,0x689209519e78947d52b862748e059fad1238d689,1659282864
15251172:269:0xb33973ceabe20856db56bd8274100cf2555611e2e5a4f8c93333d3c5c12182fa:589:589,WETH,0x689209519e78947d52b862748e059fad1238d689,4311926427229607674,3880733784506646,0x689209519e78947d52b862748e059fad1238d689,1659282825
15250955:201:0x96c032eb09ebdad45448eb873f3b173dc13dadee49436129bfbbf081cdbb561b:415:415,WBTC,0x135896de8421be2ec868e0b811006171d9df802a,300000000,270000,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,1659280197
15250953:87:0x2ebcdbb0bba512e2dd0ff9aafd54bc5cd37beba88c6cc938545e4701937a3a80:206:206,WBTC,0x135896de8421be2ec868e0b811006171d9df802a,400000000,360000,0x1908bb246da7d358e4f79cea8b3d2ce5e81e6d64,1659280187
15250799:152:0xa588c052d3a366be89a362f0fa0fc1ca758e52c4788714910933c94aa6125bfa:420:420,USDT,0x59daa74f2d15c87aac435ec18cb559f92490c100,3929000000,3536100,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659278048
15250792:5:0x5bcfb305200ff3804de2625fdca5aeab242c1752405fbdb63791f42275e67dd3:82:82,USDC,0x135896de8421be2ec868e0b811006171d9df802a,115000000000,103500000,0x59e17730f2a0373a45048161dfa04d4265992567,1659277934
15250675:233:0x52064be9918775c9408e4f43ee092d7a9fefe46af997742446001f7a3279a0a4:380:380,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,85060952464835600,76554857218352,0x5b0c5fcd417aa1c57961f2c7e34f697813762a16,1659276551
15250220:215:0xabce2b809a5f9dc4600272d8c16689f4c99da85824fc80ec5f3667a9746cfb6a:400:400,WETH,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,2141122160299362400,1927009944269426,0x9cf9dc2fd2aa87ab718338d78ff9e9d17c7a8016,1659270356
15249601:607:0x75d6bf6bb24b7ac49cb8b054b9b17432383c94a3a69a0ae16ddf4c008ae63e06:312:312,USDC,0x135896de8421be2ec868e0b811006171d9df802a,18822777299,16940499,0xd7d3239511e5f9fd702c78bda9fe3dd8670d5be0,1659262027
15249439:196:0xb862a2144e5204e4362f697d8198be9d798aebc10b958b23e6252e7b1a467a13:527:527,USDC,0x59daa74f2d15c87aac435ec18cb559f92490c100,27000000,24300,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659260102
15249370:138:0x17ff98908bf74500d5ea48f45ca71073ca70c69af44cea665fda4ab19a2f61f2:420:420,USDC,0x59daa74f2d15c87aac435ec18cb559f92490c100,22000000,19800,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659259107
15249258:130:0x8a759a78651e15ad4df2af69973f7889273faaab7e1c4fd960486c275a974995:439:439,USDC,0x59daa74f2d15c87aac435ec18cb559f92490c100,77000000,69300,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659257620
15249057:12:0xfc3577ae6168b0f5c26e92134178428a45a05cd11b146dfe3a19fece83f6695a:51:51,BUSD,0xc00f69b89e3d89d49a9798236090390c9a4194cf,53522,48,0xc00f69b89e3d89d49a9798236090390c9a4194cf,1659255082
15248936:64:0x0a77c5cb986b5eacb60c4282cd4b7cb1155e10abb170e945933ff35d4126788e:88:88,BUSD,0xc00f69b89e3d89d49a9798236090390c9a4194cf,53522,48,0xc00f69b89e3d89d49a9798236090390c9a4194cf,1659253363
15248886:27:0x116065524e3d4e806fa79019c02db30c3b1877cb1e16eb18270ee57874106ddc:36:36,BUSD,0xc00f69b89e3d89d49a9798236090390c9a4194cf,53522,48,0xc00f69b89e3d89d49a9798236090390c9a4194cf,1659252608
15248530:15:0x4f758806da7db5630b9f9c8dc45f9ab7b2780b6f9f4f115209a206efa284e01e:96:96,USDC,0x689209519e78947d52b862748e059fad1238d689,445650150,401085,0x689209519e78947d52b862748e059fad1238d689,1659247770
15248234:388:0xa1b3dc692fd7e9c25833fe02905dd9f9c22b1f061811e5ce88feda398102ae84:605:605,WETH,0x135896de8421be2ec868e0b811006171d9df802a,60000000000000000,54000000000000,0x18ed88f8c22039b53f8b3cc6ee03458288d48a12,1659243241
15248053:73:0x8083f806d0482f3301dedc68a0216ada32c43c573c8c89802aa66c19e6e81907:127:127,USDC,0x80aca0c645fedabaa20fd2bf0daf57885a309fe6,25514562722,22963106,0xf6f9e2eb2df8dee61f11a4e2937f9f1936bf46d6,1659241112
15247649:4:0x0cd0eaef3707ab7e6dd6e23d7e133bb529e5faa8d066a5ddd5837ab95045bcc6:45:45,BAL,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,26528316509268357493,23875484858341521,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,1659235495
15247608:1:0x0b2a7f7fa9d34a7f3b788c65fc1a63437c76ef6b43d591cb7cf5ce9c94513ca7:51:51,WETH,0x135896de8421be2ec868e0b811006171d9df802a,288656736052694900000,259791062447425410,0xe14cedba68be35861dde3a599fba6a341b1a15af,1659234933
15247412:153:0x0e51e63d722bfb1fafac97b7667de38cca9c8c29aee3f92b0524ea49318c1172:491:491,WETH,0x135896de8421be2ec868e0b811006171d9df802a,11079816983249188000,9971835284924269,0xd7d3239511e5f9fd702c78bda9fe3dd8670d5be0,1659232254
15247387:412:0x13fbc429c72afd7612ceb0a2cb1789e82159beb7cf46cb5fadd150b86ce1b3dc:466:466,WETH,0x59daa74f2d15c87aac435ec18cb559f92490c100,9240000000000000000,8316000000000000,0x59daa74f2d15c87aac435ec18cb559f92490c100,1659232036
15247366:40:0xc74f964ede37de7aecadd6f836900f51a871513807f02a8d21660dcb5628802f:103:103,WETH,0x135896de8421be2ec868e0b811006171d9df802a,50366276033608010000,45329648430247209,0x09a5e1358611ef5cf4fa258cd5fbabd05132a87f,1659231781
