decimals,totalDeposits,stableBorrowRate,variableBorrowRate,liquidityRate,utilizationRate,lastUpdateTimestamp,blockNumber
6,448509296624278,113746115694890612256206687,27492231389781224512413373,18079693195094558408704822,0.57306106,1659286247,15251415
6,448509296624278,113658362371804118266960955,27316724743608236533921909,17890709697267779864883363,0.56864461,1659281765,15251090
6,448509296624278,113658294068657214726384977,27316588137314429452769953,17890539852254979834561941,0.56864196,1659278863,15250854
6,448509361599856,113658285340617907779386704,27316570681235815558773407,17890510283258197527466025,0.56864188,1659277553,15250763
6,448509361599856,113686578917235928180812180,27373157834471856361624360,17951279787165836767187244,0.57006673,1659275714,15250619
6,448524780864942,113686156221959119186746192,27372312443918238373492384,17950277082947886334635986,0.57004732,1659274577,15250531
6,448524780864942,113679564370606485977933376,27359128741212971955866752,17936086119037959625916667,0.5697161,1659272295,15250362
6,448525539411936,113679534128227015890053591,27359068256454031780107182,17936002476116503673770022,0.56971514,1659270487,15250235
6,448525515359060,113679515942437277039819836,27359031884874554079639673,17935935581165072928527051,0.56971517,1659266998,15249973
6,448525515359060,113681269226920980704619138,27362538453841961409238276,17939702627300824213228942,0.5698035,1659266764,15249957
6,448525515359060,113679087301958082416359062,27358174603916164832718123,17935018580746913711703148,0.56969499,1659261589,15249561
6,448525515359060,113678983692021017972224301,27357967384042035944448602,17934772322970861406453971,0.56969057,1659258647,15249335
6,448525515359060,113678754255710887060946782,27357508511421774121893564,17934264169942286322019706,0.56967953,1659256773,15249184
6,448526094851273,113678737448654967962679880,27357474897309935925359760,17934223145683585059573557,0.5696788,1659256558,15249168
6,448526094851273,113679802511006039904642697,27359605022012079809285393,17936482325460619270926009,0.56973344,1659252796,15248899
6,448526094851273,113679801496537782126925356,27359602993075564253850712,17936478639562882519509595,0.56973344,1659252608,15248886
6,448526098560577,113679782285893789016812329,27359564571787578033624659,17936408981647120920533942,0.56973344,1659249068,15248629
6,448525998634643,113679771423258112199319752,27359542846516224398639504,17936366067460987541091902,0.56973356,1659246556,15248457
6,448526010221779,113679769679793124223979494,27359539359586248447958989,17936360134535535018306350,0.56973355,1659246291,15248438
6,448525797221779,113679770939802857626249894,27359541879605715252499789,17936357349636979817168354,0.56973382,1659245459,15248387
6,448525785634650,113679762059159231997012003,27359524118318463994024007,17936324688803616380449490,0.56973383,1659243756,15248267
6,448525785634650,113679728414570154669522171,27359456829140309339044341,17936251912308423016667195,0.56973215,1659243699,15248263
6,448389711544662,113683402942717113617373895,27366805885434227234747790,17944896738926778519374303,0.56990339,1659243555,15248254
6,448390013404329,113683392475685337258806427,27366784951370674517612854,17944867717207912996202765,0.56990306,1659242948,15248210
6,448390104334144,113683374632762839865226761,27366749265525679730453522,17944806034001794365137937,0.56990295,1659240098,15247984
6,448390104334144,113683354671466852104280313,27366709342933704208560626,17944719829375922961744606,0.56990341,1659234692,15247590
6,448390104334144,113689192412244713722091233,27378384824489427444182467,17957267244302047550117692,0.57019753,1659233808,15247531
6,448390104334144,113671719014168129075308409,27343438028336258150616818,17919684859498934525607665,0.56931861,1659231184,15247326
6,448528069459337,113667995494239867181183714,27335990988479734362367428,17910929592829287964727465,0.56914517,1659231127,15247322
6,448535535693397,113667774425062117354160029,27335548850124234708320058,17910384722937741800795819,0.56913578,1659227489,15247033
6,448539698196973,113667658721642689826574157,27335317443285379653148314,17910108352542377096742070,0.56913055,1659226858,15246985
6,448539698196973,113667413178702294403832462,27334826357404588807664923,17909533081742920229704095,0.56911982,1659220872,15246539
6,448539442594059,113667525841057082303373179,27335051682114164606746359,17909746888346985427493531,0.56912647,1659217184,15246265
6,448531562234560,113667736151679583876982783,27335472303359167753965567,17910238374897574453480550,0.56913637,1659216760,15246240
6,448531562234560,113667617391757487917018516,27335234783514975834037031,17909942545952072170490651,0.56913177,1659211669,15245855
6,448530895339637,113667619637325699631997955,27335239274651399263995911,17909927659687324602268085,0.56913261,1659208752,15245642
6,448530895339637,113667651152222034334449279,27335302304444068668898558,17909963995363223770196516,0.56913526,1659204839,15245345
6,448530895339637,113667397552819764080483627,27334795105639528160967253,17909416042938701275161566,0.56912261,1659204423,15245316
6,448530895339637,113667344207711647667356754,27334688415423295334713508,17909300433035173010941861,0.56911996,1659204292,15245300
6,448530895339637,113733495927085112666369147,27466991854170225332738294,18051716187693160065510095,0.57245003,1659204092,15245281
6,448530895339637,113735686504674832669522894,27471373009349665339045789,18056437584471091968969759,0.57256053,1659203240,15245215
6,448930749729276,113724852217571593825379103,27449704435143187650758207,18030869446485136762734248,0.57205545,1659202962,15245201
6,448130749729276,113746536733884162951616741,27493073467768325903233481,18082049662892670956336435,0.57306688,1659201836,15245117
6,448130749729276,113746181275826598174023126,27492362551653196348046251,18081275474055282469645325,0.5730492,1659201047,15245064
6,448130749729276,113811683240692174253681447,27623366481384348507362893,18223123647248097545281078,0.57634681,1659201042,15245063
6,449060624011860,113786352469614948208535881,27572704939229896417071762,18163092777887350800946079,0.57516479,1659199959,15244991
6,449060624011860,113785774657572135423614908,27571549315144270847229817,18159839701112449108709071,0.5751361,1659198447,15244871
6,449060624011860,113786376193863445176540116,27572752387726890353080232,18161137198073891737152805,0.57516658,1659197697,15244815
6,449363100569490,113778151746938937434574303,27556303493877874869148607,18141662160152989314591996,0.57478313,1659196485,15244719
6,449363100569490,113775933549149769329593841,27551867098299538659187682,18136816720548847163749902,0.57467293,1659191198,15244325
6,449363100569490,113775650302922813004999740,27551300605845626009999480,18136199047893651700417085,0.57465882,1659190648,15244280
6,449363100569490,113775464600296383615688237,27550929200592767231376474,18135794353813075637765507,0.57464956,1659190320,15244264
6,449363100569490,113771083601740784817966927,27542167203481569635933854,18126307708531187441669859,0.57442916,1659190013,15244242
6,449363100569490,113770623328206568102455712,27541246656413136204911424,18125310813923800964774326,0.57440601,1659189931,15244229
6,449363100569490,113770616163053852088460772,27541232326107704176921544,18125289589237342215421836,0.57440585,1659189212,15244178
6,449363100569490,113770736033684157057581366,27541472067368314115162732,18125546496656097163997901,0.57441197,1659188892,15244152
6,449363100569490,113770735941930842752693001,27541471883861685505386002,18125451340556258275889970,0.57441197,1659188875,15244151
6,449363100569490,113769649150516409329772929,27539298301032818659545858,18123096580008858386224962,0.57435736,1659188553,15244131
6,449363838102429,113769629120712046307664863,27539258241424092615329726,18123049187225239610514446,0.57435642,1659188550,15244130
6,449363838102429,113769595918494319648878655,27539191836988639297757310,18122968416591298745857248,0.57435506,1659187429,15244044
6,449363838102429,113725770857149855218192631,27451541714299710436385262,18028215343789253004151046,0.57215144,1659179905,15243465
6,449363338102429,113725758606583518953663015,27451517213167037907326030,18028153590699227710206950,0.57215207,1659175129,15243104
6,449363338102429,113725313587742302461605887,27450627175484604923211774,18027183177062363365251381,0.57213003,1659173817,15243010
6,449363338102429,113725310777412744179150665,27450621554825488358301330,18027176198632389909488561,0.57212992,1659173702,15243002
6,449363338102429,113725264573769288831822268,27450529147538577663644536,18026928791313932564092599,0.57212793,1659172444,15242913
6,449363338102429,113725240586145156466361367,27450481172290312932722733,18026851655780631415959028,0.57212759,1659169257,15242672
6,449363321130940,113725232323996546068550450,27450464647993092137100901,18026821050911364378113790,0.57212761,1659167641,15242557
6,449363321130940,113723328370638814319221671,27446656741277628638443341,18022682545946655182388358,0.57203288,1659163647,15242282
6,449363421226810,113723319840444158988122107,27446639680888317976244213,18022655004727275387333684,0.57203275,1659162568,15242200
6,449363392784639,113723730122164751512529422,27447460244329503025058844,18023465397518330061983619,0.57205594,1659153198,15241552
6,449363443859003,113723721881560061905284264,27447443763120123810568528,18023437218376838188565354,0.57205588,1659151927,15241440
6,452367915793113,113642926383207583202787301,27285852766415166405574602,17833357857299186904208406,0.56829261,1659149188,15241231
6,452367915793113,113642742938112745431087653,27285485876225490862175307,17832934746641465301980184,0.5682844,1659145444,15240948
6,452367922803776,113642742292531336323772916,27285484585062672647545832,17832932648446493271307547,0.56828439,1659145359,15240946
6,452367949502280,113642661140398569678814923,27285322280797139357629846,17832710707392765267398285,0.56828194,1659139350,15240496
6,452367962835066,113642659032107296227023794,27285318064214592454047589,17832703529822101875067403,0.56828192,1659139025,15240466
6,452367962835066,113642615338761303578074850,27285230677522607156149699,17832609616550509500896356,0.56827973,1659138996,15240462
6,452367962835066,113642913376382978276955981,27285826752765956553911962,17833230077687255618615841,0.56829535,1659136662,15240275
6,452367962835066,113642867548314669079403577,27285735096629338158807153,17833128435591287553300524,0.56829316,1659136237,15240239
6,452367962835066,113642409454678026681094819,27284818909356053362189638,17832144831994474833854546,0.56827017,1659136060,15240227
6,452367962835066,113642318784987651124822127,27284637569975302249644253,17831945126090194635914469,0.5682658,1659135393,15240186
6,452367962835066,113642248029479511062508088,27284496058959022125016176,17831785381746601123625432,0.56826251,1659134382,15240120
6,452367473998827,113642257396959864966667285,27284514793919729933334569,17831802649393853820235088,0.56826312,1659133696,15240063
6,452367473998827,113642244775993258819244500,27284489551986517638489001,17831769814721912002377507,0.56826268,1659132970,15240016
6,452367473998827,113643174680698146191150762,27286349361396292382301523,17833740076875754511049552,0.56831025,1659130009,15239940
6,452367473998827,113643169424922228922854987,27286338849844457845709974,17833721052401606037734596,0.56831025,1659129034,15239730
6,452369534520367,113643105367962400086482530,27286210735924800172965060,17833559323152181813691693,0.56830769,1659127368,15239608
