decimals,totalDeposits,stableBorrowRate,variableBorrowRate,liquidityRate,utilizationRate,lastUpdateTimestamp,blockNumber
8,2801981424892,36049981137599299649759470,4839984910079439719807575,165090410131760538581952,0.03783233,1659283944,15251252
8,2802581424892,36048687750880922262102844,4838950200704737809682275,165023012366406693421259,0.03782423,1659283726,15251241
8,2802561179154,36048727965671804275757438,4838982372537443420605951,165025065296459467263189,0.0378246,1659280197,15250955
8,2802861449154,36048081566346067426374860,4838465253076853941099888,164991387854157631463258,0.03782068,1659280187,15250953
8,2803261809154,36047217742583253282003987,4837774194066602625603189,164946360960628924615355,0.03781528,1659277925,15250788
8,2803248374113,36047245924234910223026707,4837796739387928178421366,164947819581191774159815,0.03781546,1659277144,15250732
8,2803248374113,36042307637083872323478652,4833846109667097858782922,164701054035330578230411,0.03778335,1659270103,15250203
8,2803252005302,36042296816882518259123587,4833837453506014607298869,164700453439400874651457,0.03778331,1659266988,15249972
8,2803200970062,36042405142649667599012817,4833924114119734079210254,164706073235012409711828,0.03778399,1659265427,15249864
8,2803197191507,36042412408056794137109103,4833929926445435309687283,164706440638604643180691,0.03778404,1659264529,15249792
8,2803397191507,36041980812419319234552388,4833584649935455387641911,164683960998049362332246,0.03778135,1659263284,15249692
8,2803497191507,36047507856115613871867116,4838006284892491097493692,164959189364803782651966,0.03781756,1659235616,15247657
8,2803444357765,36047620802136535831095513,4838096641709228664876411,164965062531480035178484,0.03781827,1659234742,15247593
8,2802952246799,36048680451568126945200467,4838944361254501556160374,165020262108717705356695,0.03782491,1659234286,15247565
8,2802952246799,36049112299066799297933280,4839289839253439438346625,165041840736971402498974,0.03782772,1659233797,15247530
8,2802252246499,36050618475297339643753546,4840494780237871715002837,165120298794621055446115,0.03783717,1659231222,15247332
8,2802594504820,36049880585551828320966961,4839904468441462656773569,165081842161857255902867,0.03783255,1659231069,15247316
8,2802573496135,36049925538859688071254560,4839940431087750457003648,165084180707274458788929,0.03783284,1659230732,15247290
8,2800158841195,36055133907934681107150971,4844107126347744885720777,165355705391651820523786,0.03786546,1659230349,15247256
8,2800157004031,36055135684220008031323504,4844108547376006425058803,165355770885519444562843,0.03786548,1659228088,15247078
8,2800157004031,36090789576371350816315624,4872631661097080653052500,167144991810221873055655,0.03809761,1659225721,15246913
8,2800157004031,36089581524353345070868154,4871665219482676056694523,167084175944629073778206,0.03808975,1659224447,15246830
8,2800157522673,36089580196670804230983094,4871664157336643384786475,167084103872044022567108,0.03808974,1659224241,15246816
8,2800157522673,36089601150667993573647818,4871680920534394858918254,167085155851087232461916,0.03808988,1659224065,15246800
8,2800158663381,36089598535942575868930898,4871678828754060695144718,167085017083319779957148,0.03808986,1659223924,15246788
8,2800208784145,36089489418963247000635321,4871591535170597600508257,167079292821168564937312,0.03808918,1659223625,15246767
8,2800208784145,36089530434320633545183361,4871624347456506836146688,167081337034737457448002,0.03808946,1659222219,15246653
8,2800209556949,36089528346418693584089482,4871622677134954867271586,167081222553820042849077,0.03808945,1659221800,15246614
8,2800209556949,36089559317156431445000385,4871647453725145156000308,167082778696914647489578,0.03808965,1659221632,15246605
8,2800210124553,36089556855727973528249792,4871645484582378822599834,167082634601598961219211,0.03808964,1659220376,15246505
8,2800207504553,36089562123573929424986105,4871649698859143539988885,167082905622281719040591,0.03808968,1659219946,15246468
8,2800200735063,36089576663217194664752301,4871661330573755731801840,167083665956927358158621,0.03808977,1659219784,15246456
8,2800183820852,36089610541662667761645599,4871688433330134209316480,167085407247270721350017,0.03809,1659216875,15246244
8,2800216820852,36089538665577753346337343,4871630932462202677069874,167081636221366939753758,0.03808955,1659216645,15246229
8,2800183820852,36089610109135267423224564,4871688087308213938579651,167085379268989614650099,0.03809,1659216433,15246215
8,2800183820852,36087798624527950707963620,4870238899622360566370895,166994215918539460817413,0.03807822,1659215110,15246126
8,2800135550852,36087899352934411078128491,4870319482347528862502792,166999445818414013152059,0.03807887,1659210970,15245798
8,2800081836842,36088015513686791842176403,4870412410949433473741122,167005528953410764220657,0.0380796,1659210522,15245774
8,2799875741324,36088460338866712563441678,4870768271093370050753342,167028813435877723403665,0.03808241,1659207869,15245574
8,2799856930499,36088500131509798070127345,4870800105207838456101875,167030886476036910164978,0.03808266,1659206798,15245494
8,2799786103270,36088647316497778124794658,4870917853198222499835726,167038521046363986525999,0.03808363,1659200058,15245003
