id,user,caller,reserve,amount,borrowRate,borrowRateMode,timestamp,stableTokenDebt,variableTokenDebt
15251444:45:0x5cd5a34c44fb7d4ccbea8309aadb4830193ee18de7e9c5ed91b5bdb05e1749dd:140:140,0xae61306f58d7bb2562794a006c291faba9b527b6,0xae61306f58d7bb2562794a006c291faba9b527b6,AMPL,131204418737,7529959471082040622145729513,Variable,1659286655,0,4120253746189
15251415:231:0x8318075668522cf3df9d57b67bf536fca2fb9f9de4bf9262370721dcb6ec150e:367:367,0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,0xd0ed2d0b2b136f0dfeefc1387dc52ef5d2293dae,USDT,2000000000000,27492231389781224512413373,Variable,1659286247,0,9680044877441
15251339:84:0xf8bb2bb2159778fe47c9e55f8e5c9fa6b658d88d50b4c2dfcaa5f9951cabb41d:141:141,0x4cf884b918c6f18d24389f0ea68aec3dabf7e66f,0x4cf884b918c6f18d24389f0ea68aec3dabf7e66f,DAI,1090000000000000000000,108782274141166418479729595,Stable,1659285305,1090000000000000000000,0
15251331:496:0x4bd10583b6aed178b14e9f2600af4c0ecbb12c4180f3dc0388570366f553121c:695:695,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,WETH,7000000000000000000,19223976412427760042037307,Variable,1659285142,0,6880203929021912360
15251309:519:0x2505819f9316f9218b1ee0c52fbf8679ea7ef6903d5a6606fb7c3d24bea102ff:366:366,0xa5fea31f2400fd309ac516c706fb8a72f4da9906,0xa5fea31f2400fd309ac516c706fb8a72f4da9906,USDC,1000000,16715532270771166866137658,Variable,1659284838,0,1801586
15251290:111:0x36b6d083936b8dd844fd36da9f467cbf808777539597e4927a864f988a70a8a9:217:217,0xa5fea31f2400fd309ac516c706fb8a72f4da9906,0xa5fea31f2400fd309ac516c706fb8a72f4da9906,USDC,1000000,16715530038812262194318116,Variable,1659284460,0,900793
15251282:1:0x05b99c1199f0374802d686705410f7c1685ab57cf611d2bbb77caed30f2ab670:48:48,0xacd4ec996aad815efe72a11944188c6db6c30176,0xacd4ec996aad815efe72a11944188c6db6c30176,USDT,1937606341539,27486737274813816409802976,Variable,1659284341,0,1703692214578
15251274:292:0x0d9726daa0561b48f71f09912e81887601f084188feaa5db35cdf04ae37abc23:599:599,0x281fbb9e61c55b3e7bd7dbd90a771671ce029f3d,0x281fbb9e61c55b3e7bd7dbd90a771671ce029f3d,USDC,1000000,16715528364642597836169109,Variable,1659284178,0,900794
15251269:168:0x87bac068e11cf4ff0416d1899838fb16f4c7fe0b740501114b68ccca00278d51:367:367,0x34080bed5440b210ec2522746d0817de81f05665,0x34080bed5440b210ec2522746d0817de81f05665,USDC,2000000000,16715528003600820200057873,Variable,1659284122,0,1801587184
15251163:138:0xd1738ccb04a27ab418f067d36b64cdc0ae89859e91e7851bdffdd3a3e382e27b:297:297,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,0x4d52f587b158be5050e1eefefd37d2b78cf238ab,USDC,5010000000,17418373799458839679294158,Variable,1659282724,0,19826521792
