id,pool,user,collateralReserve,collateralAmount,principalReserve,principalAmount,liquidator,timestamp
15249623:4:0x03cf1ba537177088ff59ab121307a884a12561dc7aaa1dfb733ee0db446d661e:40:40,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd88b54b2a4df852fe274904707ec2c2549ff1793,WETH,125156031428995108,USDT,202444999,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,1659262287
15249564:12:0x9f373a8f78a8fdc6e9431cd012874a86a89486f5e67ccc1a1158335b93b218da:65:65,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbb001b46d4ef126401bd78ad5a768250f6a38bf4,BAT,479678024648599767863,USDT,182162999,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,1659261601
15249543:231:0x9e12fd4bd267c0a804816aa1e1952468304fae7360bb3ec2487e508fab0d2a8a:422:422,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4375ebcc777a5ec8a223b1355e814cea15ac33a6,WETH,91931641489361384,PAX,148303000000000000000,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659261339
15249099:319:0x11c23e09c9930d61591d3435b7780183ddd5df36a9cb97d1e24014c3527414a8:614:614,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3a5126902d10aca9be7cf7487d1d475f5ac8c967,WETH,116409614421632285,GUSD,18819,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659255557
15248991:216:0xe47d10911b55aff084e37b6abbf0673d10068eea1358822585a93c71a90a473c:234:234,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x4ad185bb58238573cf1e739641b5d8c6cfb944a7,UNI,19519413966606144620,GUSD,16206,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659254240
15248818:3:0x16e2e5a887022a08ba0c7f4b806261b087ca4e0d738036b61a357b71ef73dc25:29:29,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0bf66bed1971055c5df68946d5ad094d0a9901b7,WETH,98945286556444307,GUSD,16033,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659251568
15248167:167:0x13e9d4c84dad0ba0088efd8f0c85c122355f67c28c013cc8ca8903625c07be0d:647:647,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8ef9ba973b2eb977d46fd9eed561bc0d18f891d0,WETH,1121311390,USDC,1,0x2005bf3d68bd245aac41c016da92c7d0b0caa1d6,1659242481
15247779:2:0x4309214fa9a78d20bb019f7b4b94dabc7a35386c5f00895925c22e29f5ddf35a:31:31,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb3b131bf5892054978c6d19ba87af464ba6a0d79,WETH,76862353490412000,USDT,124328000,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659237133
15247741:277:0x617e2fb24a5ca9c9c7bd11d3995aad63713fa27599088baada64a5ff28bd103a:418:418,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa23b73c1650cf2702f43ec497411bc65098c30e3,WETH,97635515529864976,BUSD,158844000000000000000,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659236647
15247649:4:0x0cd0eaef3707ab7e6dd6e23d7e133bb529e5faa8d066a5ddd5837ab95045bcc6:35:35,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x3633ed5591f6d022d56badeb102132bb5fdfcbad,WETH,105488620246620368,BAL,26528316509268357493,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,1659235495
15247213:12:0x0942ffd6eaeb76cc7a6c015637d00194bcc6d3e09adf15b4cc4b9b45ba7a2a2f:110:110,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x0bf66bed1971055c5df68946d5ad094d0a9901b7,WETH,130001205802966699,BUSD,211500000000000000000,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659229824
15246886:2:0x265f25ef85bd88e8e32eb1aa51a3edc2ad4ae7cc3fcb6dba47a779d634addb17:23:23,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x29c75014f0f5fb13c86704d6f02fa34ae5dc6272,UNI,12678331016806713357,DAI,100588152187143552559,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1659225348
15246566:3:0x7264c6931f0202e443dafa4256b4b70d9b7bef9e27bed0cf3bab29f00f971d10:25:25,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xfaf3af4f551f76af4cde17c3d3708c4f3a69d21e,WETH,86683022256454782,USDT,138800983,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1659221162
15246542:8:0xd562a435b8b75cdcc252ea788497542cda03b9d421f50ebfccd042abf2acf963:38:38,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x87444dc59fa698dd1d77de29d904d823fe23acc5,USDC,156438491,WETH,88444153293931681,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1659220892
15246411:116:0x75b418b6ee6378a2cded68e5083d5c3cdfba7fdbc338468c1d1fb3efd12a03d0:263:263,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xc6906368543e97f7e11d6f26ab7935830a4152be,WETH,1789305763779433781,USDT,2865121594,0xabcf5d4be599f1c7f71fcbcae4643a2aa849f4c8,1659219095
15244525:5:0xf6d3e80c510fbd779f416036a81e33a86c2be2f52865d3331abacbe37cf4bfc7:27:27,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x48d74d69a293c32b9fec25be57eb4dd01e060430,LINK,160571894660391431950,WETH,691535054261609878,0xd911560979b78821d7b045c79e36e9cbfc2f6c6f,1659193984
15244090:21:0xdf86ce8a1a8e3b2703ec3cd69a20d0dba8ee08784bae1a41b8d3e691d7ff96f3:147:147,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x9f420ad6f39aa1fc0a689418fb47f84a8308621e,WETH,74119570286580000,USDC,121992000,0x409fb9b2f406bad8f4594918ae959b698f3d95f1,1659188095
15243761:2:0xb543576975a5eadabf22fc822911a72c61f019069e61658289042958ac9c6b63:30:30,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x88a434cba14cf818429464ee1b67902db54ba1f9,DPI,867580164935195869,WETH,53280143339575085,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1659183896
15243633:214:0xa8405a7f9ccd89fa067ff6b9106e6134cdf918a374f3f691df2390bbcc91474f:472:472,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xfaf3af4f551f76af4cde17c3d3708c4f3a69d21e,DAI,154789354575998625508,BAL,23575240976190837472,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,1659182221
15243618:4:0xc750671d413111195c193915f7c1a3c0e1f5d3292206d91c25f8c085361ccbde:37:37,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd940aaf3354d798b0537fa3679eb44faa37b4225,MANA,83802927159250844140,USDC,77526536,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1659182022
15242736:4:0x780c1954dad5cb813916e4c0901ae8297c09d918eab0808facf1d0fa02d5ba6c:39:39,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdc6cea09616f277c8259fcaf6ddc02eba8e19ae1,LINK,11713859757930814330,DAI,86061886923242492480,0x9a0ef593dcc6a77f80699c9fa00d1e138b67d832,1659170050
15242726:148:0x388e7f0bb3497606685dd950643941649aabcfd54e65453e8e2939f56ed47295:286:286,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf2ae6611c692bb4bab2645ec8e1b890d21ef8e8f,USDC,123194445,AMPL,69964139320,0x5cb6b2844451cc4a46784a8dce0ab12844c00972,1659169931
15242724:16:0x4a97a7d4b2026a737175d3b513d04ebd781323b8a9cb7dd3a1fe8429076350ec:122:122,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf2ae6611c692bb4bab2645ec8e1b890d21ef8e8f,USDC,236723450,AMPL,134439117328,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,1659169901
15242330:7:0x2e5672513c3fb63793b50f310ff653fc8da79fe66dc377c3e0e60363d1a1bb31:51:51,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x96e433665f38b583d5afe456b82e6e37e3fd567e,USDC,1632565800,AMPL,861250134919,0x2c76fdf0a97a82ce54e575c79c6b20d4a15c850f,1659164515
15242323:0:0x7ed1b73caab88b3a86d3d18590b289ce7fa4b34b4b381113ec14aa02095a2e5d:14:14,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x96e433665f38b583d5afe456b82e6e37e3fd567e,USDC,3265043223,AMPL,1722453646821,0x2c76fdf0a97a82ce54e575c79c6b20d4a15c850f,1659164435
15242280:3:0x73fa0cf3eda4cb4a1771d52941aa990ceb3f2bc97354c768943af88db95bb368:27:27,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x96e433665f38b583d5afe456b82e6e37e3fd567e,USDC,6336348564,AMPL,3444215264331,0x2c76fdf0a97a82ce54e575c79c6b20d4a15c850f,1659163623
15242278:0:0x01a9650b2890a0ef824941f32ff20bfebb65f9c9c5e3c2685c36a117ea4fb169:16:16,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x96e433665f38b583d5afe456b82e6e37e3fd567e,USDC,12672380682,AMPL,6888258519672,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,1659163594
