block,HHI
11367790,10000.0
11367794,10000.0
11367843,10000.0
11367851,10000.0
11372402,9260.350843298265
11373105,8917.760378385628
11373663,6076.655694410841
11374076,6877.860757309705
11374238,7752.330578032284
11374288,7285.147680548178
11374768,6863.659123649731
11374785,7231.076557583601
11374840,6863.659367406661
11375154,4591.668674682015
11375179,4086.876353564047
11375356,6454.20303470412
11378841,4773.757856519227
11378987,4529.083690558283
11379544,4553.180601922492
11379729,4750.123941018178
11379733,4703.256293037702
11379859,4653.688817970251
11380101,9986.952063422801
11380190,9986.82057148222
11380260,9986.951028018259
11380334,9985.954215933909
11380485,9946.241933130897
11380489,9751.970303542115
11380492,9563.353902418381
11380494,9470.861823173978
11380504,9434.184507829688
11380509,9123.564230858376
11380519,9112.983045353725
11380539,9113.156981609014
11380545,9095.815664702586
11380574,9078.650896447369
11380576,9095.815664702586
11380658,9095.642412322939
11380731,9009.85652870109
11380959,9005.651636324466
11380979,8995.29305431382
11381032,8944.730675666602
11381032,8944.730675666602
11381126,8944.866922459356
11381168,9032.72079802569
11381171,7717.198369901285
11381180,7680.122362592291
11381302,7607.796541884651
11381451,6174.302828135329
11381542,6147.815946807474
11381790,6147.7563786019255
11382077,6139.048965636213
11382082,6130.445935408384
11382094,6129.585650642406
11382097,6120.9168153191695
11382110,6106.260494079452
11382275,6063.865246353149
11382310,6025.096245881294
11382323,6025.012467052769
11382514,5434.588763540538
11382719,5427.441505157782
11382724,5403.122223843946
11382746,5377.837732480255
11382754,5367.292822524867
11382795,5392.502819154606
11382878,5371.424124333239
11383072,5370.017754222519
11383132,5328.717436983721
11383222,5328.022523764789
11383280,5327.950871187132
11383297,5320.943941713572
11383333,5320.858643160662
11383352,5318.086486422341
11383370,4702.1010160738915
11383471,4797.026732439721
11383483,4785.241093339898
11383577,4784.6522360290255
11383668,4742.144118497888
11383698,4724.795858574781
11383829,4656.758097518279
11383878,4548.456412151214
11383889,4535.788997030194
11384131,4533.1260126305615
11384144,4531.4941306271785
11384165,4065.9221628827027
11384177,4062.0685973996347
11384262,4062.05005886904
11384270,4069.904285062353
11384273,4526.920352040022
11384322,4512.512956565216
11384601,4450.398072730177
11384704,4375.359410462934
11384741,3122.3391087181258
11385098,3076.308347665616
11385422,3071.144013395537
11385855,3067.002243200861
11385986,3066.7157669907624
11386063,3045.3698388547805
11386095,3014.7230239297064
11386192,2925.3693157209573
11386257,2875.5476365893073
11386286,2402.204560868043
11386289,2402.021079054862
11386344,2400.3720685356307
11386620,2400.3720685356307
11386641,2207.5277277394493
11386680,2207.5277277396103
11386684,2207.527727739594
11386689,2207.5277277396103
11386901,2166.7657341882637
11386923,2095.579696112246
11386933,1831.290036810612
11386984,1716.8198002115557
11387627,1708.2645011972786
11387654,1707.4410965785817
11387768,1707.269533127311
11387997,1706.4126093068141
11388192,1712.6562550091721
11388294,1712.2417934964308
11388316,1711.2365901149615
11388338,1644.1901875499443
11388350,1589.8379343420768
11388418,1594.936670359954
11389933,1594.4975364817512
11390597,1594.8680564969172
11390599,1594.38664333103
11391209,1594.378941403169
11391962,1588.8648317965399
11391984,1574.2429570046502
11391993,1569.9580342318197
11392034,1556.6312922392765
11392214,1545.60242323871
11392222,1544.886988907397
11392252,1506.7929353950221
11392279,1498.6833149037925
11392335,1492.522423352288
11392355,1492.4528472211352
11392378,1505.9106848004806
11392418,1476.9276104270195
11392624,1455.0196575575646
11392640,1388.783092775283
11392715,1290.548336822584
11392820,1284.1252463033522
11392928,1277.2972586896776
11392931,1209.1070230333596
11392998,1208.84620837391
11393042,1130.6994862897272
11393168,1130.6905011101921
11393201,1135.7962027563383
11393323,1130.444501863909
11393333,1117.5989263976119
11393371,1117.5106632251473
11393373,1117.399670306939
11393397,1104.6710876459463
11393405,1104.2200768623118
11393473,1089.935147873152
11393678,1076.0137368451735
11393839,1071.8954862247358
11393870,1104.1822543474925
11393941,1094.2268019810404
11394086,1088.0821770601387
11394091,1086.9698351133509
11394130,1085.9267188631623
11394205,1082.5712457001196
11394325,1081.8301131413834
11394357,1081.4073633591481
11394562,1080.52915934763
11394602,1079.7063816916368
11394736,1075.5154821354954
11394750,1069.3830109365945
11394772,1068.964999440274
11394828,1699.2386188996716
11394838,1586.4346464985642
11394969,1587.3467998246144
11395496,1587.5814647011882
11395505,1587.576550610513
11395729,1549.198650047433
11395813,1547.7803826398874
11395843,1546.3645685362003
11396560,1542.6542772439147
11396565,1542.46946984938
11396657,1541.36239965158
11396898,1581.9769374080986
11396901,1581.9497836188705
11396923,1594.6296743141454
11397042,1593.9386053541225
11397178,1593.7883807256069
11397234,1591.4940657871498
11397509,1590.84853551
11397679,1577.592063514956
11397796,1577.4950515032385
11397818,1569.9681446543386
11398259,1569.8542795720905
11398302,1570.992848549805
11398565,1570.7648354198204
11398635,1563.2492460717763
11398761,1565.1348117806863
11398887,1499.5138968511746
11398949,1499.549280714996
11398958,1499.344287194728
11398976,1499.2635219835252
11399022,1550.3425307489706
11399128,1548.0870977913128
11399303,1548.0833819222014
11399339,1536.6173281689514
11399477,1547.435744317292
11399745,1545.2912190429017
11399805,1541.606496609824
11399838,1479.244997120795
11399910,1479.1757212945713
11399938,1474.0365195585937
11399948,1466.476454177465
11399989,1465.4491385024482
11399989,1465.4491385024482
