block,HHI
11373260,10000.0
11374076,9728.111214412032
11374090,9470.308128501269
11374768,9460.073215518703
11374785,9096.931386226937
11374832,9898.459092711111
11375154,9898.358464867015
11375179,9898.257637474771
11375257,9896.284556253035
11375356,9895.24551302178
11375784,9955.085742221572
11378799,9951.0660814393
11378801,9955.085742221572
11379249,9954.75603000861
11379261,9954.957085366601
11379720,9950.937502502455
11379729,9942.911009871223
11379953,9962.982656127562
11380018,9962.983124748627
11380026,9963.385692414211
11380161,9995.964184947947
11380190,9996.008755735134
11380260,9995.964366397411
11380276,9995.724602646089
11380279,9996.902568132946
11380297,9997.904680992837
11380410,9997.669030150983
11380469,6858.833010151922
11380493,6855.648557430304
11380555,6824.285968222153
11380573,6821.094281425846
11380574,6824.213901777053
11380695,6823.894567767398
11380771,6823.863263242987
11380775,6819.524091238345
11380995,6797.710170933748
11381029,6778.052695416301
11381032,6747.221058276091
11381060,6716.5995591961355
11381120,6703.5638421869
11381168,6932.664305849153
11381346,6932.382611538817
11381557,6929.159009991785
11381903,6925.905476821333
11381915,6939.680702688472
11381928,6938.863667437377
11381996,6971.22051003367
11382053,6954.819919746931
11382168,6945.719801358681
11382220,6938.791694108841
11382221,6934.792342837289
11382337,6510.135278580621
11382354,6504.276000240552
11382593,6501.348831685516
11382662,6220.477513413004
11382687,6498.423270308472
11382720,6328.269527867381
11382739,6501.348831685516
11382743,6386.643899089173
11382769,6385.522970573352
11382777,6471.088294073435
11383007,6442.177655611096
11383020,6427.803334798282
11383039,6327.348704398494
11383199,6313.3420751228505
11383609,6285.492917459162
11383798,6285.479063628328
11383800,6252.206186400212
11383829,6219.340722865393
11383857,6059.33941032601
11383903,6027.974465574091
11384039,5900.687429454389
11384168,5961.787845204736
11384475,5731.438037768335
11384604,4355.6215318761615
11385040,4328.236856383739
11385982,4701.523539192012
11386288,4680.2333819034
11386304,4513.948380455574
11386369,4484.10606774825
11386680,4274.485062250891
11386961,4227.504286870217
11387014,4223.24305111746
11387102,4178.393856614337
11387456,4156.510596750623
11387611,4156.029616546349
11387629,4160.1294062130855
11387674,4186.76740768106
11388310,4064.259048879818
11388330,3951.648713144379
11388368,3843.427814261513
11388475,3842.7918025002527
11388651,3183.9027173354475
11388719,3842.7918025002527
11389454,3706.9816195837516
11389524,3842.7918025002527
11389528,3837.9534503981217
11389648,3657.427941371496
11389651,3633.129077142479
11389716,3579.0890045337665
11389828,3273.7701529588953
11389910,3811.8124115470955
11389916,3255.8241533633945
11389945,3254.0425943710466
11390002,3253.0575007667776
11390349,3252.052977022457
11390447,3250.8334343324927
11390519,3249.9154987267584
11390538,3241.9961722091953
11390592,3249.9154987267584
11390715,3249.826078930043
11390753,3206.040111696953
11390849,3101.6292095692756
11391048,3056.397517833377
11391063,3060.6876534576504
11391104,3059.780523489637
11391129,2551.1912878268795
11391263,2243.235298420123
11391322,2551.1912878268795
11391346,2550.0741343753016
11391692,2550.0067147919845
11391740,2550.9420907293593
11391835,2591.4504487403883
11391918,2571.5037354437363
11392183,2557.9719943149603
11392189,2519.724608016545
11392523,2517.362434081127
11392538,2516.8331368227523
11392565,2502.461044988661
11392614,2488.544607985746
11392645,2483.898090173463
11392676,2477.4471824373427
11392685,2483.898090173463
11392721,2291.910596157793
11392805,2164.5254000575646
11392931,2339.5038027997157
11393061,2336.5550981872116
11393102,2280.167442716055
11393201,2273.6908917562505
11393328,2273.125046477521
11393366,2250.7590899467446
11393426,2247.466035360746
11393538,2247.286710089074
11393555,2247.0235972915075
11393566,1987.4592950234346
11393658,1987.4540517201845
11393692,1969.4589752878483
11393692,1969.4589752878483
11393823,1941.5939296611443
11393953,1923.6403169030807
11393967,1900.33045501171
11393971,1644.0893083692304
11394236,1643.1332805764764
11394387,1635.5622628202557
11394432,1635.35454614841
11394468,1635.3241586198776
11394491,1635.1532671786827
11394515,1656.9002191302552
11394666,1656.8614670029458
11394720,1681.87414592895
11394829,1440.7608366752272
11394836,1440.594308273226
11394892,1484.8320563312077
11395169,1468.6208552217831
11395342,1466.6947166446434
11395383,1497.2929615654523
11395674,1496.9242804357334
11395698,1494.170894915701
11395838,1495.3915640131156
11395907,1496.9242804357334
11396026,1481.9375470499342
11396053,1443.740511133144
11396131,1447.552793359666
11396145,1446.0975547778148
11396147,1449.224360943675
11396347,1450.6836706832557
11396510,1447.991782126717
11396552,1447.9479740530783
11396575,1446.578501172765
11396581,1437.8510093360676
11396621,1429.8716975037423
11396730,1427.0200643299365
11396923,1417.6957775919764
11396980,1420.5193517237453
11397241,1393.5397979443073
11397292,1369.1167966169655
11397331,1369.115201180472
11397354,2143.846910543311
11397377,1369.1167966169655
11397570,1368.25431747431
11397610,1319.8670134376375
11397698,1310.8361134039408
11397798,1286.989863657741
11397801,1309.9322836571866
11398120,1284.0891365285602
11398132,1309.9322836571866
11398192,1292.2743899689492
11398404,1283.955376873637
11398491,1259.642658813579
11398938,1259.5656051738006
11398962,1260.3333714039545
11399480,1280.579121407179
11399501,1280.5712637889978
11399935,1279.3509065475046
11399961,1159.0976402264962
11400009,1094.3326974161716
11400038,1196.1024630948123
11400055,1059.4682222748156
11400176,1022.6096414761918
11400356,1021.4708178633648
11400432,1014.7064517468266
11400523,1001.9221587680468
11400540,1000.8024178314355
11400607,1000.5217255608636
11400623,994.675250074251
11400664,994.4913866684567
11400685,989.9394049099054
11400699,974.3051801300961
11400810,964.609386783706
11400823,923.8344830945388
11400849,924.6572950998174
11400969,873.4402312786146
11401061,873.8723849566552
11401185,874.3077058931332
11401229,874.1597423223108
11401235,875.540348273338
11401248,817.395908890598
11402268,817.3437562067638
11402447,651.3896356175845
11402520,651.2359751787847
11402561,626.3940189062739
11402672,618.9468290007538
11402740,617.8654602514096
11402745,608.5997121967459
11402746,604.0899441486121
11402791,604.2036130942538
11402808,604.491147385099
11402964,601.7711004386363
11403080,595.893690691901
11403260,595.4383172905865
11403304,595.1837741977497
11403329,590.9102250248617
11403343,590.9517526544383
11403443,591.0780825738256
11403602,589.160306318275
11403745,584.1892955722865
11403898,578.1523066606244
11404147,578.1341241531592
11404169,576.0654184591034
11404361,576.0414457107936
11404560,568.3130600823288
11404599,567.1021911616469
11404654,566.2945408524643
11404673,564.4589759360674
11404674,565.648596901173
11404686,573.2024270429196
11404686,573.2024270429196
11404689,573.172156166032
11404722,571.9581280853357
11404782,572.0899013627312
11404815,571.609868991623
11404838,554.8338173140714
11404946,571.6105549652777
11405029,562.8176911187676
11405733,571.6830581709347
11405780,562.8176908055973
11406067,562.7408902834618
11406089,3576.7342340867476
11406160,3576.9344231082546
11406358,3580.969339090301
11406418,3609.223649885753
11406528,3652.1042314296915
11406782,3645.3983934530565
11407045,3645.4301933434876
11407070,3647.6159361331233
11407449,3648.6760168117903
11407601,3744.0749524336065
11407608,3748.592204286677
11407813,3709.4727676167045
11407903,3707.299365393081
11407999,3707.618090295007
11408026,3708.731399890679
11408398,3708.7292061833027
11408539,3708.731399890679
11408584,3708.513963184487
11408755,3708.4149033292274
11409208,3709.500763962777
11409272,3709.233801473586
11409276,3707.956531742672
11409490,3709.042616487206
11409651,3708.9998744530467
11409724,3708.999656977402
11409898,3666.217936577428
11409914,3666.2181502891576
11410281,3667.484551573768
11410371,3662.1655592546153
11410391,3661.3997619822967
11410416,3656.9287661582207
11410425,3655.864730067879
11410444,3654.61173046614
11410458,3655.864730067879
11411035,3655.2264871316443
11411077,3655.864730067879
11411476,3657.130182078285
11411745,3634.4844879654665
11411968,3635.0119597560847
11412587,3656.128036394282
11412634,3656.6598632756927
11412641,3519.8392487264646
11412653,3210.0367742840617
11412745,3189.959659856981
11412913,3180.6257251581255
11412963,3180.2842780394367
11413005,3182.2617367140697
11413022,3181.100319177104
11413075,2918.2095127599277
11413079,2917.3367222845022
11413111,2952.7949928059174
11413140,2916.7592335472723
11413348,2371.790912691418
11413402,2916.7592335472723
11413460,2916.6882652791455
11413593,2881.892832030372
11413741,2864.6382321793503
11413797,2766.2378850519676
11413836,2766.182431450961
11414388,2766.458179335683
11414574,2765.996755057958
11414585,2765.0740607348275
11414630,2762.625967962918
11414671,2763.442264664188
11414764,2739.2781963574453
11414839,2763.442264664188
11414878,2804.227190674543
11415051,2803.8941370441503
11415158,2804.562077358795
11415434,2803.2792756503254
11415442,2807.3706465846544
11415445,3054.3895366857755
11415632,3054.8660197616628
11415744,3061.716130725371
11415759,3061.692673742024
11415806,3059.8545295991266
11415861,3066.760463727166
11415884,3066.513384431714
11416023,3065.820374936438
11416036,3065.2466295462928
11416059,3065.5108086990867
11416176,3065.896591648053
11416280,3065.690702129846
11416405,3066.034078800938
11416442,3058.3944882734395
11416561,3063.2325793573737
11416561,3063.2325793573737
11416612,3063.251740362226
11416778,3062.8375326644687
11416926,3056.1654441197857
11416937,3055.9841789398347
11416978,3078.6150877872674
11417256,3070.1974861352733
11417290,3070.190884905734
11417512,3063.988799926343
11417631,3000.969242670592
11417635,2972.459721705725
11417638,2951.787400968633
11417652,2874.3088524405166
11417673,2802.6954559179735
11417872,2802.6188659795625
11417986,2783.268968176247
11418149,2778.7608346876023
11418182,2781.707848624244
11418242,2750.92932522335
11418343,2750.5120989036254
11418421,2751.560062150696
11418910,2730.6177770636295
11419189,2725.817548858795
11419258,2788.3944234246374
11419328,2741.1391226830615
11419358,2740.6190483931027
11419427,2612.437288761887
11419503,2595.7017212901173
11419577,2537.300286909882
11419668,2542.052128104638
11419692,2541.614554314148
11419901,2532.7075744129465
11419955,2493.2162872351632
11419964,2490.3274091827925
11419990,2490.527027115897
11420154,2490.387413229216
11420210,2483.4408635011805
11420238,2509.0623669544507
11420255,2517.847730170558
11420320,2512.6977486619194
11420469,2509.314131041834
11420523,2558.498473905738
11420545,2611.9501792899287
11420590,2610.4472392901666
11420591,2608.945596652955
11420664,2471.8299960884974
11420715,2608.945596652955
11420756,2634.2890414761614
11420760,2633.6794830395584
11420927,2633.6298036330436
11420978,2633.453365306881
11421004,2633.5030397202268
11421010,2633.457399020945
11421035,2633.5549857377982
11421075,2603.671645994926
11421093,2606.0657198749977
11421124,2606.134086172557
11421356,2069.85299771937
11421380,2606.134086172557
11421567,2605.3692730959274
11421620,2605.2193567577556
11421756,2602.117306245372
11422012,2580.121950930178
11422129,2580.8840965543372
11422226,2580.1219549726775
11422314,2783.767325889042
11422342,2771.525109394188
11422437,2742.54898885438
11422488,2742.387139516498
11422516,2739.472422057891
11422555,2722.054318081068
11422585,2721.886807464362
11422763,2721.774428133401
11422790,2718.617362145997
11422929,2712.3403362954614
11422949,2711.590924715762
11422986,2706.934896977492
11423052,2700.638076097691
11423068,2705.39251992527
11423080,2706.934896977492
11423672,2706.9333047456003
11423713,2704.2659836628086
11423836,2749.2175656345034
11423844,2749.219195524895
11423903,2747.322550108349
11423916,2753.8325031076497
11424091,2753.6691200392543
11424136,2753.659352352064
11424296,2753.495353669866
11424327,2753.6684880860153
11424327,2753.6684880860153
11424962,2727.023590770567
11424984,2721.414189574566
11425027,2718.5728662807123
11425119,2716.1736102722443
11425199,2704.2039952598925
11425215,2393.59268853993
11425234,2393.4361849830516
11425241,2704.014187991656
11425937,2702.7440174426742
11425969,2714.7039147631817
11425993,2717.539169844405
11426051,2704.8322619627256
11426102,2701.527995503954
11426450,2701.2634219933666
11426523,2694.942277589679
11426526,2685.8123803052267
11426533,2694.942277589679
11426744,2695.0008143712266
11426979,2660.6722682291006
11426983,2660.5862030605517
11427042,2660.413578313138
11427051,2658.8645740301313
11427113,2666.6083557917914
11427131,2667.4111207900323
11427204,2690.5947359735824
11427307,2691.150019868009
11427316,2691.142022393088
11427323,2691.536201885234
11427698,2694.373429590917
11427874,2694.2154095455417
11427886,2694.5304823454017
11427896,2694.52103418934
11427952,2694.6885305083165
11427952,2694.6885305083165
11427980,2554.8447369905
11427987,2610.9467210072444
11428016,2603.5467876712664
11428083,2604.2846359267105
11428960,2637.015211150285
11428964,2207.337988162637
11429030,2157.9097706831094
11429040,2161.559841786501
11429128,2161.2291970782585
11429133,2150.874906618302
11429140,2150.8009228856768
11429245,2151.1291293695726
11429292,2152.2117599638536
11429401,2152.356951196003
11429431,2152.5135702085036
11429897,2176.709445214741
11430380,2176.598057553755
11430766,2213.134762027249
11430822,2213.4286042589683
11431252,2213.544170006925
11431370,2192.7636763434202
11431435,2192.6454120225926
11431554,2192.494230941445
11431617,2192.4554553308394
11431674,2192.342596703467
11432317,2213.117067744981
11432678,2213.994630174378
11432719,2219.710652700606
11433136,2219.709505396192
11433158,2219.708358094004
11433177,2225.4451426654273
11433225,2225.433625202475
11433345,2226.4910961544956
11433376,2226.5283006025406
11433395,2235.0755226657902
11433602,2230.755669164615
11434228,2231.1981826764504
11434426,2341.4985296167124
11434490,2341.4923056401562
11434866,2337.7687511493846
11434987,2286.5869378445846
11435022,2304.353629012865
11435049,2304.232141778576
11435093,2304.05002355272
11435105,2303.927078055014
11435133,2297.2344041412634
11435202,2302.051698383121
11435229,2303.8678378081368
11435232,2302.0516985102718
11436277,2301.9905882093603
11436739,2308.164401482037
11436783,2308.0434414100937
11437103,2308.069782230295
11437245,2309.4886904783466
11437803,2309.4886782886556
11438503,2297.416099631583
11438509,2296.746096626968
11438538,2308.8133758445592
11438604,2311.7836395208888
11438681,2316.1761148563655
11438907,2316.752168541699
11439129,2316.574603745134
11439405,2316.880533336733
11439449,2321.408402224627
11439449,2321.408402224627
11439501,2321.6540268557183
11439628,2321.900018228243
11439672,2322.085179467253
11439735,2297.9754017059076
11439854,2298.1024456669206
11439938,2272.520826119612
11440016,2273.9922941582145
11440293,2280.582799066952
11440510,2291.1707848134793
11440545,2290.8206533557936
11440624,2290.164089377859
11440700,2289.562595722026
11440715,2289.950327574988
11440983,2289.9431072554266
11440989,2289.950327573781
11441002,2289.94310725784
11441011,2289.950327573781
11441085,2288.680319033583
11441144,2281.50024203022
11441354,2281.2036843402643
11441362,2281.799669673606
11441367,2281.664346750709
11441392,2281.495214928138
11441417,2281.664346750709
11441490,2270.399398982288
11441543,1860.0563362622381
11441934,1859.8787632245917
11441998,1859.870151165345
11442014,1570.4727691097148
11442018,1859.870151165345
11442341,1859.9087183233867
11442383,1859.1798860454085
11442647,1853.4797614151996
11442652,1859.1798852921406
11442760,1855.3609789634947
11442822,1800.919576251452
11442869,1808.522613761682
11442889,1863.317689552636
11443335,1853.134516728567
11443524,1850.8730025521731
11443553,1853.3005774445696
11443649,1853.4771756473012
11443711,1853.2301685406785
11443744,1852.9236005570958
11443775,1852.8795005658208
11443784,1852.6339526334002
11443829,1852.4531103426218
11443846,1848.5279284270016
11443853,1854.734108376871
11444142,1853.9725942277132
11444159,1854.734108376871
11444392,1852.452491577182
11444394,1852.3003663723086
11444478,1851.8582830232126
11444503,1850.0542409728528
