block,HHI
11372431,10000.0
11373603,8628.257887517144
11380027,8687.137921241543
11380113,9946.478643747967
11380305,9942.512310555298
11380480,9903.014786492076
11380537,9863.752313482668
11380586,9867.671589039152
11381337,9865.581945981185
11381872,8326.787740319282
11381876,8322.251444739704
11381941,8304.44342458203
11382086,8289.052755899653
11382483,8143.059075183723
11382679,8091.657061622489
11382698,8027.449828869074
11382724,7941.31537193374
11382843,6766.2777938722165
11383829,6647.649113939396
11384008,5344.573134626311
11384143,5269.440934118907
11384207,5269.366096537675
11384273,5344.496687135279
11385031,4699.415289231687
11385487,4696.907716872252
11385761,4693.776301904119
11386000,4692.8372672093265
11386656,4661.804873905768
11386846,4639.316912222415
11386892,4121.092439461795
11386926,4139.825030976901
11387037,4142.406538031217
11387115,3704.775935564783
11387142,3326.9559117971926
11387383,3290.726854850583
11387451,3651.4070679758447
11387547,3693.986396460329
11387617,2790.146925201146
11388037,6236.746842270205
11388383,6133.722784987549
11388776,6289.916588265811
11389715,4639.623185129293
11389725,6289.916588265811
11389961,5925.994256360435
11390026,6289.916588265811
11391679,6288.5472470442755
11392034,6288.804016071856
11392201,6288.741920305312
11392750,5730.581965620858
11392932,5728.651011226409
11392949,6286.517763883514
11393021,6288.741920305312
11393309,5566.15437027776
11393399,5553.407701732036
11394473,5539.297911840405
11394482,5483.714161612235
11394645,5553.407701732036
11395138,5550.5773768096415
11395374,5509.237461553381
11396216,5505.967575267107
11396292,5236.735958946123
11396353,5222.574177001332
11396367,5490.690692734495
11397246,5489.718341816029
11397605,5489.0229913688645
11397624,5479.313094225847
11397638,5478.342431348015
11397643,5343.8337044429845
11397755,5344.768696561623
11397852,6440.668027254937
11398163,6441.24846595047
11398542,6441.132370297475
11398566,6440.087723963669
11398684,6441.24846595047
11398776,5971.992138313946
11399220,5588.140656705292
11399316,5581.439726345631
11399508,4775.241972220698
11399527,4551.397818458738
11399584,4547.505202795321
11399649,4537.224616626514
11399690,4526.971229126099
11399839,4458.0679885353475
11399872,4082.2394082518003
11400135,4082.1999279866536
11400191,4081.105622460047
11400240,3996.4800245413658
11400251,3347.7692532724245
11400320,3317.4808473068774
11400335,3336.5688409884497
11400463,3606.574804779811
11400712,3570.3488684544673
11401372,3570.1678429284884
11401471,3568.5610333644863
11401979,3569.2846225338844
11402681,3568.9227686307136
11403639,3498.6469390113252
11403675,4198.444420169595
11403834,4197.390419494661
11403913,4178.770911451821
11403971,4177.968359412663
11404052,4168.696798835647
11404114,4164.206717568122
11404128,4152.787931623477
11404231,4144.497334765889
11404249,4141.135361868235
11404273,4130.953055486306
11404274,4077.645144522258
11404285,4077.6406617009698
