block,HHI
11373200,10000.0
11373711,9697.605236303369
11374245,5937.051404958677
11374597,9333.289846029496
11379011,9277.020169360405
11379993,8173.275608083995
11380028,8298.570746241476
11380159,9988.20347876599
11380479,7192.8614187126495
11380657,6190.186134228984
11380701,6190.215776602864
11380719,6190.229110420515
11380737,5375.965465741041
11380838,5366.414858181854
11380940,4716.3120063678725
11381042,5373.889001561435
11381080,5296.873855881718
11381391,5084.464515671943
11381475,4881.581940355742
11381644,4637.109690577905
11381799,4119.092908931654
11381922,3499.2547714028196
11381945,3372.9906115778767
11382081,2836.042389099566
11382122,3372.9906115778767
11382158,3259.8835276567174
11382234,2963.047784301766
11382362,2962.9870884969946
11382593,2961.333852565353
11382664,2702.007866907122
11382687,2579.7868470052204
11383026,2413.7841356063536
11383060,2413.4929077423762
11383101,2413.7841356063536
11383294,1971.4481680753609
11383559,1971.247879304757
11383621,1971.2872149344548
11383629,1971.4481680753609
11383666,1971.3726019158205
11383693,1971.2970474476704
11384015,4664.0470873181675
11384320,4664.0445599443865
11384401,4664.02360074794
11384430,4663.276753857233
11384444,4664.02360074794
11384457,4784.780852199847
11384526,4669.713173624269
11384896,4554.534247587544
11384924,4669.713173624269
11385017,4668.520544443739
11385086,4656.63398686965
11385461,4647.560514641778
11385765,4435.856307116339
11385844,4432.451978421116
11385990,4428.047492972057
11386065,4419.424982787726
11386627,4342.545564783114
11386973,3809.349689851138
11386992,3787.7043749476734
11386998,4316.035106284405
11387087,3597.559712004288
11387166,4316.035106284405
11387299,4310.365245293196
11387375,4299.827527285022
11387400,4310.365245293196
11387499,3941.6405416907055
11387582,4310.365245293196
11387713,4308.839241688488
11388054,4284.90513727315
11388237,4228.7613758877305
11388295,4227.733264220441
11388367,4226.214625531061
11388614,4048.978771906365
11389072,4047.802117596901
11389407,3920.6059853903985
11389495,3906.6538037731707
11389965,3906.3793917562834
11390045,3800.1731313201585
11390142,3682.123730682969
11390224,3679.9912362721902
11390496,3676.8495181616076
11391027,3506.4955532983076
11391493,3407.102630465356
11391525,3371.852768517517
11391570,3469.6635987775026
11392416,3394.7026423603065
11392446,3335.7827974547085
11392510,3335.728402798073
11392613,3314.6276306962327
11392647,3214.280129565609
11392665,930.2345517493584
11392863,929.7993769771042
11393311,924.7172734673262
11393769,924.690577303997
11393778,901.4133951779164
11393858,888.1710272355581
11394294,887.9899032753518
11394331,887.4712657952833
11394536,868.8369351704682
11394569,862.4951486903612
11394638,856.8230620106201
11394654,865.3856826238034
11394710,871.1445880778706
11395047,850.0476879590733
11395072,849.9072958917086
11395192,787.6984745590444
11395244,787.6882039375568
11395400,787.5239253602658
11395515,781.2883433657743
11395643,781.6146311663856
11395674,780.6739612070483
11395691,780.6239769695231
11395705,780.6739612070483
11395811,774.0224399815205
11395893,773.9581439470277
11395917,774.6338818059804
11396131,772.1642376620852
11396313,770.5731873626157
11396334,744.1030652701211
11396347,743.3246064198487
11396422,729.7263451143912
11396459,729.405688606687
11396517,729.4026410654405
11397028,714.3816312328878
11397201,711.6210046523842
11397384,679.9551226004018
11397682,657.9284879608616
11397705,643.1431143017691
11397875,640.4486105021001
11398142,640.3683462608429
11398227,640.4486105021001
11398265,640.4412140886986
11398316,640.4889097406474
11398390,640.4963294432628
11398404,618.4598795227099
11398649,618.4176262342997
11398652,603.7752576642591
11398806,603.7730821343433
11399074,603.6757705837185
11399161,603.5728713373951
11399467,603.5726538033438
11399538,603.5725887606162
11399557,593.8227336196812
11399777,585.4427037748823
11399994,575.575778958016
11400549,573.6335878723135
11400589,573.6139252742172
11400618,573.500979639068
11401250,571.7201867242668
11401335,571.4152909821586
11401400,571.409235580633
11401413,571.3987602787789
11401426,571.4048155137831
11401433,571.2742989100885
11401517,563.7836320974515
11401530,590.2437963327395
11401627,590.0853712714219
11402018,589.737312857565
11402337,589.5247050378704
11402438,577.9231481514136
11402486,573.795215488205
11402505,572.7222046513168
11402590,572.6723749700069
11402662,551.9852764564522
11402707,552.5262510988161
11402707,552.5262510988161
11402761,542.6236701555013
11402770,542.4253605934714
11402864,541.6970399331055
11402877,541.6954666947145
11402892,523.1965957998809
11402917,522.9634685720238
11402960,519.2574261924037
11403006,519.1106876693613
11403042,518.3337528524297
11403042,518.3337528524297
11403044,518.0897645575305
11403080,522.7713852612736
11403122,518.1102103057926
11403495,517.7420115383005
11403602,504.6932152845727
11404038,503.9896825677953
11404079,501.2883355221641
11404086,480.64802335976213
11404142,483.7008454970664
11404177,465.81136990468354
11404461,456.57998062462246
11404678,459.5688195909739
11405023,460.1123075227996
11405048,460.787701642223
11405158,460.6764358923969
11405222,464.85721211147404
11405772,461.9392461166016
11405854,462.2044640282696
11405917,462.7181322053759
11405976,463.96657917760695
11406082,463.6184620031988
11406183,462.49503879982296
11406258,462.38665524507644
11406392,462.3822077502051
11406550,460.4811367346697
11406604,457.05807413407086
11407014,456.98305933422546
11407166,456.5888820117047
11407183,458.2957888573045
11407306,450.59489992321824
11407574,466.5504550038812
11407580,463.93429146123634
11407594,463.83320226881267
11407717,457.9728472307271
11407797,457.96765673241816
11407810,460.49338441110433
11407813,467.17474187912916
11407864,467.06746567621457
11407899,466.86959204033525
11407919,461.77871731806385
11407958,1962.5063228921135
11408005,461.77871731806385
11408028,1988.5253510474927
11408077,1988.784960115691
11408273,1989.1742254972287
11408494,1986.6033020890138
11408510,1991.94261480928
11408872,1984.7148293012535
11409251,2161.173535567897
11409280,466.1398746498564
11409752,456.16902334131504
11409902,454.63322130560607
11409928,454.65407589408045
11410022,473.33704745539586
11410140,471.1602860865989
11410230,472.8512937497102
11410561,470.57391004671325
11411065,470.39060210528174
11411171,473.7378684401428
11411230,598.9228444552889
11411539,593.90210631632
11411553,593.8432536870465
11411566,593.9010859258334
11411938,593.0555750691417
11412067,593.0461902621926
11412144,571.8896929455045
11412295,552.3526234905133
11412305,528.0431463457542
11412423,1095.0153514456576
11412452,528.0431463457542
11413318,528.151433242557
11413444,528.2577929243926
11413455,517.4771092194559
11413495,517.6464687288005
11414056,514.1643974207169
11414209,505.08065726910894
11414221,498.34641162155924
11414515,498.5697649789732
11414526,753.2605584349658
11414628,752.9937745091953
11414642,752.9081483463862
11414658,752.8653350239803
11414720,714.8507882390182
11414884,714.7371359124852
11415049,774.6522894057719
11415119,774.568727576535
11415128,792.1621195189279
