Date,fees ($),revenue ($)
2019-11-13,0.00,0.00
2019-11-14,0.00,0.00
2019-11-15,0.00,0.00
2019-11-16,0.00,0.00
2019-11-17,0.00,0.00
2019-11-18,92.76,92.76
2019-11-19,573.76,573.76
2019-11-20,961.97,961.97
2019-11-21,1366.59,1366.59
2019-11-22,1621.33,1621.33
2019-11-23,1852.14,1852.14
2019-11-24,2001.86,2001.86
2019-11-25,2085.76,2085.76
2019-11-26,2229.12,2229.12
2019-11-27,2237.71,2237.71
2019-11-28,2356.50,2356.50
2019-11-29,2468.66,2468.66
2019-11-30,2574.58,2574.58
2019-12-01,2678.51,2678.51
2019-12-02,3486.51,3486.51
2019-12-03,4976.04,4976.04
2019-12-04,5426.36,5426.36
2019-12-05,5522.78,5522.78
2019-12-06,5650.36,5650.36
2019-12-07,5876.94,5876.94
2019-12-08,6050.85,6050.85
2019-12-09,6276.27,6276.27
2019-12-10,6406.76,6406.76
2019-12-11,6498.63,6498.63
2019-12-12,6616.92,6616.92
2019-12-13,6727.99,6727.99
2019-12-14,6816.28,6816.28
2019-12-15,6862.44,6862.44
2019-12-16,6900.64,6900.64
2019-12-17,7209.35,7209.35
2019-12-18,7210.97,7210.97
2019-12-19,7377.60,7377.60
2019-12-20,7509.11,7509.11
2019-12-21,7596.81,7596.81
2019-12-22,7635.55,7635.55
2019-12-23,7653.08,7653.08
2019-12-24,7612.41,7612.41
2019-12-25,7642.90,7642.90
2019-12-26,7635.39,7635.39
2019-12-27,7648.79,7648.79
2019-12-28,7751.20,7751.20
2019-12-29,7809.96,7809.96
2019-12-30,7829.76,7829.76
2019-12-31,7862.53,7862.53
2020-01-01,7890.20,7890.20
2020-01-02,8028.63,8028.63
2020-01-03,8081.84,8081.84
2020-01-04,8137.55,8137.55
2020-01-05,8172.25,8172.25
2020-01-06,8385.19,8385.19
2020-01-07,8688.39,8688.39
2020-01-08,13419.53,13419.53
2020-01-09,13524.83,13524.83
2020-01-10,13568.64,13568.64
2020-01-11,13599.63,13599.63
2020-01-12,13682.40,13682.40
2020-01-13,13755.59,13755.59
2020-01-14,13885.27,13885.27
2020-01-15,13995.27,13995.27
2020-01-16,14143.29,14143.29
2020-01-17,14416.46,14416.46
2020-01-18,15467.39,15467.39
2020-01-19,15689.25,15689.25
2020-01-20,15819.82,15819.82
2020-01-21,16066.12,16066.12
2020-01-22,16328.74,16328.74
2020-01-23,16471.33,16471.33
2020-01-24,16561.13,16561.13
2020-01-25,16629.08,16629.08
2020-01-26,22252.10,22252.10
2020-01-27,22384.46,22384.46
2020-01-28,22806.47,22806.47
2020-01-29,23027.21,23027.21
2020-01-30,23284.64,23284.64
2020-01-31,23526.56,23526.56
2020-02-01,23552.93,23552.93
2020-02-02,23560.65,23560.65
2020-02-03,23434.62,23434.62
2020-02-04,26667.61,26667.61
2020-02-05,26928.74,26928.74
2020-02-06,27194.67,27194.67
2020-02-07,27477.74,27477.74
2020-02-08,27677.41,27677.41
2020-02-09,24845.71,24845.71
2020-02-10,24998.69,24998.69
2020-02-11,25192.61,25192.61
2020-02-12,25675.48,25675.48
2020-02-13,26043.42,26043.42
2020-02-14,26398.40,26398.40
2020-02-15,26794.48,26794.48
2020-02-16,27182.36,27182.36
2020-02-17,27100.95,27100.95
2020-02-18,26857.43,26857.43
2020-02-19,25914.54,25914.54
2020-02-20,25755.57,25755.57
2020-02-21,25768.52,25768.52
2020-02-22,25743.02,25743.02
2020-02-23,25907.53,25907.53
2020-02-24,25974.85,25974.85
2020-02-25,25997.18,25997.18
2020-02-26,25679.30,25679.30
2020-02-27,25569.84,25569.84
2020-02-28,25076.89,25076.89
2020-02-29,24950.92,24950.92
2020-03-01,24842.39,24842.39
2020-03-02,24370.04,24370.04
2020-03-03,24471.55,24471.55
2020-03-04,24477.36,24477.36
2020-03-05,24484.48,24484.48
2020-03-06,24993.19,24993.19
2020-03-07,25310.99,25310.99
2020-03-08,25339.95,25339.95
2020-03-09,24958.75,24958.75
2020-03-10,24622.54,24622.54
2020-03-11,24490.29,24490.29
2020-03-12,22171.34,22171.34
2020-03-13,18071.62,18071.62
2020-03-14,8330.52,8330.52
2020-03-15,8124.37,8124.37
2020-03-16,972.51,972.51
2020-03-17,1306.33,1306.33
2020-03-18,2111.12,2111.12
2020-03-19,3917.88,3917.88
2020-03-20,4589.23,4589.23
2020-03-21,4624.07,4624.07
2020-03-22,4612.41,4612.41
2020-03-23,4766.52,4766.52
2020-03-24,5093.83,5093.83
2020-03-25,4611.06,4611.06
2020-03-26,4382.15,4382.15
2020-03-27,3702.52,3702.52
2020-03-28,3752.70,3752.70
2020-03-29,3728.58,3728.58
2020-03-30,3012.20,3012.20
2020-03-31,2941.51,2941.51
2020-04-01,2974.54,2974.54
2020-04-02,2987.53,2987.53
2020-04-03,3007.02,3007.02
2020-04-04,2958.40,2958.40
2020-04-05,2729.07,2729.07
2020-04-06,2362.04,2362.04
2020-04-07,1658.44,1658.44
2020-04-08,1430.84,1430.84
2020-04-09,1324.22,1324.22
2020-04-10,1329.88,1329.88
2020-04-11,1326.47,1326.47
2020-04-12,1325.19,1325.19
2020-04-13,1335.85,1335.85
2020-04-14,1338.49,1338.49
2020-04-15,1345.24,1345.24
2020-04-16,1361.40,1361.40
2020-04-17,1364.10,1364.10
2020-04-18,1341.15,1341.15
2020-04-19,1380.07,1380.07
2020-04-20,193.28,193.28
2020-04-21,214.24,214.24
2020-04-22,200.01,200.01
2020-04-23,557.80,557.80
2020-04-24,597.85,597.85
2020-04-25,448.39,448.39
2020-04-26,453.50,453.50
2020-04-27,414.32,414.32
2020-04-28,411.11,411.11
2020-04-29,300.01,300.01
2020-04-30,136.95,136.95
2020-05-01,143.88,143.88
2020-05-02,406.22,406.22
2020-05-03,0.62,0.62
2020-05-04,1.92,1.92
2020-05-05,2.58,2.58
2020-05-06,3.24,3.24
2020-05-07,4.17,4.17
2020-05-08,5.40,5.40
2020-05-09,6.27,6.27
2020-05-10,6.54,6.54
2020-05-11,6.70,6.70
2020-05-12,7.77,7.77
2020-05-13,8.18,8.18
2020-05-14,8.62,8.62
2020-05-15,9.05,9.05
2020-05-16,9.73,9.73
2020-05-17,10.43,10.43
2020-05-18,10.87,10.87
2020-05-19,12.42,12.42
2020-05-20,63.19,63.19
2020-05-21,122.82,122.82
2020-05-22,238.65,238.65
2020-05-23,260.45,260.45
2020-05-24,384.23,384.23
2020-05-25,381.24,381.24
2020-05-26,381.38,381.38
2020-05-27,376.93,376.93
2020-05-28,367.79,367.79
2020-05-29,359.97,359.97
2020-05-30,338.92,338.92
2020-05-31,309.23,309.23
2020-06-01,287.75,287.75
2020-06-02,292.96,292.96
2020-06-03,298.97,298.97
2020-06-04,299.35,299.35
2020-06-05,299.72,299.72
2020-06-06,300.00,300.00
2020-06-07,299.31,299.31
2020-06-08,297.56,297.56
2020-06-09,297.54,297.54
2020-06-10,297.52,297.52
2020-06-11,295.02,295.02
2020-06-12,290.36,290.36
2020-06-13,290.12,290.12
2020-06-14,294.32,294.32
2020-06-15,309.57,309.57
2020-06-16,309.39,309.39
2020-06-17,312.79,312.79
2020-06-18,311.79,311.79
2020-06-19,305.34,305.34
2020-06-20,306.66,306.66
2020-06-21,315.02,315.02
2020-06-22,314.13,314.13
2020-06-23,314.24,314.24
2020-06-24,313.98,313.98
2020-06-25,313.09,313.09
2020-06-26,307.90,307.90
2020-06-27,308.23,308.23
2020-06-28,1188.00,1188.00
2020-06-29,1191.09,1191.09
2020-06-30,1186.19,1186.19
2020-07-01,1351.26,1351.26
2020-07-02,1692.57,1692.57
2020-07-03,1786.98,1786.98
2020-07-04,2846.66,2846.66
2020-07-05,3103.17,3103.17
2020-07-06,3253.03,3253.03
2020-07-07,3429.30,3429.30
2020-07-08,3492.07,3492.07
2020-07-09,3502.20,3502.20
2020-07-10,3512.19,3512.19
2020-07-11,3529.18,3529.18
2020-07-12,3530.49,3530.49
2020-07-13,3525.20,3525.20
2020-07-14,3517.65,3517.65
2020-07-15,3570.19,3570.19
2020-07-16,3573.38,3573.38
2020-07-17,3866.04,3866.04
2020-07-18,4511.98,4511.98
2020-07-19,4062.46,4062.46
