Date,fully_diluted_market_cap ($),circulating_market_cap ($)
2017-12-20,1095442508.62,0.00
2017-12-21,1522705059.35,0.00
2017-12-22,878702561.19,0.00
2017-12-23,1048636676.58,0.00
2017-12-24,1247846924.39,0.00
2017-12-25,1590146707.62,0.00
2017-12-26,1232137682.03,0.00
2017-12-27,1155264593.46,0.00
2017-12-28,1079739774.12,0.00
2017-12-29,1085075150.13,0.00
2017-12-30,1022742252.99,0.00
2017-12-31,1014988192.33,0.00
2018-01-01,1096085832.17,0.00
2018-01-02,1123693201.23,0.00
2018-01-03,1159401245.22,0.00
2018-01-04,1026908798.13,0.00
2018-01-05,1131444436.77,0.00
2018-01-06,1375984712.38,0.00
2018-01-07,1474825339.95,0.00
2018-01-08,1383744494.49,0.00
2018-01-09,1509055444.94,0.00
2018-01-10,1142530388.14,0.00
2018-01-11,1308579881.11,0.00
2018-01-12,1416601098.85,0.00
2018-01-13,1650119428.63,0.00
2018-01-14,1472786782.93,0.00
2018-01-15,1225543494.63,0.00
2018-01-16,1132364713.98,0.00
2018-01-17,1114383383.07,685122084.28
2018-01-18,1568688165.34,964428330.28
2018-01-19,1569130869.31,964700504.36
2018-01-20,1808735989.00,1112009555.72
2018-01-21,1636232095.77,1005954289.03
2018-01-22,1569880317.29,965161264.43
2018-01-23,1566074481.37,962821439.30
2018-01-24,1598238466.14,982595833.48
2018-01-25,1494564847.87,918857369.22
2018-01-26,1489027164.07,915452805.29
2018-01-27,1412730045.26,868545392.77
2018-01-28,1502658762.64,923833502.07
2018-01-29,1440868063.71,885844625.81
2018-01-30,1437355447.20,883685071.77
2018-01-31,1330505509.55,817993808.69
2018-02-01,1361444726.97,837015216.80
2018-02-02,1259189194.13,774148590.42
2018-02-03,1161721545.28,714225551.60
2018-02-04,1174351789.04,721990616.17
2018-02-05,1079645976.74,663765552.42
2018-02-06,768393063.00,472407489.98
2018-02-07,900161867.82,553418854.27
2018-02-08,930485756.96,572061959.01
2018-02-09,1003488984.29,616944289.48
2018-02-10,1097716680.22,674875407.63
2018-02-11,1061996372.12,652914588.49
2018-02-12,1011566289.29,621910210.65
2018-02-13,1056850968.80,649751198.31
2018-02-14,1035882005.92,636859495.35
2018-02-15,1104165302.48,678840015.86
2018-02-16,1170683645.49,719735444.21
2018-02-17,1164808458.55,716123383.60
2018-02-18,1148078018.83,705837521.57
2018-02-19,1089829849.19,670026589.71
2018-02-20,1135497843.63,698103239.11
2018-02-21,1087560162.48,668631187.99
2018-02-22,968822864.18,595631584.33
2018-02-23,970188466.90,596471155.88
2018-02-24,1000556180.97,615141204.16
2018-02-25,986499699.42,606499289.64
2018-02-26,1026967962.76,631379148.17
2018-02-27,1029466480.14,632915234.82
2018-02-28,1048850894.31,644832758.40
2018-03-01,1065813139.71,655261134.39
2018-03-02,1039999264.21,639390782.72
