Date,Price ($)
2017-12-20,1089.37
2017-12-21,1514.26
2017-12-22,873.83
2017-12-23,1042.82
2017-12-24,1240.93
2017-12-25,1581.33
2017-12-26,1225.30
2017-12-27,1148.86
2017-12-28,1073.75
2017-12-29,1079.06
2017-12-30,1017.07
2017-12-31,1009.36
2018-01-01,1090.01
2018-01-02,1117.46
2018-01-03,1152.97
2018-01-04,1021.21
2018-01-05,1125.17
2018-01-06,1368.35
2018-01-07,1466.65
2018-01-08,1376.07
2018-01-09,1500.69
2018-01-10,1136.19
2018-01-11,1301.32
2018-01-12,1408.74
2018-01-13,1640.97
2018-01-14,1464.62
2018-01-15,1218.75
2018-01-16,1126.08
2018-01-17,1108.20
2018-01-18,1559.99
2018-01-19,1560.43
2018-01-20,1798.70
2018-01-21,1627.16
2018-01-22,1561.17
2018-01-23,1557.39
2018-01-24,1589.37
2018-01-25,1486.28
2018-01-26,1480.77
2018-01-27,1404.89
2018-01-28,1494.32
2018-01-29,1432.88
2018-01-30,1429.38
2018-01-31,1323.13
2018-02-01,1353.89
2018-02-02,1252.21
2018-02-03,1155.28
2018-02-04,1167.84
2018-02-05,1073.66
2018-02-06,764.13
2018-02-07,895.17
2018-02-08,925.33
2018-02-09,997.92
2018-02-10,1091.63
2018-02-11,1056.11
2018-02-12,1005.96
2018-02-13,1050.99
2018-02-14,1030.14
2018-02-15,1098.04
2018-02-16,1164.19
2018-02-17,1158.35
2018-02-18,1141.71
2018-02-19,1083.79
2018-02-20,1129.20
2018-02-21,1081.53
2018-02-22,963.45
2018-02-23,964.81
2018-02-24,995.01
2018-02-25,981.03
2018-02-26,1021.27
2018-02-27,1023.76
2018-02-28,1043.03
2018-03-01,1059.90
2018-03-02,1034.23
2018-03-03,1020.17
2018-03-04,1016.95
2018-03-05,959.92
2018-03-06,963.49
2018-03-07,959.93
2018-03-08,855.95
2018-03-09,841.62
2018-03-10,825.26
2018-03-11,798.11
2018-03-12,833.23
2018-03-13,814.75
2018-03-14,811.41
2018-03-15,748.13
2018-03-16,737.24
2018-03-17,727.52
2018-03-18,672.74
2018-03-19,674.46
2018-03-20,700.82
2018-03-21,708.02
2018-03-22,725.38
2018-03-23,688.14
2018-03-24,719.36
2018-03-25,685.88
2018-03-26,682.63
2018-03-27,641.89
2018-03-28,589.63
2018-03-29,584.82
2018-03-30,495.99
2018-03-31,513.82
2018-04-01,522.11
2018-04-02,492.42
2018-04-03,499.55
2018-04-04,535.19
2018-04-05,501.48
2018-04-06,506.48
2018-04-07,488.42
2018-04-08,499.76
2018-04-09,521.94
2018-04-10,532.02
2018-04-11,553.93
2018-04-12,586.43
2018-04-13,656.35
2018-04-14,694.35
2018-04-15,697.56
2018-04-16,753.28
2018-04-17,753.43
2018-04-18,743.26
2018-04-19,765.96
2018-04-20,843.06
2018-04-21,883.43
2018-04-22,910.32
2018-04-23,934.72
2018-04-24,946.58
2018-04-25,1035.67
2018-04-26,895.68
2018-04-27,1012.85
2018-04-28,1005.54
2018-04-29,1058.89
2018-04-30,1069.01
2018-05-01,1040.98
2018-05-02,1038.93
2018-05-03,1053.50
2018-05-04,1129.41
2018-05-05,1141.90
2018-05-06,1131.82
2018-05-07,1067.01
2018-05-08,1016.60
2018-05-09,1007.67
2018-05-10,1025.22
2018-05-11,1063.97
2018-05-12,956.87
2018-05-13,941.02
2018-05-14,976.55
2018-05-15,952.55
2018-05-16,913.53
2018-05-17,901.37
2018-05-18,862.82
2018-05-19,906.76
2018-05-20,887.23
2018-05-21,914.68
2018-05-22,903.41
2018-05-23,861.58
2018-05-24,759.92
2018-05-25,775.49
2018-05-26,781.43
2018-05-27,776.19
2018-05-28,767.11
2018-05-29,707.63
2018-05-30,749.04
2018-05-31,738.53
2018-06-01,760.80
2018-06-02,764.94
2018-06-03,779.85
2018-06-04,797.76
2018-06-05,779.28
2018-06-06,789.54
2018-06-07,800.09
2018-06-08,790.03
2018-06-09,776.97
2018-06-10,772.62
2018-06-11,680.20
2018-06-12,689.41
2018-06-13,656.29
2018-06-14,605.58
2018-06-15,619.70
2018-06-16,570.23
2018-06-17,554.90
2018-06-18,538.09
2018-06-19,539.15
2018-06-20,557.68
2018-06-21,562.85
2018-06-22,571.42
2018-06-23,522.87
2018-06-24,536.36
2018-06-25,521.44
2018-06-26,523.40
2018-06-27,484.45
2018-06-28,493.63
2018-06-29,478.12
2018-06-30,501.67
2018-07-01,529.71
2018-07-02,531.23
2018-07-03,561.48
2018-07-04,549.74
2018-07-05,543.26
2018-07-06,552.60
2018-07-07,548.37
2018-07-08,570.46
2018-07-09,580.70
2018-07-10,567.72
2018-07-11,552.96
2018-07-12,562.12
2018-07-13,554.64
2018-07-14,546.69
2018-07-15,547.97
2018-07-16,568.30
2018-07-17,595.72
2018-07-18,655.15
2018-07-19,638.77
2018-07-20,611.57
2018-07-21,590.14
2018-07-22,607.88
2018-07-23,596.84
2018-07-24,588.76
2018-07-25,632.87
2018-07-26,637.04
2018-07-27,632.52
2018-07-28,644.39
2018-07-29,623.69
2018-07-30,648.41
2018-07-31,634.83
2018-08-01,604.45
2018-08-02,584.51
2018-08-03,565.60
2018-08-04,553.32
2018-08-05,544.34
2018-08-06,559.61
2018-08-07,541.20
2018-08-08,517.71
2018-08-09,506.83
2018-08-10,510.15
2018-08-11,483.79
2018-08-12,469.50
2018-08-13,472.50
2018-08-14,433.02
2018-08-15,404.68
2018-08-16,405.04
2018-08-17,419.53
2018-08-18,441.37
2018-08-19,432.74
2018-08-20,451.03
2018-08-21,422.57
2018-08-22,435.80
2018-08-23,402.41
2018-08-24,420.73
2018-08-25,436.16
2018-08-26,433.20
2018-08-27,429.46
2018-08-28,448.62
2018-08-29,458.32
2018-08-30,449.89
2018-08-31,441.53
2018-09-01,460.48
2018-09-02,485.64
2018-09-03,510.76
2018-09-04,485.36
2018-09-05,470.64
2018-09-06,420.97
2018-09-07,393.52
2018-09-08,387.40
2018-09-09,348.30
2018-09-10,339.76
2018-09-11,338.69
2018-09-12,331.80
2018-09-13,310.51
2018-09-14,352.28
2018-09-15,413.21
2018-09-16,429.88
2018-09-17,418.12
2018-09-18,385.39
2018-09-19,435.44
2018-09-20,406.01
2018-09-21,413.29
2018-09-22,440.06
2018-09-23,452.13
2018-09-24,462.14
2018-09-25,451.30
2018-09-26,439.86
2018-09-27,442.43
2018-09-28,468.94
2018-09-29,478.47
2018-09-30,486.81
2018-10-01,493.72
2018-10-02,493.88
2018-10-03,496.74
2018-10-04,503.11
2018-10-05,532.29
2018-10-06,611.46
2018-10-07,641.33
2018-10-08,620.73
2018-10-09,769.03
2018-10-10,743.24
2018-10-11,684.15
2018-10-12,641.21
2018-10-13,658.13
2018-10-14,653.91
2018-10-15,648.43
2018-10-16,685.56
2018-10-17,701.44
2018-10-18,648.90
2018-10-19,674.58
2018-10-20,680.02
2018-10-21,679.47
2018-10-22,689.51
2018-10-23,680.53
2018-10-24,674.14
2018-10-25,681.94
2018-10-26,654.53
2018-10-27,637.20
2018-10-28,625.53
2018-10-29,626.70
2018-10-30,628.20
2018-10-31,627.71
2018-11-01,609.45
2018-11-02,632.45
2018-11-03,628.56
2018-11-04,628.95
2018-11-05,655.78
2018-11-06,667.94
2018-11-07,672.65
