Date,total_value_locked_(tvl) ($),gross_merchandise_value ($)
2019-01-04,273845651.27,0
2019-01-05,288674544.41,0
2019-01-06,297321259.69,0
2019-01-07,286168221.10,0
2019-01-08,285073686.76,0
2019-01-09,278233166.50,0
2019-01-10,105898455.25,0
2019-01-11,244360898.99,0
2019-01-12,278791638.42,0
2019-01-13,245391943.66,0
2019-01-14,178407107.72,0
2019-01-15,249206208.71,0
2019-01-16,251319025.91,0
2019-01-17,254476809.55,0
2019-01-18,265692973.85,0
2019-01-19,232633384.42,0
2019-01-20,239565945.56,0
2019-01-21,236425378.18,0
2019-01-22,229107169.52,0
2019-01-23,223419377.33,0
2019-01-24,231128356.93,0
2019-01-25,229036911.98,0
2019-01-26,229350909.85,0
2019-01-27,232775186.82,0
2019-01-28,227553078.00,0
2019-01-29,99119725.09,0
2019-01-30,206497811.34,0
2019-01-31,210148472.22,0
2019-02-01,216195888.51,0
2019-02-02,214689445.24,0
2019-02-03,217434805.56,0
2019-02-04,217464838.72,0
2019-02-05,216797962.62,0
2019-02-06,218522363.53,0
2019-02-07,210990225.40,0
2019-02-08,216125664.77,0
2019-02-09,220896084.25,0
2019-02-10,246516060.78,0
2019-02-11,243147997.20,0
2019-02-12,249056274.69,0
2019-02-13,246891104.07,0
2019-02-14,252330117.42,0
2019-02-15,249014889.06,0
2019-02-16,252662176.39,0
2019-02-17,252503720.02,0
2019-02-18,264590109.09,0
2019-02-19,287766062.74,0
2019-02-20,306221522.40,0
2019-02-21,304548188.12,0
2019-02-22,302379099.70,0
2019-02-23,310103145.80,0
2019-02-24,310601424.94,0
2019-02-25,344705717.03,0
2019-02-26,291862956.49,0
2019-02-27,291068142.56,0
2019-02-28,294046143.31,0
2019-03-01,292040933.65,0
2019-03-02,296111729.86,0
2019-03-03,285473122.32,0
2019-03-04,287002415.15,0
2019-03-05,270936438.36,0
2019-03-06,276708574.74,0
2019-03-07,300290540.66,0
2019-03-08,302754391.08,0
2019-03-09,294649561.62,0
2019-03-10,305036738.65,0
2019-03-11,294082104.60,0
2019-03-12,291508947.50,0
2019-03-13,293239777.89,0
2019-03-14,287949170.82,0
2019-03-15,290717107.06,0
2019-03-16,296375880.86,0
2019-03-17,314660780.85,0
2019-03-18,314597923.32,0
2019-03-19,310599055.01,0
2019-03-20,307723121.64,0
2019-03-21,308074619.73,0
2019-03-22,305486486.83,0
2019-03-23,298000124.79,0
2019-03-24,299355874.34,0
2019-03-25,301064057.97,0
2019-03-26,295250525.69,0
2019-03-27,291362076.31,0
2019-03-28,306190288.73,0
2019-03-29,299266715.55,0
2019-03-30,307754976.73,0
2019-03-31,313300444.16,0
2019-04-01,310517949.46,0
2019-04-02,308151536.02,0
2019-04-03,336263593.04,0
2019-04-04,366829799.76,0
2019-04-05,352168339.59,0
2019-04-06,360427476.27,0
2019-04-07,359762073.94,0
2019-04-08,370316546.32,0
2019-04-09,389777636.63,0
2019-04-10,389689615.71,0
2019-04-11,397725873.40,0
2019-04-12,363504425.16,0
2019-04-13,363879857.13,0
2019-04-14,356169537.08,0
2019-04-15,356564060.50,0
2019-04-16,359978384.96,0
2019-04-17,349781355.25,0
2019-04-18,362216603.89,0
2019-04-19,367751489.12,0
2019-04-20,370528927.98,0
2019-04-21,363873891.89,0
2019-04-22,353841906.86,0
2019-04-23,361419880.32,0
2019-04-24,368961570.52,0
2019-04-25,345312753.75,0
2019-04-26,341653434.12,0
2019-04-27,324636100.10,0
2019-04-28,322142508.58,0
2019-04-29,326910738.77,0
2019-04-30,316208536.69,0
2019-05-01,330266902.81,0
2019-05-02,337903142.24,0
2019-05-03,330725454.24,0
2019-05-04,338211869.68,0
2019-05-05,333913390.73,0
2019-05-06,334871013.89,0
2019-05-07,334477830.05,0
2019-05-08,365783299.78,0
2019-05-09,345624122.33,0
2019-05-10,347011258.01,0
2019-05-11,342942900.86,0
2019-05-12,368678797.16,0
2019-05-13,374430300.71,0
2019-05-14,380020029.50,0
2019-05-15,405311092.53,0
2019-05-16,445689634.11,0
2019-05-17,449960367.43,0
2019-05-18,415545733.56,0
2019-05-19,426843604.35,0
2019-05-20,456198217.85,0
2019-05-21,445271008.45,0
2019-05-22,443650565.04,0
2019-05-23,443675488.72,0
2019-05-24,418188796.56,0
2019-05-25,444064522.62,0
2019-05-26,451283928.17,0
2019-05-27,432837347.71,0
2019-05-28,457895631.38,0
2019-05-29,443161246.92,0
2019-05-30,440208045.95,0
2019-05-31,460889453.85,0
2019-06-01,418065416.00,0
2019-06-02,442284043.61,0
2019-06-03,443397973.96,0
2019-06-04,432337549.86,0
2019-06-05,402844375.88,0
2019-06-06,403815131.27,0
2019-06-07,406761916.85,0
2019-06-08,409342419.47,0
2019-06-09,410415790.07,0
2019-06-10,401360284.64,0
2019-06-11,400410873.42,0
2019-06-12,394818791.27,0
2019-06-13,410335167.93,0
2019-06-14,422308648.03,0
2019-06-15,419465215.05,0
2019-06-16,429759407.63,0
2019-06-17,443207073.77,0
2019-06-18,445751775.01,0
2019-06-19,438027353.98,0
2019-06-20,436013887.12,0
2019-06-21,436952496.03,0
2019-06-22,470581244.27,0
2019-06-23,497501560.35,0
2019-06-24,495655481.90,0
2019-06-25,496046598.84,0
2019-06-26,489147945.83,0
2019-06-27,511626277.11,0
2019-06-28,475808626.08,0
2019-06-29,466399126.96,0
2019-06-30,462481827.03,0
2019-07-01,456268317.88,0
2019-07-02,449573211.59,0
2019-07-03,422752474.44,0
2019-07-04,446709587.30,0
2019-07-05,450396090.58,0
2019-07-06,446145178.78,0
2019-07-07,437338187.87,0
2019-07-08,443343259.21,0
2019-07-09,466967211.56,0
2019-07-10,470895366.79,0
2019-07-11,464515891.70,0
2019-07-12,415707720.30,0
2019-07-13,418931130.95,0
2019-07-14,402788805.75,0
2019-07-15,367200046.65,0
2019-07-16,363696330.68,0
2019-07-17,375940987.79,0
2019-07-18,352295628.32,0
2019-07-19,340124977.13,0
2019-07-20,335732017.19,0
2019-07-21,347864237.86,0
2019-07-22,379385819.56,0
2019-07-23,326654235.53,0
2019-07-24,299389606.08,0
2019-07-25,333327647.71,0
2019-07-26,307693133.49,0
2019-07-27,299751591.67,0
2019-07-28,285266012.75,0
2019-07-29,289864020.68,0
2019-07-30,289528268.67,0
2019-07-31,288660675.72,0
2019-08-01,293461759.35,0
2019-08-02,290558748.20,0
2019-08-03,298222787.63,0
2019-08-04,301847405.95,0
2019-08-05,297336305.96,0
2019-08-06,316363688.73,0
2019-08-07,300288667.69,0
2019-08-08,299278736.15,0
2019-08-09,296296933.15,0
2019-08-10,276635312.97,0
2019-08-11,272672339.69,0
2019-08-12,281663708.82,0
2019-08-13,282282671.57,0
2019-08-14,285695239.94,0
2019-08-15,280685032.89,0
2019-08-16,259369986.70,0
2019-08-17,259186355.14,0
2019-08-18,260035919.18,0
2019-08-19,264679704.08,0
2019-08-20,282675119.05,0
2019-08-21,275883048.77,0
2019-08-22,263283036.46,0
2019-08-23,260211043.49,0
2019-08-24,264767481.27,0
