timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1573683776,0,0,0
1573861006,0,77.9272960185,77.9272960185
1573947428,0,79.344845328,79.344845328
1574033816,0,82.29988293,82.29988293
1574121586,1834148.280901756829887004,5397121.743244094472990507862381094,5397121.743244094472990507862381094
1574207952,7451066.52554040834780907,22823983.36007281357408764343453473,22823983.36007281357408764343453473
1574294318,9801258.530596581681301194,31219419.24199102804347060672013996,31219419.24199102804347060672013996
1574380600,13600434.446679620951909653,38991761.58802281341657498819085509,38991761.58802281341657498819085509
1574467133,15754224.711626251424450048,47702209.56181407718647214184127128,47702209.56181407718647214184127128
1574553269,18235488.755293430756062506,53314521.14288216490127609203027396,53314521.14288216490127609203027396
1574639962,18330493.689107877782250444,51195363.1384591831011172667973261,51195363.1384591831011172667973261
1574726200,20169635.756686801351289053,57936727.5579283435235894226312567,57936727.5579283435235894226312567
1574812776,20376263.528074165820510333,58870297.80727238990949783330122589,58870297.80727238990949783330122589
1574899061,20423841.979703447149322792,61657767.31333559090927697038313187,61657767.31333559090927697038313187
1574985464,21925091.257833105039004108,65492029.05171039123003592849973423,65492029.05171039123003592849973423
1575071950,23020895.424740245545606428,67709350.05341284867990323144904269,67709350.05341284867990323144904269
1575158373,23689279.332381752772258306,69326065.49559116693121542225174933,69326065.49559116693121542225174933
1575244762,25933662.680400328146008088,74536427.78867437467437360520113838,74536427.78867437467437360520113838
1575330984,42821635.467257236577925935,117108238.5484409468276263836254044,117108238.5484409468276263836254044
1575417557,49074729.060803003485126838,141442050.7296962078428832131044884,141442050.7296962078428832131044884
1575503901,49865185.011891199533503481,142404724.9083521651030984769774472,142404724.9083521651030984769774472
1575590319,51041549.118431879562593176,147745728.1602834343351492634292669,147745728.1602834343351492634292669
1575676731,53661356.776622781019594924,157511132.6163083082182947076464433,157511132.6163083082182947076464433
1575763153,54255657.351294088353596377,161056943.6492321108858993389465412,161056943.6492321108858993389465412
1575849492,56475063.597039000399621425,170224619.6738102940773339232241707,170224619.6738102940773339232241707
1575935990,58123403.049453034720306382,170395529.9142581147764782562982683,170395529.9142581147764782562982683
1576022200,58837539.135358909972811515,168056548.2283772215073530853131777,168056548.2283772215073530853131777
1576108756,60864981.238042775458569579,174365027.2928770290047249667717552,174365027.2928770290047249667717552
1576194959,61347790.459348317674513391,181226080.5449469089606175747274275,181226080.5449469089606175747274275
1576280368,62074687.520631512944666575,182192066.1559780755949044593032242,182192066.1559780755949044593032242
1576367933,62553301.750921543891582053,182594811.1575580927998760395404836,182594811.1575580927998760395404836
