timestamp,totalBorrowBalanceUSD,totalValueLockedUSD,totalDepositBalanceUSD
1660175747,7147069204.112877978157653144,10894106539.82154262568422572629624,10894106539.82154262568422572629624
1660261821,7035656240.16190769097482999,10775907794.2558348642799943291048,10775907794.2558348642799943291048
1660348526,6864010067.099353766784735642,10675483862.64405845344691885923558,10675483862.64405845344691885923558
1660435196,6882053009.010467921493685481,10820295627.20163755807370411162888,10820295627.20163755807370411162888
1660521352,6838665347.792540639647251508,10625044339.49424114552249641582099,10625044339.49424114552249641582099
1660607976,6830089083.401089860268708202,10525973675.63480314770298127240292,10525973675.63480314770298127240292
1660692563,6803046207.944828662566058438,10437221375.70997621122682270898167,10437221375.70997621122682270898167
1660780701,6764562460.04008470629779817,10333665265.05685107819553179815826,10333665265.05685107819553179815826
1660866595,6722527741.323886584428063825,10299112069.75602212337495363079924,10299112069.75602212337495363079924
1660953271,6671383401.558830406375858912,9795539128.391958028446383472942499,9795539128.391958028446383472942499
1661039167,6616996247.219470609285004786,9529040009.100199242216104780006601,9529040009.100199242216104780006601
1661126264,6581260067.265883976869955754,9639605288.55247246365398512435278,9639605288.55247246365398512435278
1661212330,6557267959.635077382260866603,9518136492.31743830643158572422217,9518136492.31743830643158572422217
1661299170,6541288501.051749365834991496,9672313940.630894794114655994487051,9672313940.630894794114655994487051
1661384521,6527454660.978714523647097055,9715687075.847972726547304680175971,9715687075.847972726547304680175971
1661471989,6543424372.077506677708886847,9758145375.297004022827938641977815,9758145375.297004022827938641977815
1661558284,6535672975.085280412919869926,9404679039.924934544748772087913961,9404679039.924934544748772087913961
1661644340,6510123337.571844789961292721,9216662612.105893780600895672372401,9216662612.105893780600895672372401
1661731027,6505440675.022240010472052761,9340140267.378215353892853478424874,9340140267.378215353892853478424874
1661817224,6513632956.12208011794846967,9435029572.600220135285674870712545,9435029572.600220135285674870712545
1661903493,6544154344.271506806249848913,9475915911.142960600375969387393455,9475915911.142960600375969387393455
1661988802,6542497774.689530250221871805,9523889242.969369128509559348285657,9523889242.969369128509559348285657
1662076490,6578835863.771853946173206538,9582511466.628570211179528755403106,9582511466.628570211179528755403106
1662161537,6573327104.123517417071488747,9511220704.536891120180701291766315,9511220704.536891120180701291766315
1662249300,6565508360.262360178346517248,9489895361.108370820805044993631746,9489895361.108370820805044993631746
1662335745,6477394278.816864727072488548,9431495152.402931017818971807017445,9431495152.402931017818971807017445
1662421796,6452324371.139736856480779162,9400066255.275972419667050515776236,9400066255.275972419667050515776236
1662507067,6441598724.753687181476228972,9429045170.077760829594743854044098,9429045170.077760829594743854044098
1662595134,6441146416.694092187936312241,9611896838.889327770187338768521136,9611896838.889327770187338768521136
1662680589,6451382794.562268130183624952,9666248866.12393400266082162171896,9666248866.12393400266082162171896
1662767910,6452918862.557627874030726002,9927960460.871753798323512795547274,9927960460.871753798323512795547274
1662853774,6476700852.538492460060201661,9991857188.859387555127128133086598,9991857188.859387555127128133086598
1662940458,6482274371.482876624220747357,10031220760.4947857004759868820571,10031220760.4947857004759868820571
1663026684,6468711367.309693938504003868,9975062724.584312072101445795852228,9975062724.584312072101445795852228
1663113464,6430218584.579572318636901445,9579606538.325827241557525077887498,9579606538.325827241557525077887498
1663199633,6417901338.446977438175835542,9164547090.203997662049574791295101,9164547090.203997662049574791295101
1663285667,6412238519.483560500471852413,8993319065.617903734283512411630322,8993319065.617903734283512411630322
1663372391,6413939562.109186659856406515,8860667296.459521303861632686412891,8860667296.459521303861632686412891
1663459127,6413870055.086350791078518663,8936559058.510780881369781431188085,8936559058.510780881369781431188085
1663545263,6463144172.451140058762478799,8742936207.742346429391992974288465,8742936207.742346429391992974288465
1663631759,6417132616.267080145402561001,8789185920.628978498719716591232288,8789185920.628978498719716591232288
1663718003,6455847154.23524494598279565,8727921762.366113522808234121575735,8727921762.366113522808234121575735
1663804535,6451245800.604785449888714862,8553635765.837215858651094963246663,8553635765.837215858651094963246663
1663891163,6511664738.226640200948785491,8726616724.604164344098226602114367,8726616724.604164344098226602114367
1663976879,6513080740.960166777143431318,8732477893.628404645992540896729927,8732477893.628404645992540896729927
1664063783,6509331654.816154459017043392,8792374500.867983721219313314701879,8792374500.867983721219313314701879
1664150219,6507310031.660020922320597001,8697489696.087869580318653170185821,8697489696.087869580318653170185821
1664235551,6498312029.400553886363591393,8743596648.382941579670636065151661,8743596648.382941579670636065151661
1664322011,6486523121.837639688228405812,8717115392.331334963393265196008015,8717115392.331334963393265196008015
1664408435,6441282277.036339117130912271,8701142957.241660294835276398026092,8701142957.241660294835276398026092
1664495423,6450750758.837256760104093065,8611510565.117123779466299672264699,8611510565.117123779466299672264699
