date,totalBorrow,totalValueLocked,utilizationRate,liquidity
14/11/2019,0,0,0,0.0
16/11/2019,0,77.9272960185,0.0,77.9272960185
17/11/2019,0,79.344845328,0.0,79.344845328
18/11/2019,0,82.29988293,0.0,82.29988293
19/11/2019,1834148.280901756829887004,5397121.743244094472990507862381094,0.33983822640237304,3562973.4623423377
20/11/2019,7451066.52554040834780907,22823983.36007281357408764343453473,0.32645776190736925,15372916.834532406
21/11/2019,9801258.530596581681301194,31219419.24199102804347060672013996,0.31394749705701136,21418160.711394444
22/11/2019,13600434.446679620951909653,38991761.58802281341657498819085509,0.3488027699383886,25391327.14134319
23/11/2019,15754224.711626251424450048,47702209.56181407718647214184127128,0.33026194921246604,31947984.850187823
24/11/2019,18235488.755293430756062506,53314521.14288216490127609203027396,0.34203606005243065,35079032.38758874
25/11/2019,18330493.689107877782250444,51195363.1384591831011172667973261,0.3580498811881182,32864869.449351307
26/11/2019,20169635.756686801351289053,57936727.5579283435235894226312567,0.3481321194145818,37767091.80124155
27/11/2019,20376263.528074165820510333,58870297.80727238990949783330122589,0.3461212918402638,38494034.27919822
28/11/2019,20423841.979703447149322792,61657767.31333559090927697038313187,0.33124524078065504,41233925.33363214
29/11/2019,21925091.257833105039004108,65492029.05171039123003592849973423,0.3347749577360286,43566937.79387729
30/11/2019,23020895.424740245545606428,67709350.05341284867990323144904269,0.33999581160622716,44688454.628672615
01/12/2019,23689279.332381752772258306,69326065.49559116693121542225174933,0.34170811747405866,45636786.16320941
02/12/2019,25933662.680400328146008088,74536427.78867437467437360520113838,0.34793272832885724,48602765.10827404
03/12/2019,42821635.467257236577925935,117108238.5484409468276263836254044,0.36565860778056525,74286603.0811837
04/12/2019,49074729.060803003485126838,141442050.7296962078428832131044884,0.3469599656370056,92367321.66889322
05/12/2019,49865185.011891199533503481,142404724.9083521651030984769774472,0.3501652423680681,92539539.89646097
06/12/2019,51041549.118431879562593176,147745728.1602834343351492634292669,0.3454688656924073,96704179.04185157
07/12/2019,53661356.776622781019594924,157511132.6163083082182947076464433,0.34068294656568815,103849775.83968553
08/12/2019,54255657.351294088353596377,161056943.6492321108858993389465412,0.33687251305015536,106801286.29793803
09/12/2019,56475063.597039000399621425,170224619.6738102940773339232241707,0.33176789412282587,113749556.0767713
10/12/2019,58123403.049453034720306382,170395529.9142581147764782562982683,0.3411087314244707,112272126.86480509
11/12/2019,58837539.135358909972811515,168056548.2283772215073530853131777,0.35010560287959,109219009.09301832
12/12/2019,60864981.238042775458569579,174365027.2928770290047249667717552,0.34906645089906263,113500046.05483425
13/12/2019,61347790.459348317674513391,181226080.5449469089606175747274275,0.33851524170734965,119878290.08559859
14/12/2019,62074687.520631512944666575,182192066.1559780755949044593032242,0.3407101573099687,120117378.63534656
15/12/2019,62553301.750921543891582053,182594811.1575580927998760395404836,0.34257984306544903,120041509.40663654
16/12/2019,62991184.374553444801111901,184039789.6028333943457117943109332,0.34226937832569476,121048605.22827995
17/12/2019,65585033.513278137289023488,180398137.212089995865170841184339,0.3635571548955148,114813103.69881186
18/12/2019,65364321.536036892258712222,169946886.8255028332174882836591677,0.384616174835561,104582565.28946595
19/12/2019,65834996.737541806348532189,185742793.0902514382219594651056589,0.3544417290287701,119907796.35270964
20/12/2019,68224178.990011158842303928,186983175.447758882584521081572194,0.3648680092561176,118758996.45774773
21/12/2019,69052844.915239213143817074,190132379.6383247240804388026671122,0.3631829835959215,121079534.72308552
22/12/2019,69310262.164822889925111431,189637263.2457620803164640015292894,0.36548862274499105,120327001.08093919
23/12/2019,69658144.178070335911070988,198077249.7462109731049898284698281,0.35167160422168997,128419105.56814063
24/12/2019,69333133.35412331155827374,189929560.1136521901404059764447081,0.36504656417165904,120596426.75952889
25/12/2019,69444375.3281921776532503,191075745.6406552617657909365368802,0.363438986436259,121631370.31246307
26/12/2019,69605364.886779358068300374,189201612.5813232430538577862586993,0.36788991350092937,119596247.69454388
27/12/2019,69398497.202048843348068747,189423457.6441941040643865898808834,0.3663669646047976,120024960.44214526
28/12/2019,70461401.599070186595533475,190381665.3062335741078762816079495,0.37010602615399596,119920263.7071634
29/12/2019,70750955.357542536968141237,197497478.2468699058200435797848166,0.35823725946062224,126746522.88932736
30/12/2019,71221178.487585417827257036,208105053.0584836184941520421192474,0.34223666095974214,136883874.57089823
31/12/2019,71213420.158242855892938621,203350839.1247957049586512952849149,0.3501997850844344,132137418.96655285
01/01/2020,71591496.836620260381687008,200939798.7103716582599587474804706,0.35628331120113244,129348301.87375142
02/01/2020,72714259.506993352465711855,211144326.299590539342097741316328,0.34438178274238745,138430066.79259717
03/01/2020,73041774.340394908438903811,204449710.4348428034127026645245417,0.35726034624868297,131407936.09444788
04/01/2020,73802364.14395511817364464,216027089.5720268859244061928179181,0.3416347657609312,142224725.42807177
05/01/2020,73962804.296229007488646097,217902111.4214347919578374411911599,0.3394313337018604,143939307.12520579
06/01/2020,74542990.909621223175886816,222330549.0362176770209399317765462,0.3352800199197014,147787558.12659645
07/01/2020,78247427.529129164188155432,240783054.8406530893308457337417925,0.3249706570128543,162535627.3115239
08/01/2020,81258802.786170346504402013,247324272.0742755985327319605257883,0.3285516706656554,166065469.28810525
09/01/2020,82080900.624925121030655006,246037012.468326197370671625531349,0.33361200333828583,163956111.84340107
10/01/2020,82126134.79849945106747148,244258178.7769344874377531122998567,0.336226754861298,162132043.97843504
11/01/2020,82513356.13686650588041573,254459633.6649763377603291200355179,0.32426894179021054,171946277.52810982
12/01/2020,82908452.873917547939571023,255629081.2750605910299031031316121,0.3243310677344525,172720628.40114304
13/01/2020,83983426.577960304326459243,259310235.7134565405722453702824785,0.3238723930310403,175326809.13549626
14/01/2020,85384791.861584407071590267,259740148.8793947803635444381320704,0.3287315889744529,174355357.01781034
15/01/2020,86564789.871947879686258988,294926203.8269883407195325103373485,0.29351338995543824,208361413.95504045
