id,amount,timestamp,reserve,user,caller,pool,borrowRate,borrowRateMode,stableTokenDebt,variableTokenDebt
13914419:217:0x4b705377d9dc046e68d1565a47c1b967aec7eb58c8dcb6b5083c8b845eb5f6d9:312:312,3467227385,1640971286,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x16c05424094e9d1374d3f6d707da7e91e933d467,0x16c05424094e9d1374d3f6d707da7e91e933d467,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37959919462690998675398767,Variable,0,26339326120
13914484:40:0x55bac9268d4b520fe81c0411cb6b3a79e8dbef1e356246f79ac328cc2b0897c3:107:107,20000000000000000000000,1640972207,0x6b175474e89094c44da98b954eedeac495271d0f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1d117f4c8ea95c998521d2ea43040124051cc708,0x1d117f4c8ea95c998521d2ea43040124051cc708,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,39187236768590379161001786,Variable,0,921102276334499750852395
13914504:48:0xc73d39b00f1427c13e45533c44bbb4ff1cd9abbf5358e26851a1e498861d9b53:112:112,4033397179,1640972530,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8ff3fdbb9ec868f18d49008bbe087853752bc69e,0x8ff3fdbb9ec868f18d49008bbe087853752bc69e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37959819227464942849212860,Variable,0,8347737313
13914543:253:0xca135fdb6bb72204e8063f56fe8a8907d383a36f07bfab37d2527fa845982dc6:317:317,5100000000,1640973143,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x597dd7cf2486bb3c78a4ae2fa71d208d842f2000,0x597dd7cf2486bb3c78a4ae2fa71d208d842f2000,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37959883656526827291294917,Variable,0,32546096132
13914628:74:0x56f406c36f61959dd6bdcb0b66cc5d828bbfbc50d4bbda8e95cbf4d0a36b9d4c:128:128,20000000000000000000000,1640974287,0x6b175474e89094c44da98b954eedeac495271d0f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdbe34e06f38fe5cfa9fe795bc426e4630bc60895,0xdbe34e06f38fe5cfa9fe795bc426e4630bc60895,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,39187761369824586046826779,Variable,0,1304076944301369829891633
13914691:232:0x8ba1bcb53ed58ee43f354a32bb46029db4dd41a01382839b9e4551e78b88c6c8:344:344,12000000000,1640975189,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd865fc633a65ca1fca001768a86fdc514c882e9d,0xd865fc633a65ca1fca001768a86fdc514c882e9d,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37960038542638187253989789,Variable,0,10984189049
13914755:260:0x80fa8956b446da5828935a11510553f5dc0160dabea86891956de77fad1856b4:379:379,45000000000,1640976149,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x41d0420f23ab108d37d9ad05826304495456b845,0x41d0420f23ab108d37d9ad05826304495456b845,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37961764669757907360134964,Variable,0,41190661336
13914773:194:0x5654dd2424277969315bc6c158426575accc4c0624d4944e3fdfe6cb431f2b87:115:115,39400000000,1640976420,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x1e5d21a1aeae688d145b370e0bc78cf2c94db08d,0x1e5d21a1aeae688d145b370e0bc78cf2c94db08d,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,117682796024725061090283557,Stable,617539893633,0
13914865:101:0x12401d577ac8b316734694595a804c048ac36e4e545a61cc304cb71f37c5228c:119:119,100000000000,1640977568,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35371466487549373677578479,Variable,0,986774838939
13914884:63:0xc45305318cfebe990723e5766db98c1a6c2d35b5cc5bf6a53c7f90a2a9415733:130:130,30000000000000000000,1640977788,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x415e1ddcfdb9a220a402684da9511d79a71a2141,0x415e1ddcfdb9a220a402684da9511d79a71a2141,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2751243829447719522885514,Variable,0,62376341031826182114
13914936:51:0x4852ddfcf04d6714a9a29f0651df031f7d7e5ced6aca7e7d59c07818bdb90947:115:115,15552233999,1640978496,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8af20b4104f34ffaf7dcf52a28b5c61cbbcb443f,0x8af20b4104f34ffaf7dcf52a28b5c61cbbcb443f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37961792251331319115826191,Variable,0,61521384207
13914988:47:0xfa3b96a18c0acbb1631068c41196b7168e94b2e0141f4d3a4c564a8c49d6dfcf:159:159,200000000000000000000,1640979163,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc20xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x331865e142aca526b9f75464a2b597ecdacaf557,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,2770306935971559564021571,Variable,0,495190398545578358591
13915038:110:0xedda894b8879c346afd37e1f8213c4843e17c1924b1a2092c9a7f1bfe7defa70:160:160,115000000000,1640979901,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd2c69cd5d740bc735eb30188d3b406e2774a1d21,0xd2c69cd5d740bc735eb30188d3b406e2774a1d21,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37963158995655430521439351,Variable,0,639832866200
13915157:166:0xc4c3b8646126ad5469dddc8ee0b1ebc7890c01997b6974627545d4548d5f48f1:239:239,10000000000,1640981483,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf9138f184a1433c3a28a91cb27146550f477ca3e,0xf9138f184a1433c3a28a91cb27146550f477ca3e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35361153068821049928840493,Variable,0,2336938807518
13915162:164:0x64a47fa86feec5186545c1950a8ee09ffc10280be500e858f93cae278c8858f1:275:275,10000000000,1640981573,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xa0dc5bcefddce5c369fa5707ab445ec0906e76ce,0xa0dc5bcefddce5c369fa5707ab445ec0906e76ce,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35361573886575235284477199,Variable,0,1921726316584
13915168:25:0x4507e4013952e906cc0b2c77cd0f5d3105a5edc68bb4bf8da291654ca537272c:50:50,20000000000,1640981672,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xd484cf72441a4f9cf00c464fa1646a8802d8e13c,0xd484cf72441a4f9cf00c464fa1646a8802d8e13c,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,37970039531446381944577373,Variable,0,296226829793
13915224:145:0xf4e3299867d2b6f0d6b279c649e5da65e6cac7d647d51000ac650cc82f3531ab:276:276,3202071211,1640982449,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x8d5887ec65b9447e1f14ce71b3b6be0ca9c51b04,0x8d5887ec65b9447e1f14ce71b3b6be0ca9c51b04,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,117645830001108935078075522,Stable,3202071211,0
13915267:59:0x4994cc9eba612e32ad9dca185a39c87015a5f97d4ae874bc7110834a85eac3d4:103:103,115891920056,1640982920,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35296656827562501130646421,Variable,0,1090646021711
13915298:216:0xd09b0663d8905fd7da5a0f50493250d99ea3d88d6e0d3bfa488e00e3852fdffd:520:520,4000000000000000000000,1640983231,0x956f47f50a910163d8bf957cf5846d573e7f87ca0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf47da2b2878abb699d0abc34ee9ac0c5fce4fa2c,0xf47da2b2878abb699d0abc34ee9ac0c5fce4fa2c,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,111175823420837542110374930,Variable,0,86472718419359315780676
13915353:38:0xd48e79919a7461a372ffac9846285f34aa8417849a7f9e2a1d44b21706b6c070:111:111,2000000000,1640984103,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xdcb73eb559c13a666bad999e7f219ff3ced1866f,0xdcb73eb559c13a666bad999e7f219ff3ced1866f,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,35296394279114922455502143,Variable,0,1792550252
