id,amount,timestamp,reserve,user,caller,pool,borrowRate,borrowRateMode,stableTokenDebt,variableTokenDebt
id,amount,timestamp,reserve,user,caller,pool,borrowRate,borrowRateMode,stableTokenDebt,variableTokenDebt
13989968:48:0xc9b5fa2924ca56a18536347431405f8b5c325a60b5ad44807f5b9e87d80d26d1:83:83,1500000000000,1641980395,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5ebb65afa7b72aa6dadb7e83671d7756c0eceff9,0x5ebb65afa7b72aa6dadb7e83671d7756c0eceff9,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,38384162818034971092290237,Variable,0,1371340103788
13989907:182:0x3e5b6c57150f5ef165d430661d571ed54f1540fd7e35df5aa0486fc8b1d0db02:335:335,10000000000,1641979640,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,0x2fe09e93acbb8b0da86c394335b8a92d3f5e273e,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,39344765966194705218435398,Variable,0,334642399969
13989890:110:0xfdaf5b10b898349d6be150c9f2be0fefafa6e65f4c5bbdb303f0fffe5286862b:212:212,2200000000,1641979332,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x2dd74ccb35dd9df5db895b857c5f5c96eed3300b,0x2dd74ccb35dd9df5db895b857c5f5c96eed3300b,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,38365683673440670972328222,Variable,0,6128717823
13989841:64:0x98cca8de6eb32912572f738bbafe2c388861823f159a7255bd9adc21f7fa9252:133:133,250000000000,1641978811,0xdac17f958d2ee523a2206206994597c13d831ec70xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xbefe9091541d2fd2bb2b931536fbee0383c4c4e0,0xbefe9091541d2fd2bb2b931536fbee0383c4c4e0,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,39344761160754401496939799,Variable,0,223788530605
13989790:180:0x9131522c0205efdc3517d9f4176d3b6358a04e33a2f2a69aecc6ac245a7f55f7:338:338,300000,1641978130,0x056fd409e1d7a124bd7017459dfea2f387b6d5cd0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x5fc897af3bb6fc49decae7815c99efd3f746ca63,0x5fc897af3bb6fc49decae7815c99efd3f746ca63,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,39354140007809663709933184,Variable,0,459117
13989728:63:0x16047685f5080ee95a5d8e40ad5d8a795d66d2b1d2e67731f2a550caa3e0f115:89:89,20000000000,1641977272,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xb35132463ae1502d27a9ea01dba807709722df02,0xb35132463ae1502d27a9ea01dba807709722df02,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,38365643012946143080308442,Variable,0,55072088268
13989643:219:0x461e881a6a9a7ce9d216de8a1d0c7377ec150c94759a58bd1cf90e1cf3cee00b:400:400,30000000000,1641976165,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xcca58ce511aad7a2498ba50c35c85e37d8613a82,0xcca58ce511aad7a2498ba50c35c85e37d8613a82,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,38365389425509046618876619,Variable,0,577198914935
13989602:247:0xf40cb719e3d808f741ca2e442406837010365b60db4df6cbf184cab9175e0cf1:435:435,10000000000000000000000,1641975657,0x6b175474e89094c44da98b954eedeac495271d0f0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0x28cad4d9f9163ebbd2adf5164787d362f4b643ff,0x28cad4d9f9163ebbd2adf5164787d362f4b643ff,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,39124086489575510938534190,Variable,0,54640431513439964789563
13989539:70:0xd2465815080a124edbc3ed608d0aa986b0cd142db74249efd52ab64019d17868:107:107,41093000000,1641974661,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb480xb53c1a33016b2dc2ff3653530bff1848a515c8c5,0xf183b397d161402c46d4d32b08819c3cfd322975,0xf183b397d161402c46d4d32b08819c3cfd322975,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,38363852991365080016610283,Variable,0,230406036044
